n03911767 penlight
n04247011 smokescreen
n07608866 praline
n02921592 burette
n02692232 aerodrome
n02795978 hurdy_gurdy
n11636204 japanese_cedar
n01558149 throstle
n04052658 ranch_house
n07902799 aquavit
n08539072 business_district
n04268799 spark_gap
n13915023 ovoid
n07605804 panoche
n04378489 tabard
n04290507 spur_gear
n07732168 sweet_corn
n07889990 burton
n02771166 backstairs
n03668279 light_pen
n02759387 autogiro
n02814338 beach_house
n04492060 trunk_lid
n01809106 guinea
n07808587 slaw
n03989777 post_horn
n07931612 white_russian
n03449309 gouge
n07846143 powdered_milk
n04202142 shooting_lodge
n03724623 seven_iron
n02892499 brasserie
n06267655 gazette
n12575322 vetch
n07610620 baked_alaska
n03871371 liquor_store
n04024983 punt
n02404028 maverick
n02927053 butcher_knife
n04510706 universal_joint
n01438581 loach
n04346428 sty
n04119478 rumpus_room
n03607659 kalashnikov
n02505238 columbian_mammoth
n03600285 jodhpurs
n02522637 codling
n02257284 periodical_cicada
n02375438 stable_companion
n04198233 shirting
n07908411 absinth
n04391445 tapa
n04156591 scuffle
n02375302 roan
n12704513 bilimbi
n01641739 green_frog
n12584191 areca
n04002629 primary_winding
n03261603 earmuff
n02390258 hinny
n07873464 pilaf
n03602081 jolly
n02147947 pipistrel
n02993194 cenotaph
n03015149 chesterfield
n09264803 delta
n02392824 white_rhinoceros
n02486657 chacma_baboon
n02792409 bareboat
n02970408 tote_bag
n04036303 qwerty_keyboard
n02405440 banteng
n01612275 merlin
n03490884 hanger
n02767956 backbench
n07684517 raisin_bread
n07918706 swizzle
n04112252 rotor_blade
n07870894 lobster_thermidor
n02363351 castor_canadensis
n04349306 subway_train
n02060133 fulmar
n11542137 sphagnum_moss
n02804123 bass_guitar
n12033709 immortelle
n03429137 gatling_gun
n02793842 barn_door
n03465500 guarnerius
n08555710 crawlspace
n02950943 round_shot
n03890514 totalisator
n07895839 merlot
n12112008 gramma
n01497738 guitarfish
n04095577 riveter
n03718335 manometer
n01688961 moloch
n12647376 bird_cherry
n04273796 speedometer
n02377603 broodmare
n02380052 lipizzan
n04279063 spinning_jenny
n03221059 domino
n01841679 wryneck
n07643679 grape_jelly
n04173046 septic_tank
n02917521 bullion
n07711080 fries
n03900393 pave
n03070193 collider
n12345899 rhizophora_mangle
n03170292 decoupage
n03228967 dovetail
n02811719 battle_dress
n02686121 airbus
n01378545 myxobacteria
n02883101 bowstring
n03985069 portable
n04405762 tv_monitor
n04341288 strop
n07906572 blended_whiskey
n02545841 opah
n07824702 paprika
n11650558 yellowwood
n03762332 two_iron
n02407071 durham
n04582205 wickerwork
n02694966 alb
n04398951 tea_table
n04282872 split_rail
n03999160 presbytery
n10155849 hairdresser
n04401680 telephone_booth
n03416900 garbage
n04178190 seventy_eight
n09357346 molehill
n12058630 marsh_orchid
n02536165 sockeye_salmon
n11686912 sporophyte
n02852043 bling_bling
n09289331 glacier
n12118661 ragi
n04210012 shrapnel
n12522188 rosewood
n02513939 spawner
n12305089 black_ash
n02874750 bootstrap
n12663359 robusta_coffee
n04250692 snood
n03225988 double_bed
n13001930 shiitake
n02746595 artillery_shell
n11657585 nagi
n04498873 turbogenerator
n04066476 redoubt
n12276477 quercus_petraea
n03505015 headrace
n03222722 doorframe
n04393808 tappet
n02904927 brogue
n07730708 celeriac
n04177931 settlement_house
n12477163 agave_americana
n04278605 spinner
n04555291 washroom
n07895710 cabernet_sauvignon
n03211789 display_window
n09461069 trapezium
n04484432 triode
n01758757 carcass
n01912454 siphonophore
n02387254 dobbin
n09454153 scree
n02709908 and_gate
n12696492 neem_tree
n13003061 amanita_muscaria
n04245508 small_stores
n13050397 bracket_fungus
n03209910 floppy
n02998841 chadar
n03019806 chin_strap
n03412906 gallows
n04192521 sheraton
n03080731 compass_card
n03664943 ligament
n04016240 pruner
n10605253 skier
n05467054 neuroglia
n03555426 hypermarket
n11646167 monkey_puzzle
n04570958 weighbridge
n11775340 rauvolfia
n03745146 zoological_garden
n02132580 grizzly_bear
n07906718 bourbon
n01423302 eimeria
n02122430 mouser
n03436182 ghetto_blaster
n12510343 dhak
n03530511 hone
n03034244 circuit_breaker
n01673282 tuatara
n02744323 arterial_road
n03865557 overpass
n11759853 monkeypod
n04149083 scoop
n02197689 drosophila
n11928858 mugwort
n07583978 alphabet_soup
n11645590 wollemi_pine
n04446162 duds
n13090871 aril
n02220518 army_ant
n03393761 freewheel
n11599324 welwitschia
n04400737 telegraph_key
n03251533 graving_dock
n04221076 silverpoint
n12215022 king_protea
n02871963 boomerang
n02878628 boule
n01882125 flying_squirrel
n01992773 amphipod
n02831595 bermuda_shorts
n07896765 moselle
n02897097 bren
n07887967 light_beer
n02129837 bengal_tiger
n02975994 casein
n02333909 black_rat
n09249034 col
n01683558 night_lizard
n02947660 narrowboat
n03140652 cruise_control
n11873182 horseradish
n02461128 tamandua
n02839110 hoarding
n03878828 palette_knife
n03599964 jobcentre
n03594148 javelin
n09217230 beach
n03193597 diesel_locomotive
n01856072 gosling
n03931980 picture_rail
n03948830 pistol_grip
n02476567 australopithecus_afarensis
n02015797 corncrake
n09436444 ski_slope
n10564098 screen_actor
n02757927 audiovisual
n03268790 electric
n03732543 maxim_gun
n12324056 combretum
n02828299 belt_buckle
n07805594 birdseed
n03487331 handloom
n04206356 shotgun
n03119203 general_store
n04431745 thumbtack
n06596727 slick
n07926346 limeade
n01322685 cub
n13154388 pinna
n03079616 companionway
n01841102 sapsucker
n02184589 head_louse
n02916179 bulldozer
n02981321 catalytic_converter
n04232312 skybox
n07851767 cottage_cheese
n04604806 worm_gear
n04430896 thumb
n04285803 sportswear
n01848123 teal
n01614556 tawny_eagle
n13152339 yerba_mansa
n03493219 hardtop
n00448748 figure_skating
n12909421 petunia
n07840395 curry_sauce
n09462600 troposphere
n02783994 baluster
n02282903 hairstreak
n04108999 rope_tow
n03988758 postage_meter
n02871439 bookshelf
n11721337 lesser_celandine
n01959492 giant_clam
n03724417 masher
n04142434 scalpel
n07625061 samosa
n02044908 great_skua
n09454744 tar_pit
n04595028 wlan
n03637787 lancet
n04475309 trap_door
n04375241 synchromesh
n01927456 cestode
n02059852 giant_petrel
n01612275 falco_columbarius
n03191451 dicer
n02386746 packhorse
n03173270 delft
n03844815 oilskin
n03215076 divan
n03585875 ironing
n07900958 sherry
n03239054 white_tie
n02666501 derelict
n12110085 avena_sativa
n12475035 wild_oats
n01849157 pintail
n01577941 crested_myna
n02557318 european_perch
n02627532 yellowfin
n02298218 fall_armyworm
n03989898 post_house
n07851443 double_cream
n03970546 plush
n02809241 batiste
n04561965 water_pump
n04964878 maroon
n03971218 plywood
n03498536 hatch
n03577672 interceptor
n07618432 chocolate_pudding
n10253296 legal_representative
n07682197 crouton
n01963571 mussel
n12086778 vanilla_planifolia
n00442437 bathe
n02152881 prey
n03140292 rood
n01817263 popinjay
n09877951 chum
n04500060 turner
n02477516 paranthropus
n00464478 water_polo
n01566645 babbler
n02843276 birdcage
n02965529 carillon
n12836212 nemophila
n04230603 ski_pole
n02835829 bicycle_rack
n02127381 canada_lynx
n07687381 baguette
n03906224 pegboard
n07878647 stuffed_peppers
n02127482 lynx_rufus
n04459122 tourer
n09245515 cirque
n07575392 high_tea
n12641007 prunus_armeniaca
n12095647 moneywort
n02160947 social_insect
n03340723 viewfinder
n12963628 powdery_mildew
n03657239 iol
n10155849 stylist
n07839055 nantua
n03795976 film_projector
n07643026 lemon_curd
n04401680 telephone_kiosk
n04005197 priory
n03664159 life_support
n09463226 tundra
n11545350 pecopteris
n12047345 brassavola
n03801671 music_school
n04137089 sash_window
n02344175 jird
n02764505 axe_head
n02178717 boll_weevil
n03053047 clove_hitch
n11549895 zoospore
n01735439 thamnophis_sirtalis
n07871588 porcupines
n07802863 groats
n12766869 poison_oak
n03624400 knife_blade
n02808968 bathysphere
n02689748 air_horn
n02027075 spotted_sandpiper
n11636204 sugi
n07709881 bean_curd
n13862407 leaf_shape
n01884476 tasmanian_tiger
n01543383 whydah
n07731436 postum
n02184473 pediculus_humanus
n03861271 outrigger
n03488887 rubber_stamp
n12615710 pondweed
n03634034 pile_dwelling
n04261868 sound_film
n07921615 hard_cider
n12118661 finger_millet
n08628141 casbah
n08521623 burying_ground
n07768139 anjou
n13894154 rut
n13155095 bracteole
n03423224 gas_furnace
n02069974 tursiops_truncatus
n15102455 hardboard
n02415253 dall_sheep
n03533654 hookup
n11992479 texas_star
n07765073 date
n02015357 weka
n07861247 pancake_batter
n11533212 basidiocarp
n01392380 ameba
n01794158 meleagris_gallopavo
n01557185 thrush
n02548689 toadfish
n03780799 moleskin
n04365112 surrey
n01890860 shrew_mole
n01794158 turkey
n04381860 tabletop
n10421470 pharmacist
n03751269 mess_jacket
n01853195 eider_duck
n00452152 cockfighting
n13133932 spadix
n07922955 criollo
n04479287 trench_knife
n03901974 pawnshop
n04355267 sun_deck
n09260907 ploughland
n04110178 rose_window
n02210427 mining_bee
n12700088 honduras_mahogany
n02429456 pronghorn_antelope
n03432129 gearshift
n03031422 cigarette_lighter
n12139196 broomcorn
n02835412 bicycle_chain
n02905886 bronchoscope
n03160740 damask
n07901355 marsala
n04963588 deep_red
n12850906 dagga
n08896327 sultanate
n11800236 ginseng
n09300905 hail
n07620145 roly_poly
n01442710 rudd
n07719330 bamboo_shoot
n01797601 sage_grouse
n11970586 gaillardia
n07826653 aniseed
n04003359 prince_albert
n09245515 corrie
n03232309 drainage_ditch
n02413484 cotswold
n07803408 bulgur
n05282652 diastema
n07684164 matzo
n02983904 cathedra
n09239302 cavern
n01595624 martin
n04075468 removable_disk
n02424909 nyala
n01797020 capercaillie
n01811243 dodo
n01799302 guan
n07560542 kosher
n03696445 lugger
n04538403 viscose
n12722071 lignum_vitae
n02307325 tent_caterpillar
n03137579 crosspiece
n01322983 bear_cub
n03212114 garbage_disposal
n02476870 australopithecus_africanus
n07591586 bouillabaisse
n02352591 dormouse
n02250280 cochineal
n03086580 concert_hall
n02834642 bicorn
n03614782 keyhole
n01488038 whale_shark
n04232437 skyhook
n00450998 showjumping
n13038068 gyromitra_esculenta
n02172518 scarabaeus
n02823586 beer_garden
n03865288 overmantel
n04164868 secretary
n11687789 microspore
n02971167 rubber_tire
n07732302 hominy
n03784896 horseshoe_arch
n03394149 freight_elevator
n03509608 heat_pump
n07601290 orange_peel
n01443831 crucian_carp
n04168084 segmental_arch
n04345201 study_hall
n00447221 tobogganing
n10304914 medallist
n02343320 golden_hamster
n02926426 bustier
n03801533 vaudeville_theatre
n03662452 lie_detector
n04414476 terrycloth
n02603317 barracuda
n02584145 cardinal_tetra
n04318892 stiletto
n04592596 wineskin
n04476116 trawler
n04026180 purl
n11709674 magnolia
n04426184 third_rail
n03516844 hessian
n03409920 gadgetry
n04279462 spinning_wheel
n07721678 jalapeno
n01690149 slowworm
n11690254 calyx_tube
n02395694 piggy
n07579917 adobo
n03086457 concert_grand
n11618525 torrey_pine
n07822845 chili_sauce
n12771390 kaki
n01609956 marsh_harrier
n12114590 chloris_gayana
n03318865 falchion
n07696839 club_sandwich
n03272810 power_meter
n07581249 antipasto
n12614477 waterweed
n03270695 electric_bell
n02381004 buckskin
n02945964 campaign_hat
n03343047 fin_keel
n03147280 culvert
n08494231 pleasure_ground
n02620578 archerfish
n04340521 stroboscope
n03426134 gas_tank
n03703862 madras
n12819728 echium_vulgare
n12717644 dika
n11949402 chamomile
n03743279 megaphone
n00447463 bobsledding
n01593553 verdin
n03770085 minicar
n02202678 punky
n03149135 curb_bit
n07613158 syllabub
n03028596 church_bell
n04093775 riot_gun
n03057841 coatee
n04432662 ticking
n03957315 planter
n07875560 roulade
n12270027 quercus_alba
n07934800 darjeeling
n03653833 lederhosen
n02272871 earwig
n12780563 trumpets
n04592005 wine_barrel
n12903503 jimson_weed
n03140771 cruise_missile
n07574923 brunch
n09391386 photosphere
n07935737 bottled_water
n01927456 tapeworm
n03256032 dumpster
n07805966 dog_food
n04368365 swagger_stick
n03487533 hand_luggage
n02064000 bowhead_whale
n02341288 meadow_vole
n04395024 tarp
n12321873 shellbark_hickory
n03239607 drift_net
n07650903 mince
n03571280 inhaler
n03727605 masterpiece
n10679174 surgeon
n02843029 birchbark
n03801353 musical_box
n03166514 deanery
n07695652 graham_cracker
n04596492 witness_stand
n03220237 dolmen
n07896287 dessert_wine
n07928578 phosphate
n03997875 praetorium
n02960690 karabiner
n03602081 jolly_boat
n03697552 lunchroom
n04294614 stabilizer_bar
n03556679 ice_axe
n09405078 rangeland
n04359500 supply_closet
n01839598 flicker
n02493224 uakari
n04278932 spinning_frame
n13238375 stapelia
n07857731 humus
n09230202 butte
n09915651 chess_master
n03205143 directional_microphone
n01555305 scissortail
n04529108 vernier
n01646388 bufo_marinus
n02095727 welsh_terrier
n03536122 horizontal_stabilizer
n11623815 cedrus_libani
n09899289 cashier
n01634227 olm
n07703889 hasty_pudding
n04054361 tuck
n12950126 valerian
n04582205 wicker
n04160847 searchlight
n12485653 buddleia
n12154773 pandanus
n03730334 maternity_hospital
n12568186 black_locust
n04378956 tabi
n03055857 carriage_house
n11552976 biennial
n03995535 power_cable
n12510343 dak
n07886057 home_brew
n03999064 prefab
n04141712 staging
n02780315 roller_bearing
n03846431 olympian_zeus
n12263038 american_chestnut
n03523506 hobble_skirt
n13131618 petiole
n04324515 stocks
n02033882 eskimo_curlew
n04414675 tesla_coil
n03842012 office_block
n02831894 besom
n02405799 santa_gertrudis
n04220250 silo
n02759257 autofocus
n03555006 hyperbaric_chamber
n03405111 furnace_room
n03710421 maildrop
n03361380 fpd
n01833112 swiftlet
n12454159 tulip
n07696527 butty
n04386792 talcum
n01664990 hawksbill_turtle
n01803893 argus
n03885028 panty
n04560882 water_jump
n02879087 nosegay
n03381450 force_pump
n03032453 cinquefoil
n03993703 dog_pound
n09233446 canyon
n02251593 citrus_mealybug
n01987076 snapping_shrimp
n09392402 pinetum
n03424630 gasoline_engine
n00887544 team_sport
n03548086 hubcap
n12980840 downy_mildew
n03348868 firing_chamber
n02878107 bottling_plant
n04241573 slip_ring
n07903101 bitters
n13866626 convex_polygon
n04611916 yardstick
n02631775 white_marlin
n01563449 gnatcatcher
n07575076 luncheon
n04375405 rotary
n07803992 wheat_germ
n03653583 reading_desk
n11948264 knapweed
n02387093 percheron
n04259202 solenoid
n13868515 s_shape
n03319167 fallout_shelter
n07894703 montrachet
n03587205 irrigation_ditch
n03683995 locket
n02752199 athenaeum
n02378149 remount
n01035504 last_supper
n07624924 pirozhki
n01731764 coachwhip
n04402449 telephone_pole
n03533014 hookah
n07576969 clambake
n09833536 baker
n02708711 analyser
n04220805 silver_plate
n03692136 smoking_jacket
n10467179 president
n03349296 firkin
n01851038 pochard
n11849271 mezcal
n07615569 tutti_frutti
n01543175 baya
n11730015 blue_jasmine
n11684654 mesocarp
n04430475 thrust_bearing
n01581166 canada_jay
n01790304 plymouth_rock
n01670535 testudo_graeca
n11620016 siberian_larch
n13898645 spheroid
n02768655 back_brace
n04285803 athletic_wear
n11904109 corydalis
n01809106 guinea_fowl
n07908567 amaretto
n09305898 hot_spring
n02655848 porcupinefish
n02631330 blue_marlin
n07816296 bay_leaf
n02874537 bootlace
n03981924 donkey_cart
n11782036 elephant_ear
n03124590 cattle_pen
n04124202 saddle_blanket
n03309465 eyepiece
n01422450 merozoite
n05469861 dendrite
n04385079 tailor_made
n12827907 manroot
n03496612 harrow
n07575076 lunch
n01831360 tody
n03668067 lightning_conductor
n01814549 squab
n12031927 vernonia
n02734725 architecture
n09475179 watercourse
n04292921 squeegee
n06267758 school_paper
n03844815 slicker
n07866723 egg_roll
n07685303 oatcake
n03241335 drinking_fountain
n07573347 spam
n03492087 hansom_cab
n04610013 yacht
n11882237 coralroot
n03849814 opera_house
n07655263 saute
n07600285 bubble_gum
n14820180 concrete
n12363301 dillenia
n01533339 canary
n02678897 adaptor
n12281974 paper_birch
n03574243 instep
n04163530 secateurs
n02692232 airdrome
n04477548 treasure_chest
n02470709 anthropoid
n04970398 indigo
n02740300 apc
n02786837 band_saw
n12590715 palm_kernel
n13060190 jelly_fungus
n00445685 sculling
n15092227 cholecalciferol
n00448232 sumo
n03413684 gambrel
n02223266 termite
n06892775 concert
n03228533 douche
n04542095 voting_machine
n04170933 selvage
n11846765 epiphyllum
n12920204 christmas_star
n00451635 motorcycling
n12024445 common_dandelion
n12596709 roystonea_regia
n05449196 osteocyte
n09425344 scablands
n01633781 giant_salamander
n08598568 mecca
n02435216 musk_deer
n03024233 choir_loft
n04611351 yardarm
n03878963 palisade
n02940570 caller_id
n03206282 disco
n01536644 song_sparrow
n03517647 retreat
n07847827 heavy_cream
n07867021 enchilada
n07879659 tamale
n02387346 shire
n02170400 carpet_beetle
n03309110 eyeliner
n12194147 silkwood
n01995514 fairy_shrimp
n07895710 cabernet
n12974987 slime_mould
n04420720 thermocouple
n07714188 collard_greens
n04360798 support_column
n04404200 teletypewriter
n01668091 diamondback_terrapin
n11801392 birthwort
n04399537 tee
n07801342 silage
n12834798 waterleaf
n02241426 true_bug
n04539794 voile
n06274092 long_distance
n04969798 peacock_blue
n03688066 long_iron
n04969798 cobalt_blue
n02901620 brigantine
n03087069 cement_mixer
n03039827 dry_cleaners
n01531512 siskin
n01792955 broody
n04436992 time_capsule
n02010272 cattle_egret
n11790936 tuckahoe
n03923379 ampoule
n01421333 cryptophyte
n01748686 spitting_cobra
n07754894 cocoa_bean
n01744100 reticulated_python
n02796207 barrel_vault
n12385566 mignonette
n03466839 guildhall
n04402746 phone_system
n07902799 akvavit
n02478875 proconsul
n11712282 liriodendron_tulipifera
n02935387 caddy
n07853648 gouda
n02126139 serval
n03632100 lacrosse_ball
n03463381 ground_level
n02527271 moray
n07600394 butterscotch
n03913343 pentode
n03439631 glengarry
n03141327 cruise_ship
n12230794 strawberry_tree
n03089879 conference_room
n04023422 punchboard
n02214499 potter_wasp
n13102775 tendril
n02065026 fin_whale
n07920663 instant_coffee
n03416775 garand_rifle
n02512830 sport_fish
n04012482 turboprop
n02337902 grasshopper_mouse
n04321453 stob
n02506947 plantigrade
n04131208 beauty_parlor
n03759661 micrometer
n04465358 traction_engine
n02413593 hampshire
n04053508 range_finder
n12291959 bluebell
n04432043 thwart
n07589543 brunswick_stew
n03365374 flood
n03016609 chicken_wire
n03395859 fresnel_lens
n04375775 synchrotron
n01852671 muscovy_duck
n03180732 destroyer_escort
n12545635 lotus_corniculatus
n03956331 planetary_gear
n12015959 goldenrod
n07762740 ackee
n12290748 centaury
n09283405 foothill
n03577312 planimeter
n07597263 sweetmeat
n08539072 downtown
n03721047 marble
n07624757 knish
n03629100 kurdistan
n02277268 viceroy
n02782778 park
n07751858 greengage
n11785668 caladium
n02005399 shoebill
n04046277 raglan
n03293741 equalizer
n15093298 ascorbic_acid
n01593028 bushtit
n03906590 pelican_crossing
n04404200 teleprinter
n07868684 frog_legs
n07908812 benedictine
n07896661 macon
n08249459 military_band
n04282992 spode
n12753245 acer_saccharum
n07744811 blackberry
n02574910 remora
n11954161 creeping_thistle
n01457852 trumpetfish
n02205673 black_fly
n02669295 abutment
n02695627 alcazar
n11643835 arborvitae
n11619455 western_larch
n11628456 douglas_fir
n01573360 western_meadowlark
n03096439 contrabassoon
n03089477 cone_clutch
n07938007 multivitamin
n12790430 deutzia
n05258051 forelock
n04607869 wristwatch
n02964934 cargo_door
n12230794 arbutus_unedo
n03399677 front_porch
n10120671 gardener
n10155849 styler
n03832144 nosewheel
n13882201 pentagon
n12721477 palo_santo
n03360133 flat_arch
n04273796 speed_indicator
n02501583 tarsier
n04289027 sprinkler
n02881906 bowline
n04495698 tudung
n03500389 hay_bale
n11678010 cornstalk
n02583890 tetra
n02287004 geometrid_moth
n11977303 sneezeweed
n04963588 ruby
n02406432 ayrshire
n02761557 automobile_engine
n04114428 roundhouse
n01622120 little_owl
n03394649 french_door
n07820497 sage
n03836976 nylons
n07585758 gazpacho
n03313333 frontal
n02776978 balalaika
n07588193 wonton
n06272612 voice_mail
n01318478 migrator
n03037404 clapperboard
n07575076 tiffin
n03327133 felucca
n03716887 mandola
n01451426 soldierfish
n04122685 sachet
n03369276 flugelhorn
n06596845 trade_magazine
n04573281 welt
n12201580 theobroma_cacao
n11653904 kahikatea
n07870167 lasagna
n09410224 rift_valley
n09259025 crag
n03783430 monocle
n03842377 auxiliary_equipment
n03923564 phillips_screw
n07807834 macaroni_salad
n14786943 lagging
n03914106 peplum
n10304914 medal_winner
n12898342 deadly_nightshade
n04186624 shawm
n09421799 sandbank
n07751737 damson
n01323261 suckling
n03368352 flower_bed
n02431976 sika
n03697913 lungi
n03235979 dray
n00450866 pony_trekking
n04075291 remote_station
n04224842 sitar
n12338146 spotted_gum
n03209477 disk_controller
n04103094 rolling_mill
n00478262 soccer
n06883725 swastika
n02814428 beach_towel
n02499808 bushbaby
n12382233 cirio
n02523877 haddock
n03334912 spare
n05454833 sickle_cell
n02910542 buckram
n10007995 desk_clerk
n03087816 condenser_microphone
n07608098 marshmallow
n03006788 chantry
n13131028 umbel
n07740461 red_delicious
n12639736 bullace
n07802246 stover
n01664369 ridley
n01712752 ceratosaurus
n03382104 forecastle
n11958080 cosmos
n07689842 zwieback
n09309168 floe
n02122580 stray
n03193107 diesel_motor
n12681579 black_haw
n02803539 bass_clarinet
n03384167 fork
n02568959 grouper
n04260364 sonogram
n04292080 square_sail
n08547468 cow_pasture
n13155305 involucre
n07913537 virgin_mary
n02973904 carving_knife
n02685082 aigrette
n01836673 poorwill
n09818022 cosmonaut
n03437741 gingham
n04343511 student_center
n07825194 dill_pickle
n12304703 fraxinus_excelsior
n02061217 stormy_petrel
n01847407 dabbling_duck
n04469514 trampoline
n03408264 fusil
n03440216 gps
n07903643 calvados
n01925270 planarian
n04226464 skein
n03141455 crupper
n11628087 western_hemlock
n02414209 longwool
n01857325 brant_goose
n04390873 tannoy
n02759700 autoinjector
n09990777 dancing_master
n03900194 patrol_ship
n01856155 gander
n03326371 feedlot
n02766792 baby_grand
n03723439 marriage_bed
n00470830 hurling
n03035832 gittern
n04444218 toe
n07683617 pita
n13901858 dewdrop
n02432704 blacktail
n11640132 metasequoia
n04364160 lightning_arrester
n04317063 sternwheeler
n03561169 ignition_switch
n03186199 dhoti
n14858292 litter
n04431925 thunderer
n07898443 sauternes
n07585557 chicken_soup
n02979074 cassette_deck
n02324514 lapin
n07871436 meatball
n00449796 hydroplane_racing
n03878511 palaestra
n03385295 formica
n07718671 gherkin
n01665932 snapping_turtle
n02632039 spearfish
n01467804 amphioxus
n13912540 stemma
n03731019 mattock
n03885194 panting
n00470966 rugby_football
n03939677 pilothouse
n10701644 tennis_pro
n02513727 parr
n04179126 cloaca
n02851939 blindfold
n03612010 ketch
n12294124 gentianella
n02432291 whitetail
n01972541 cuttle
n02869249 castanets
n02067240 sperm_whale
n07853648 gouda_cheese
n04562496 waterspout
n02243209 water_boatman
n07740855 jonathan
n04503499 twinjet
n11626826 picea_rubens
n13107694 timber_tree
n04246855 smoking_car
n03268790 electric_car
n12898342 belladonna
n03326475 fell
n04137897 satellite_television
n01750167 death_adder
n03250588 smoother
n03983712 popper
n07836077 brown_sauce
n06263202 free_press
n02772101 backup_system
n07890226 porter
n07920349 cappuccino
n07917133 sazerac
n04332074 straight_razor
n02588794 margate
n04234763 slate_pencil
n03170635 deep_freeze
n15019030 sand
n04293258 squelch
n07848196 whipping_cream
n01782516 red_spider
n04963111 sanguine
n02836174 bidet
n01847806 mallard
n03544238 hour_hand
n07883384 elixir
n15092751 vitamin_k
n01615458 ern
n01683201 worm_lizard
n02726017 ao_dai
n04412416 tipi
n02361587 groundhog
n03609235 kayak
n07925229 lemon_juice
n04570214 wedgwood
n07924834 orange_juice
n07592922 salmi
n08521623 burial_site
n03451365 grade_separation
n02921029 etna
n02393161 black_rhinoceros
n03302938 exhaust_system
n03399971 fruit_machine
n02852173 flasher
n11625632 white_spruce
n02662993 brill
n04409806 tennis_racket
n01884834 tasmanian_devil
n02844214 bistro
n12876899 figwort
n01668436 redbelly
n12336333 eucalyptus_camaldulensis
n06359467 chatroom
n00120010 hop
n03202354 dinner_table
n04262530 sounding_rocket
n12859986 catnip
n07868200 french_toast
n11844371 saguaro
n03882611 pane
n12284821 alnus_glutinosa
n01340522 polyoma
n03646296 lathe
n07880325 welsh_rarebit
n02666501 abandoned_ship
n04246731 smokehouse
n01622352 horned_owl
n07711080 chips
n04963307 turkey_red
n11602478 ceratozamia
n12093329 cyclamen
n03052464 haberdashery
n12120347 teff
n02770211 back_porch
n07924443 cranberry_juice
n03200231 dining_area
n03036244 city_university
n01597906 western_tanager
n03063968 coffee_table
n02524524 hake
n02871005 bookend
n07564796 pap
n07821610 tarragon
n12506991 kidney_vetch
n03193107 diesel
n07913393 bloody_mary
n02794474 barouche
n12051103 red_helleborine
n02302969 luna_moth
n03115180 cotton
n03290096 ensign
n01620735 king_vulture
n11853356 christmas_cactus
n02812949 bayonet
n03548402 hula_hoop
n03402941 funeral_parlor
n03781055 molotov_cocktail
n02239192 chinch_bug
n02762508 autostrada
n13226320 quillwort
n08583292 hemline
n03522990 hitching_post
n02428508 gemsbok
n04018155 pa_system
n05263183 stubble
n02904803 brocade
n12484784 bog_myrtle
n03041810 clerestory
n02898585 bridal_gown
n12029635 coltsfoot
n02613181 blenny
n01667432 musk_turtle
n04323519 stockinette
n14942411 loadstone
n03256166 tipper
n02561514 muskellunge
n02220055 pharaoh_ant
n02340930 pine_vole
n04506289 uke
n12520406 guar
n03178674 derringer
n12267931 cupule
n12696492 azadirachta_indica
n04146862 training_ship
n04295353 stabling
n03440876 lazaretto
n02762169 automatic_pilot
n11946051 safflower
n02275560 mourning_cloak
n07880213 terrine
n04384910 taillight
n01350226 bacillus_anthracis
n03177165 depilatory
n12675876 lonicera_japonica
n04104384 roman_arch
n03628071 kohl
n01499732 cownose_ray
n04438643 time_switch
n05468739 oligodendrocyte
n03492087 hansom
n04962062 silver_grey
n03325941 trilby
n04131929 salver
n03471779 guy
n06273414 call_forwarding
n03824999 nightshirt
n02243562 water_strider
n09327077 kopje
n09428628 seaside
n11770256 alstonia_scholaris
n03402941 funeral_parlour
n01748906 king_cobra
n07879450 sushi
n03693860 lowboy
n04015908 protractor
n12320414 water_hickory
n04126066 safety_bicycle
n03239054 full_dress
n09428628 seaboard
n03963294 playback
n01859496 tundra_swan
n09339810 lithosphere
n03262932 easy_chair
n03204134 dipole
n04597309 woodcarving
n02917377 bullhorn
n12428076 martagon
n12916511 tectona_grandis
n04347119 subcompact_car
n04012482 propjet
n03201638 formal
n02823124 pager
n04358874 superstructure
n02146201 red_bat
n02893608 breadbasket
n01619835 vultur_gryphus
n02361587 woodchuck
n02310334 corn_earworm
n13096779 lignum
n07688624 pone
n01880716 bettong
n01467804 lancelet
n07846557 skim_milk
n03172738 delayed_action
n07768318 seckel
n03365231 floatplane
n13882487 heptagon
n03618101 king
n02573704 bluefish
n12183452 malope
n02749670 assegai
n07803213 pearl_barley
n02979399 cassette_tape
n10755080 violist
n12649317 japanese_cherry
n04290762 spy_satellite
n01958435 cherrystone
n01586374 cactus_wren
n02553028 lingcod
n02813981 b_battery
n03199488 dimmer
n02622955 hairtail
n02388276 trotter
n06266633 fleet_street
n11631854 cupressus_arizonica
n07592481 beef_stew
n03723885 martingale
n03711044 mail_train
n02127678 caracal
n02036228 banded_stilt
n12585629 palmyra
n15093298 vitamin_c
n07859796 sugar_syrup
n07808904 tabbouleh
n04307878 chophouse
n02936281 caff
n07893425 sacramental_wine
n01330126 adenovirus
n11676850 gynophore
n12934479 caraway
n11793779 calla_lily
n12723062 larrea_tridentata
n12922763 croton
n10229883 keyboardist
n07887099 draught_beer
n02873733 bootie
n03396580 friary
n09447666 strand
n02539424 lake_whitefish
n11735570 goldenseal
