n07594066 cake_mix
n02360282 chipmunk
n04355821 sun_gear
n02967782 carpet_sweeper
n07928887 root_beer
n07861158 bread_dough
n03268790 electric_automobile
n04102162 rollerblade
n07693590 danish
n02685082 aigrette
n03439631 glengarry
n07935737 bottled_water
n01596273 sand_martin
n11835251 greasewood
n01334217 variola_major
n03923379 ampule
n15102894 knothole
n12029635 coltsfoot
n02739889 armoured_car
n04250692 snood
n09445289 steppe
n02237581 mirid
n03268790 electric
n04155457 scribe
n03202354 dinner_table
n02339922 packrat
n12973791 rhizopus
n03674270 link
n11653904 kahikatea
n01579578 daw
n03875955 paintball_gun
n12927758 tung_tree
n09618957 face
n13880199 isosceles_triangle
n04200537 shoehorn
n12472024 clintonia
n02731629 scuba
n07860208 golden_syrup
n02811719 battle_dress
n03506880 hearse
n12023726 tanacetum_vulgare
n04532831 vibraharp
n03413684 gambrel_roof
n02298218 fall_armyworm
n12320414 water_hickory
n12408280 slippery_elm
n12218274 silky_oak
n03678879 driving_axle
n09189157 eyrie
n07715221 brussels_sprouts
n12044467 aerides
n03519387 tower_block
n00434075 acrobatics
n03801533 music_hall
n03408444 futon
n12393269 ramee
n07741138 macoun
n12363301 dillenia
n01623880 strix_occidentalis
n07853345 double_gloucester
n04346157 stun_gun
n12344283 evening_primrose
n02081927 pacific_walrus
n02393940 malayan_tapir
n13060190 jelly_fungus
n11542137 sphagnum_moss
n03609959 keelson
n11602478 ceratozamia
n03999064 prefab
n03052464 clothing_store
n03913343 pentode
n03067518 cold_frame
n11700058 mayapple
n03882611 paneling
n04146862 training_ship
n02786736 bandoneon
n03195959 dat
n04273285 speculum
n03903133 peavey
n00483705 court_tennis
n02311748 leptocephalus
n07704205 jook
n03963483 playbox
n01457852 trumpetfish
n00440382 long_jump
n03923379 phial
n02742753 arrow
n01697611 crocodylus_porosus
n00442981 dive
n01542786 weaver
n02869249 clappers
n01839330 downy_woodpecker
n13022709 mycelium
n04082710 retaining_wall
n03718789 mansard_roof
n03228254 doublet
n03194297 differential
n07610620 baked_alaska
n12963628 powdery_mildew
n07732168 green_corn
n04950952 wood_grain
n04390873 tannoy
n12753245 sugar_maple
n11617090 monterey_pine
n03598151 jib
n01735577 ribbon_snake
n02407390 friesian
n02003204 marabou
n02900160 bridle
n03762332 two_iron
n02983904 cathedra
n04131208 beauty_shop
n03241335 water_fountain
n04969952 purplish_blue
n12606438 commelina
n12062781 chatterbox
n15093298 vitamin_c
n03745146 menagerie
n02433318 fallow_deer
n12266528 myrtle_beech
n08521623 memorial_park
n12311579 syringa_vulgaris
n04387706 tamp
n07934282 iced_tea
n04545858 walkie_talkie
n12741222 soapberry
n02563792 bluegill
n12093600 cyclamen_hederifolium
n12753007 silver_maple
n01322508 wolf_cub
n04261638 sound_camera
n03127203 crankcase
n07829331 wine_vinegar
n03505015 headrace
n12594989 raffia_palm
n03779246 moire
n02982599 catch
n03039827 cleaners
n02685365 air_bag
n03890093 parer
n07803408 bulgur
n03524150 hockey_stick
n02964295 car_ferry
n01488038 whale_shark
n03842986 ohmmeter
n00446980 archery
n04206790 shot_tower
n07844786 sour_milk
n04050066 rake
n02425086 mountain_nyala
n12105353 crested_wheatgrass
n12596709 roystonea_regia
n11706942 red_bay
n04375241 synchromesh
n01979874 callinectes_sapidus
n04187233 sheathing
n01319467 sea_creature
n02435216 musk_deer
n02695627 alcazar
n01814217 mourning_dove
n11765568 honey_mesquite
n02590987 porgy
n03983712 popper
n04516354 used_car
n03370646 fluoroscope
n04064747 record_cover
n03501152 hazard
n02028451 lesser_yellowlegs
n01448594 guppy
n04142434 scalpel
n02542017 ladyfish
n03635032 lamasery
n04591631 wine_bar
n04397768 teakettle
n03325941 felt_hat
n07854066 limburger
n02862916 body_lotion
n01860497 screamer
n11610215 single_leaf
n12282737 white_birch
n03982642 poop_deck
n03237992 dressing_gown
n02012185 least_bittern
n02025043 turnstone
n01916481 sea_fan
n11957678 calliopsis
n03801533 vaudeville_theater
n03220237 dolmen
n06596727 slick
n02878628 buhl
n02679257 adding_machine
n03045800 cloakroom
n11870747 alyssum
n03751269 mess_jacket
n03381450 force_pump
n02947977 candid_camera
n01641391 leopard_frog
n04266968 spaghetti_junction
n07586894 minestrone
n05263183 stubble
n01946630 nerita
n12074867 ophrys_apifera
n02621258 surgeonfish
n02957252 capstan
n03622526 klystron
n12568186 robinia_pseudoacacia
n03688066 long_iron
n03327133 felucca
n11811706 ragged_robin
n04087826 ribbing
n04278447 spinnaker
n11616662 scots_pine
n02340930 pine_vole
n13866626 convex_polygon
n03721590 marina
n01566207 tailorbird
n03175983 dental_implant
n07585107 chicken_broth
n03141612 cruse
n04475411 trapeze
n15092751 vitamin_k
n02966545 clawhammer
n03781055 molotov_cocktail
n11830906 saltbush
n02366002 agouti
n02846511 chalkboard
n03981566 pontoon
n07711232 home_fries
n03112719 corselet
n12754781 norway_maple
n03695753 luge
n11919761 ambrosia_artemisiifolia
n12704513 bilimbi
n02871005 bookend
n02003577 openbill
n02475078 neanderthal_man
n12183452 malope
n13862407 leaf_form
n04104384 roman_arch
n03914583 pepper_spray
n07891189 near_beer
n03204134 dipole_antenna
n03294604 eprom
n04313628 stela
n01394492 arcella
n03533014 shisha
n01557185 thrush
n01614038 harpy
n08644045 harborage
n01930852 ascaris_lumbricoides
n12272239 quercus_garryana
n03609397 kazoo
n02747802 ashtray
n02587300 mangrove_snapper
n12606545 spiderwort
n02897389 brewpub
n12681893 weigela
n03525693 holding_cell
n03027001 chronometer
n02745611 artificial_horizon
n01839086 green_woodpecker
n03724176 maser
n00449796 hydroplane_racing
n04077889 research_center
n11769176 adenium_obesum
n12865824 salvia_officinalis
n01664369 ridley
n03557590 ice_machine
n04215153 sidesaddle
n02056228 adelie
n12898342 atropa_belladonna
n02388276 trotter
n10043643 economist
n03724756 masjid
n07895710 cabernet
n03233624 drawbar
n12114590 chloris_gayana
n04153330 screening
n02287004 geometrid
n03600285 riding_breeches
n01701859 stegosaurus
n03904782 pedometer
n04103206 rolling_pin
n01424420 plasmodium_vivax
n07722485 spring_onion
n12771390 kaki
n02869249 castanets
n03251533 graving_dock
n08598568 mecca
n01614038 harpy_eagle
n02780815 tutu
n07616590 split
n02295870 underwing
n03708843 magnetometer
n04083800 retractor
n03343560 fire
n03251932 dry_fly
n04013176 proscenium
n03942920 pinhead
n04448070 toilet_water
n03051249 clothespin
n03397087 frieze
n02956393 capital_ship
n02414209 longwool
n02917521 bullion
n07601686 candy_corn
n02792409 bareboat
n00467536 shuffleboard
n02871147 bookmark
n03129001 creamer
n04969242 sapphire
n01543175 baya
n01664990 hawksbill_turtle
n04145863 schmidt_telescope
n02030837 willet
n07600285 bubble_gum
n02784124 banana_boat
n09833536 baker
n02857907 boards
n07655263 saute
n04289195 sprinkler_system
n00466630 match_play
n12723062 coville
n02448318 ratel
n12696492 azadirachta_indica
n07711080 chips
n03166809 death_row
n04061969 niche
n09450163 sun
n11992479 texas_star
n07890750 mead
n09348460 massif
n03165616 day_school
n03283221 emergency_room
n04419073 theodolite
n02822762 beefcake
n13155305 involucre
n09410224 rift_valley
n12199790 brown_oak
n12291959 bluebell
n02977936 casino
n12987056 lichen
n03727067 mastaba
n11759853 monkeypod
n02486908 mandrill
n03122295 conestoga_wagon
n02921029 bunsen
n03499354 hatpin
n04596492 witness_stand
n07878647 stuffed_peppers
n02960690 carabiner
n07936015 spring_water
n02136452 fossa
n03522100 hipped_roof
n03620967 kitchen_table
n04219424 silk
n03495671 harpoon
n03923564 phillips_screw
n02451415 taira
n04200258 shoebox
n07687381 baguette
n02208280 honeybee
n04444218 toe
n06276697 broadcasting
n02065726 humpback_whale
n03483971 handcar
n02843029 birch_bark
n02782681 ballot_box
n07848196 whipping_cream
n12522678 indian_rosewood
n04589593 window_frame
n07846143 dried_milk
n07888465 white_beer
n02699770 reredos
n04013600 proscenium_arch
n04976952 skin_color
n12717644 dika
n02940385 call_centre
n03745146 zoo
n09834699 ballet_dancer
n11672269 bloomer
n07887461 bock_beer
n02973904 carving_knife
n02389128 palomino
n04441662 tithe_barn
n09433839 shoreline
n04963588 crimson
n07801342 silage
n02079851 harbor_seal
n01671479 desert_tortoise
n03536122 horizontal_stabiliser
n02064000 greenland_whale
n12640839 prunus_mume
n07694839 hardtack
n01837072 frogmouth
n03557692 ice_maker
n03126090 cramp
n07804900 paddy
n09818022 spaceman
n02390015 jennet
n03098959 control_tower
n02381609 tarpan
n01967963 piddock
n03918737 organizer
n01557962 mistle_thrush
n12879527 calceolaria
n01964271 mytilus_edulis
n07908567 amaretto
n11996677 mutisia
n02434954 barking_deer
n04282231 splicer
n03309110 eyeliner
n02813981 b_battery
n02499808 galago
n07723039 leek
n04225987 skateboard
n04584373 wigwam
n02407625 whiteface
n04582205 wicker
n13883763 spherical_triangle
n00451635 motorcycling
n08524735 city
n07919165 zombi
n03836976 silk_stocking
n00481803 professional_basketball
n04207343 shoulder_bag
n01693783 chamaeleon
n01637615 slender_salamander
n07854266 muenster
n03043693 clinker_brick
n03115180 cotton
n01736375 ground_snake
n12180168 mahoe
n02749953 assembly
n03323211 farmyard
n03826186 quonset_hut
n03914831 percale
n12522894 sissoo
n04472563 transmission_shaft
n04016240 lopper
n02783459 ball_valve
n02880842 bowie_knife
n08494231 funfair
n07843636 fried_egg
n01323068 tiger_cub
n13163553 deadwood
n03684611 lockstitch
n07762740 ackee
n11801392 birthwort
n04023695 punch_bowl
n12922763 croton
n03963294 playback
n04384910 taillight
n03649674 lawn_chair
n01678343 chuckwalla
n11690254 floral_cup
n02737351 ark
n07881404 tostada
n02869155 bone_china
n00453478 fox_hunting
n02811936 crenellation
n04055180 ratchet
n12585629 borassus_flabellifer
n03716887 mandola
n03056583 coaming
n07709881 bean_curd
n02266050 dobsonfly
n08596076 littoral_zone
n00434075 tumbling
n02037464 phalarope
n02557318 european_perch
n03675235 linotype
n01790812 cochin_china
n03609235 kayak
n03797390 mug
n04231905 skivvies
n01504179 fledgeling
n04287747 spray_gun
n11709674 magnolia
n04238128 slide
n02395694 piggy
n07894799 chardonnay
n07752514 dried_apricot
n03929091 piccolo
n03607659 kalashnikov
n01621635 owlet
n02965529 carillon
n07814203 cinnamon
n03713436 maiolica
n01576076 golden_oriole
n07561848 balanced_diet
n01534155 bullfinch
n11930038 artemisia_campestris
n03506184 headstock
n03693860 lowboy
n02160947 social_insect
n03077616 common_room
n04590553 windshield
n07612137 pavlova
n07867021 enchilada
n02447762 american_badger
n02421136 addax
n01333610 reoviridae
n10474064 princess
n02327842 snowshoe_hare
n03878963 palisade
n03216402 diving_dress
n03465718 guestroom
n12974987 slime_mold
n03697913 lungi
n01813088 wood_pigeon
n01734104 pine_snake
n02936281 caff
n11611758 pinus_pinea
n07592922 salmi
n11717577 nelumbo_lutea
n01397690 arame
n03057841 coatee
n01752585 adder
n11793403 malanga
n03809211 nard
n02409508 cape_buffalo
n03512452 heliograph
n04278932 spinning_frame
n01857632 honker
n02327656 arctic_hare
n07801779 alfalfa
n12129738 phalaris_arundinacea
n02961544 car_bomb
n04383839 taffeta
n07933799 cupper
n12276477 quercus_petraea
n03672827 line_printer
n04130143 salad_bar
n03551582 hydraulic_pump
n12477163 agave_americana
n04307767 staysail
n04173907 serape
n01931520 pinworm
n02716626 abm
n03011741 checkout
n03530511 hone
n02341616 prairie_vole
n07907161 irish_whiskey
n04037873 race
n02699770 altarpiece
n12754468 vine_maple
n07562881 fad_diet
n07897116 retsina
n02384741 steeplechaser
n12669803 lemonwood
n07698543 reuben
n02380745 broncho
n12110236 wild_oat
n02053425 solan
n07852919 american_cheese
n01690149 anguis_fragilis
n06272612 voicemail
n02379183 quarter_horse
n02864593 bitt
n02710600 aneroid
n07613158 syllabub
n03193107 diesel
n01517966 carinate
n01859190 mute_swan
n07873464 pilaf
n02925666 buskin
n03391770 framework
n03530189 homing_torpedo
n07894551 chablis
n04368496 morning_coat
n03505133 headrest
n02363351 castor_canadensis
n12807624 platanus_orientalis
n03483230 handbell
n07613266 tiramisu
n12012111 ragwort
n01792429 cockerel
n02262449 mayfly
n04192521 sheraton
n01805321 monal
n01382033 spirochete
n04461570 towpath
n12656369 framboise
n01573360 western_meadowlark
n04213530 sickroom
n03824713 night_light
n02990758 celesta
n12869478 germander
n03518631 high
n07893642 champagne
n03302938 exhaust
n03931765 picture_frame
n12274358 quercus_macrocarpa
n07683617 pita
n04084889 revers
n03639497 land_line
n09353815 microfossil
n07696625 ham_sandwich
n07834507 mayo
n02407276 galloway
n02533834 anchovy
n09927089 cleaner
n04001265 pressure_cooker
n01842235 barbet
n02512830 sport_fish
n02333546 brown_rat
n12484784 bog_myrtle
n02412210 wether
n04346428 sty
n11757190 catechu
n05451384 lymphocyte
n07730708 celeriac
n01856072 gosling
n01546039 scrubbird
n12277578 common_oak
n03825271 skittle
n01904806 scallop_shell
n02807616 bathrobe
n04969242 azure
n09230202 butte
n04552551 war_room
n11645590 wollemi_pine
n03097362 control_center
n12849952 english_lavender
n07914413 daiquiri
n07890068 pale_ale
n03628071 kohl
n03738066 pianola
n01580870 jaybird
n02791665 barbican
n02692086 prop
n12522188 rosewood
n03465818 guidance_system
n12049562 calypso
n03831382 noseband
n04289576 spritsail
n02115096 jackal
n02977438 register
n03382856 foremast
n04953678 iridescence
n07925327 lime_juice
n04138977 saucepan
n03329663 ferry
n03668279 light_pen
n04006411 probe
n11978713 mirasol
n02454794 dasypus_novemcinctus
n11797321 aralia
n03325941 trilby
n02753394 atomic_clock
n03776997 mock_up
n03698723 lyceum
n12932173 archangel
n12708941 bergamot
n02535759 landlocked_salmon
n07918028 sour
n07733005 garden_cress
n01857325 brent
n11619455 western_larch
n02732572 arabesque
n04969798 aqua
n04104925 rood_screen
n02380052 lipizzan
n04403925 telescopic_sight
n12865562 purple_sage
n02993194 empty_tomb
n03268311 elbow
n01615458 ern
n07920222 latte
n11652039 podocarp
n03452594 longcase_clock
n12402596 pipal_tree
n13132940 cyme
n07563800 liquid_diet
n02015797 corncrake
n03418749 garibaldi
n10324560 model
n12289310 corylus_americana
n09894445 cardiologist
n13079073 monilia
n02852043 bling_bling
n03871524 packaging
n02922578 burka
n13099999 deciduous_plant
n04177931 settlement_house
n03393761 freewheel
n01681940 horned_lizard
n03333610 field_house
n03469832 gunnery
n12479537 dracaena
n11628087 western_hemlock
n02956699 capitol
n07618432 chocolate_pudding
n02786198 bandana
n12031927 vernonia
n01713764 tyrannosaurus
n04510706 universal_joint
n03017698 chimney_breast
n12771390 diospyros_kaki
n02610373 bergall
n02125081 european_wildcat
n04054361 rapier
n07928578 phosphate
n02140049 flying_fox
n04976952 complexion
n04247011 smoke_screen
n03784270 monstrance
n03463381 first_floor
n12932365 angelica_sylvestris
n03952576 pizza_parlor
n07581249 antipasto
n03435593 geodesic_dome
n13232779 honey_fungus
n08613733 open_air
n02524202 pollock
n03711044 mail_train
n03393017 free_house
n02988679 cd_rom
n07908812 benedictine
n01812662 rock_pigeon
n03168217 beach_chair
n03016209 chicane
n10772092 weather_forecaster
n11963932 brittlebush
n12965626 claviceps_purpurea
n07598256 candy_bar
n04420720 thermocouple
n02060569 manx_shearwater
n07919894 drip_coffee
n01517966 flying_bird
n03085219 computer_monitor
n02868975 cupel
n07720084 sugar_beet
n03567066 brooder
n04975739 complementary
n03826039 niqab
n01500854 devil_ray
n02172518 scarabaeus
n03289660 enlarger
n11770256 alstonia_scholaris
n04432662 ticking
n03886762 paperclip
n07879953 tempura
n03212114 garbage_disposal
n07741235 northern_spy
n02076402 crabeater_seal
n02898369 brickwork
n02281015 small_white
n10769188 laundress
n02414043 karakul
n03703945 mae_west
n01559477 hermit_thrush
n02823586 beer_garden
n12704041 oka
n09436708 sky
n13108323 pollard
n03256788 dune_buggy
n02378149 remount
n04290079 spun_yarn
n03935234 piggery
n03078670 commutator
n03577090 integrated_circuit
n07608339 nougat
n11971248 gazania
n03522003 hippodrome
n03173929 delivery_van
n12939874 heracleum_sphondylium
n04130907 salade
n03892425 parquetry
n03639230 landing_skid
n02172518 scarab
n07916437 old_fashioned
n01442710 rudd
n02666943 slaughterhouse
n11769176 desert_rose
n04498873 turbogenerator
n03374570 flytrap
n04304215 spaceship
n08618831 perihelion
n03726516 spectrometer
n03697366 lunar_module
n04452615 toolbox
n03492250 harbor
n07617708 christmas_pudding
n04208065 shoulder_patch
n04442441 toaster_oven
n02861387 bodice
n02816768 beany
n03653740 lecture_room
n02286089 gipsy_moth
n04476116 dragger
n04313628 stele
n02332156 mus_musculus
n04262161 sounding_board
n11771924 carissa_macrocarpa
n03505667 headset
n03440216 gps
n01791107 jungle_fowl
n03431570 gear_box
n10405694 patient
n12387103 halophyte
n03012013 cheekpiece
n12754648 field_maple
n12107710 meadow_foxtail
n02700895 amati
n10155849 hairstylist
n01531512 siskin
n04503593 twist_drill
n04186624 shawm
n12321873 shellbark
n03676087 lip_gloss
n12646397 islay
n03049924 flat_cap
n12833985 streptocarpus
n02485688 green_monkey
n03664159 life_support
n02560110 snook
n13132756 thyrsus
n07607967 troche
n02894337 breakfast_table
n09392402 pinetum
n03712111 main_rotor
n01958346 littleneck
n02584449 piranha
n12552893 restharrow
n03782794 monkey_wrench
n01612275 falco_columbarius
n02084732 doggie
n04172776 sentry_box
n07890540 guinness
n07870167 lasagne
n03437430 gilding
n03844673 petroleum_refinery
n03881404 panchromatic_film
n04234887 slate_roof
n02977438 cash_register
n04497801 tuning_fork
n03101664 cookie_jar
n12726159 golden_willow
n07827750 poppy_seed
n01623706 scops_owl
n04384910 rear_light
n03063968 coffee_table
n02557182 yellow_perch
n02156871 quadruped
n07855510 peanut_butter
n03998333 tallis
n12091550 oxlip
n03247083 dropper
n07756951 watermelon
n02243209 water_boatman
n02738449 armband
n02064816 blue_whale
n03529175 homeroom
n05545879 foramen_magnum
n01791107 gallina
n12743352 longan
n03210552 dispensary
n03604156 nickelodeon
n07609407 taffy
n03726516 mass_spectrometer
n01584853 house_wren
n02738741 armet
n01467804 amphioxus
n13067330 ustilago_maydis
n02365480 capybara
n03145522 cue
n07682197 crouton
n01339801 cytomegalovirus
n04610274 yagi
n08494231 pleasure_ground
n04492060 trunk_lid
n03219010 doyley
n10155849 hairdresser
n04310157 road_roller
n02624987 tinker
n02852173 flasher
n11640132 metasequoia
n03878511 palaestra
n02366959 nutria
n02967626 underlay
n02424909 nyala
n02516188 lungfish
n11668117 monocotyledon
n12796022 bergenia
n07868830 galantine
n11782036 alocasia
n12506991 kidney_vetch
n10443032 pipe_fitter
n04102618 roller_skate
n02476870 australopithecus_africanus
n02536165 sockeye_salmon
n07905474 schnaps
n03325941 fedora
n01927159 schistosome
n03606347 jury_box
n07569873 soy_flour
n04181718 shade
n04131208 beauty_parlor
n01959985 cockle
n03634034 pile_dwelling
n02397744 javelina
n03108624 core_drill
n12113195 feathertop
n06281040 reception
n03075946 command_module
n02305636 tiger_moth
n07823460 salsa
n03290096 ensign
n03460899 gristmill
n04443433 toboggan
n04285803 sportswear
n04244379 sluice
n12568186 black_locust
n03443149 goalpost
n03408054 fuselage
n03854506 oled
n01670802 giant_tortoise
n11977303 sneezeweed
n02831237 beret
n03500389 hay_bale
n04600912 work_clothing
n04969798 cobalt_blue
n04601938 workpiece
n02059852 giant_petrel
n12807409 american_sycamore
n04259202 solenoid
n03725600 mason_jar
n03854722 organ_loft
n07591330 scouse
n03688605 long_pants
n04471912 transit_instrument
n03973839 pocket_watch
n09415584 riverside
n04028315 puzzle
n14810561 choline
n02333909 rattus_rattus
n01625562 barn_owl
n04464615 trackball
n03555217 hypercoaster
n07846143 milk_powder
n04519153 valve
n03291413 entrenching_tool
n07585758 gazpacho
n02702989 ammeter
n03653110 imitation_leather
n02348788 pocket_mouse
n02817650 beater
n03177059 departure_lounge
n12631331 avens
n01382033 spirochaete
n03319167 fallout_shelter
n11889619 candytuft
n02993368 censer
n04070415 refractometer
n07855105 gruyere
n04530283 vertical_tail
n03846431 olympian_zeus
n01646802 american_toad
n04409384 tenement
n02846874 blackface
n02744323 arterial_road
n11978713 helianthus_annuus
n03838024 object_ball
n03601638 jointer
n01852671 muscovy_duck
n03119203 country_store
n03436182 ghetto_blaster
n02613181 blenny
n03225108 dormitory_room
n04381860 tabletop
n02132788 kodiak_bear
n02921406 burberry
n02425532 nilgai
n11735570 golden_seal
n12307756 privet
n03767459 mimeograph_machine
n10007995 desk_clerk
n03262932 easy_chair
n13908201 cleft
n00480366 jai_alai
n12286826 hornbeam
n01443831 crucian_carp
n02420509 blackbuck
n03502200 headboard
n12909421 petunia
n07894703 montrachet
n03239054 tailcoat
n09362945 mull
n07731767 belgian_endive
n07621497 sabayon
n04081699 rest_house
n04126244 safety_lock
n10701644 tennis_pro
n03086457 concert_grand
n02450295 pine_marten
n02816656 beanbag
n02150482 vampire_bat
n03316105 fax
n04439712 tinfoil
n11616852 virginia_pine
n13102775 tendril
n04285965 sport_utility
n04132158 shalwar
n08551296 eparchy
n03145719 cue_ball
n04077889 research_facility
n01646388 agua
n04293744 squinch
n07643026 lemon_curd
n02826068 bell_jar
n01990516 squilla
n07605380 fondant
n07903962 grappa
n06614901 outtake
n07564515 macrobiotic_diet
n07887099 draft_beer
n02098806 bird_dog
n03699591 panga
n12393269 ramie
n07900225 varietal
n04087709 ribbed_vault
n05260240 pompadour
n03772674 minuteman
n04112252 rotary_wing
n02031298 eurasian_woodcock
n12968136 sclerotinia
n03268790 electric_car
n03844233 oil_paint
n01384164 zooplankton
n03378005 food_court
n03980026 pomade
n11811921 maltese_cross
n12403994 paper_mulberry
n03300443 ethernet_cable
n02306825 eggar
n12924623 ricinus_communis
n02675219 acetate
n04156591 scuffle
n01830915 motmot
n03492087 hansom
n11929743 artemisia_annua
n01854700 goosander
n04414319 samian_ware
n03326475 fell
n01824344 ani
n12554526 locoweed
n11717399 nelumbo_nucifera
n03646296 lathe
n07899976 generic
n11954161 creeping_thistle
n04431745 thumbtack
n01481498 chimaera_monstrosa
n07903643 calvados
n02618827 dragonet
n02731398 apse
n01554448 woodcreeper
n07903841 cognac
n04180888 sextant
n04378956 tabi
n02207805 worker_bee
n04279462 spinning_wheel
n12807251 london_plane
n12642964 capulin
n03986355 portfolio
n12907857 nicotiana_tabacum
n12304703 fraxinus_excelsior
n02975994 casein_paint
n08628141 casbah
n12277578 pedunculate_oak
n02522722 atlantic_cod
n03892178 parquet_floor
n03915320 percussion_cap
n04328703 storage_ring
n06259898 channel
n02884994 box_camera
n07900958 sherry
n13188096 davallia
n09894445 heart_specialist
n02925385 bush_jacket
n07605804 penuche
n07642742 apple_butter
n01663782 green_turtle
n08249459 military_band
n04520962 vaporizer
n04973585 brick_red
n11536673 aquatic
n12766869 toxicodendron_radicans
n12723062 creosote_bush
n03492922 tin_hat
n03187751 dialyzer
n10041887 earner
n07740597 empire
n07688624 pone
n07896893 muscadet
n13092240 ascospore
n11759609 siris
n02609302 bluehead
n03082450 compress
n02769290 backhoe
n01987076 snapping_shrimp
n07848093 sour_cream
n12052787 coelogyne
n02686227 air_compressor
n04174705 serration
n03637787 lancet_arch
n04502059 turret_clock
n03722646 marlinspike
n04266162 space_laboratory
n03889726 parasail
n01549886 phoebe
n07853560 goat_cheese
n03223686 doorstep
n03005147 chancery
n12882779 digitalis
n02010453 night_heron
n02685253 aileron
n07860331 grenadine
n07730406 celery
n02251593 citrus_mealybug
n07936459 ice_water
n03720163 map
n04294879 horse_barn
n01892551 water_shrew
n01833112 swiftlet
n03901974 pawnshop
n03717447 manhole
n12196694 kurrajong
n03668803 lilo
n04002629 primary
n04305471 state_prison
n07858336 tapenade
n03394649 french_door
n02272871 earwig
n07880213 terrine
n04499810 turnbuckle
n03361550 flats
n01323355 sire
n02024185 dotterel
n06274092 long_distance
n03413124 gibbet
n01539925 house_sparrow
n12421137 hippeastrum
n01622120 athene_noctua
n02687821 hangar
n07880080 teriyaki
n12785889 stonecrop
n07815839 black_pepper
n07689490 cinnamon_toast
n12676534 woodbine
n02456008 tatu
n08521623 burial_ground
n02416964 nanny
n03292475 epee
n04963111 sanguine
n12914923 vervain
n15102455 hardboard
n01859496 tundra_swan
n03548195 huck
n11680596 pollen_tube
n09400987 pulsar
n12949361 kapuka
n03842012 office_block
n02168427 glowworm
n01808291 rock_partridge
n00450866 pony_trekking
n03730494 maternity_ward
n12908093 nicotiana_rustica
n03220237 portal_tomb
n02592055 sheepshead
n01709876 barosaurus
n07588947 stew
n04226826 skeleton_key
n03223686 threshold
n12801520 parnassia
n02336826 vesper_mouse
n02759257 autofocus
n02428089 puku
n12023108 feverfew
n00443803 flip
n07621618 garnish
n03173929 delivery_truck
n12766869 poison_ivy
n03450974 grab_bag
n04065909 recycling_plant
n01699254 spectacled_caiman
n07920349 cappuccino
n04179126 sewer
n04412416 tepee
n04229007 skidder
n07879659 tamale
n01958435 cherrystone
n07591961 paella
n04541320 voltmeter
n04360798 support_column
n01569060 blackburn
n03264906 edger
n03287351 energizer
n03188290 diamante
n04458201 torture_chamber
n12965626 ergot
n02761034 automatic_transmission
n02122510 alley_cat
n03989349 postern
n03815149 necklet
n01890860 shrew_mole
n04094060 ripcord
n02125010 sand_cat
n03405111 furnace_room
n07853232 cheshire_cheese
n04172512 sennit
n01646388 bufo_marinus
n03732114 mausoleum
n09443281 spoor
n12117017 crabgrass
n02998841 chadar
n02513248 rough_fish
n02310717 woolly_bear
n02536165 sockeye
n02892392 brassard
n02419336 chamois
n02396796 babirusa
n12510343 dhak
n07741357 pearmain
n07857356 wasabi
n04158250 scythe
n12808007 arizona_sycamore
n12270027 quercus_alba
n03878828 palette_knife
n11950345 chrysanthemum
n02072040 river_dolphin
n04542858 wading_pool
n03950647 pitch_pipe
n02843276 birdcage
n12753762 striped_maple
n03470948 gurney
n11733312 larkspur
n03365374 floodlight
n12697152 cedrela_odorata
n04089836 riding_crop
n03180865 detached_house
n12584191 areca
n11906127 golden_cup
n02450561 american_marten
n03373611 flying_boat
n02045596 auklet
n03102516 coolant_system
n01748906 king_cobra
n03699754 machicolation
n02390738 kiang
n01396048 paramecia
n01857079 snow_goose
n01416213 zooid
n04393549 tapis
n08645104 scrubland
n03853924 ordinary
n03758992 microbrewery
n07807834 macaroni_salad
n12402596 pipal
n07593774 ready_mix
n04312154 steelyard
n07839730 soubise
n12385566 mignonette
n01602630 vireo
n02340640 rice_rat
n07862611 beef_wellington
n01563128 warbler
n02922798 gunny
n03662452 lie_detector
n04405762 television_monitor
n04241042 slipknot
n07853648 gouda_cheese
n02780315 ball_bearing
n12092417 scarlet_pimpernel
n07606669 jelly_bean
n03140126 crucible
n07695652 graham_cracker
n04542595 vox_humana
n04608923 xerox
n07812790 lemon_oil
n04455048 topknot
n11928858 mugwort
n03005515 chandlery
n02161457 pollinator
n11904109 corydalis
n03350204 fishbowl
n03941684 pincer
n02739427 armlet
n03795976 film_projector
n07727868 green_bean
n04175574 service_club
n12914923 verbena
n07625061 samosa
n01315213 peeper
n04386792 talcum_powder
n02413917 cheviot
n12850906 dagga
n04570958 weighbridge
n04036155 quoit
n02481500 silverback
n07834507 mayonnaise
n01608265 honey_buzzard
n02672371 accommodation
n02666501 derelict
n03133050 crochet_hook
n02442336 stoat
n03262932 lounge_chair
n01997825 ostracod
n04430475 thrust_bearing
n03030880 cigarette_butt
n01596608 purple_martin
n07583978 alphabet_soup
n03720665 maquiladora
n08517676 bus_stop
n11704620 camphor_tree
n07586099 marmite
n13084834 cultivar
n12646605 fuji
n10080869 male_parent
n02700258 altimeter
n02666943 butchery
n04415257 test_equipment
n02050809 little_grebe
n02445394 sea_otter
n01806467 green_peafowl
n11624192 cedrus_atlantica
n03785721 morion
n03935883 pilaster
n12059314 dendrobium
n07907831 sour_mash
n02505238 columbian_mammoth
n03107488 cords
n04186051 shaving_soap
