n02857477 boarding_house
n03456665 greatcoat
n02922798 burlap
n12435152 chive
n04231693 lift
n08376250 chain
n01623110 barred_owl
n03133415 crock
n02261419 deathwatch
n01734808 house_snake
n12282737 downy_birch
n02306825 egger
n07859284 sugar
n07714895 savoy_cabbage
n01951274 sea_hare
n04962062 ash_gray
n02282257 blue
n04217882 signboard
n04968139 olive_green
n03617312 kilt
n02925385 bush_jacket
n03286572 endoscope
n03202940 diode
n02772435 badminton_court
n04261506 soundbox
n03954393 planchet
n02727825 apparatus
n02372584 dassie
n02756098 garb
n04436185 timber
n04298661 stairwell
n02923682 machine_pistol
n04308084 stealth_aircraft
n01549430 peewee
n04236377 sleeve
n07601686 candy_corn
n03600475 jodhpur
n02692232 airdrome
n04474466 trap
n12043836 butterfly_orchid
n03623556 knife
n03114839 cotter
n02416820 kid
n00007846 individual
n02152881 quarry
n02900705 briefcase
n02808968 bathysphere
n04364160 lightning_arrester
n02516188 lungfish
n03823111 nib
n03646296 lathe
n02377703 riding_horse
n01322983 bear_cub
n13032115 morel
n02945813 refugee_camp
n02627835 bonito
n03653110 imitation_leather
n04575723 wheel
n02413131 ovis_aries
n04520962 vaporizer
n03904782 pedometer
n01486010 thresher
n02727825 setup
n08506347 semidesert
n01880152 kangaroo_rat
n12992868 fungus
n02975589 case
n03751269 mess_jacket
n00479734 fives
n02774152 purse
n13001206 toadstool
n12870891 wild_thyme
n03239607 drift_net
n02609302 bluehead
n03342127 finger_painting
n03211616 board
n03995535 power_line
n07839730 soubise
n02650050 gurnard
n11678010 cornstalk
n04269822 spat
n03647423 launch
n02299039 manduca_sexta
n03637787 lancet_arch
n12817464 anchusa
n15091669 pyridoxine
n07588574 lentil_soup
n06267893 tabloid
n12304703 fraxinus_excelsior
n12815838 calabash
n04305210 statehouse
n02675219 acetate
n02943241 optical_lens
n12090890 primula
n03725506 masonite
n04571292 weight
n04976952 skin_color
n11689815 cottonseed
n04261868 sound_film
n03237416 silk_hat
n01861778 mammal
n11646694 bunya_bunya
n02942349 camcorder
n04524941 velours
n03064935 sprocket
n01857632 honker
n04028074 putter
n12263204 sweet_chestnut
n03306385 express
n04121426 rya
n12795555 spirea
n03473227 gyroscope
n03209910 diskette
n07896765 moselle
n03917198 peristyle
n03794798 mouthpiece
n07763107 feijoa
n09270735 dune
n07942152 people
n02742468 arrester
n02592371 squirrelfish
n07845087 formula
n00479887 squash_racquets
n04188179 sheet
n01965889 scallop
n11723452 wolfsbane
n02715513 foyer
n03459591 grille
n01770795 pseudoscorpion
n03518135 highball_glass
n13884261 convex_polyhedron
n03019434 chino
n02595339 silver_perch
n07609728 turkish_delight
n12370549 ironwood
n03205669 dirndl
n12427184 tiger_lily
n04598965 woof
n07889510 ale
n15093298 vitamin_c
n12862512 plectranthus
n01688961 moloch
n03028596 church_bell
n04173172 episode
n02753044 fission_bomb
n03645577 lateen
n07568818 fiber
n12273515 turkey_oak
n11737534 pasqueflower
n02872752 boot
n12597134 cabbage_palm
n07695187 saltine
n04027023 push
n04533042 vibrator
n12884260 toadflax
n01860497 screamer
n07822845 chili_sauce
n02705201 amphitheatre
n03426134 gasoline_tank
n07854614 ricotta
n01319467 sea_creature
n01539925 house_sparrow
n03098140 board
n10007995 desk_clerk
n07746551 carambola
n00440382 long_jump
n02378625 courser
n03208556 disk
n03080309 compartment
n01630284 triton
n02993368 censer
n02925666 combat_boot
n01489501 bull_shark
n11623967 cedrus_deodara
n03054605 cluster_bomb
n07879953 tempura
n03474896 haft
n00005787 benthos
n03939844 pilot_light
n12865824 salvia_officinalis
n03733644 measure
n02126028 jungle_cat
n00448232 sumo
n03436990 gig
n07926250 lemonade
n12290748 centaury
n04100174 rod
n02867966 bomber_jacket
n13107891 arbor
n12997654 basidiomycete
n12793015 saxifrage
n04416005 testudo
n02760199 automat
n04598965 weft
n01958038 quahog
n04960582 coal_black
n03698360 lute
n09215023 baryon
n02536165 sockeye
n03195332 digester
n12766869 poison_oak
n12612170 water_plantain
n03482523 hand
n04015908 protractor
n12274358 burr_oak
n02588794 margate
n03536761 horn
n10769188 laundress
n03276179 electromagnet
n12154773 pandanus
n01782209 spider_mite
n03566730 inclinometer
n01692523 beaded_lizard
n03911866 pennon
n02802544 basketball_court
n01811909 pigeon
n07709881 tofu
n04198797 shock_absorber
n02417663 capra_aegagrus
n02908217 brush
n02256172 psylla
n07732636 popcorn
n01677747 marine_iguana
n07698543 reuben
n03975788 needlepoint
n12506991 anthyllis_vulneraria
n04204755 short
n07616046 frozen_yogurt
n03762982 military_hospital
n04554871 washer
n04354487 sump_pump
n03349892 first_class
n02412210 wether
n02379908 arab
n02049088 loon
n04494204 thermionic_valve
n12049562 calypso
n03134394 crookes_tube
n07618432 chocolate_pudding
n07901587 hard_liquor
n04042358 radiogram
n11849271 peyote
n03281145 lift
n02081571 sea_horse
n07612996 pudding
n04304215 spaceship
n02884450 box
n03644378 lariat
n12494794 peacock_flower
n01909906 polyp
n04267577 spar
n03967270 plimsoll
n09242389 chasm
n12642964 capulin
n02941845 aventail
n03495671 harpoon
n09452395 swamp
n04070964 refrigerator_car
n03428090 gatehouse
n12236546 huckleberry
n04595028 wlan
n04002629 primary_winding
n04201733 shooting_brake
n11815491 silene
n04289827 sprocket
n06273207 call_back
n04335886 street_lamp
n02715712 flak
n12088223 yam
n07916041 martini
n03906106 leg
n09466678 uphill
n00454237 angling
n13872822 funnel
n02871147 bookmark
n04474035 transporter
n02248510 scale_insect
n04446276 privy
n12058822 dactylorhiza_fuchsii
n03861271 outrigger
n04950952 wood_grain
n07748574 tangelo
n04285803 athletic_wear
n01468238 tunicate
n03034405 circuitry
n07819303 mustard_seed
n03626272 knob
n04064862 recovery_room
n03430551 cogwheel
n11508382 snowfall
n03178674 derringer
n01845132 water_bird
n07875086 loblolly
n02859184 boater
n04434932 leotards
n02961451 carbine
n04064747 record_cover
n03844045 kerosene_lamp
n04459122 tourer
n03871524 packaging
n04566257 weapons_system
n11723770 baneberry
n07849336 yoghurt
n03602081 jolly_boat
n05449959 white_cell
n11646694 araucaria_bidwillii
n03565288 imprint
n11611758 pinus_pinea
n13914608 block
n07929172 tonic
n02896442 knickers
n04283096 spoiler
n02191273 glossina
n07566340 food_product
n03527565 holster
n03928814 fingerboard
n02433925 rangifer_tarandus
n04405907 idiot_box
n04968895 blue
n02692086 prop
n07736692 spinach
n12406488 rock_elm
n03219010 doyley
n03628071 kohl
n04265428 space_helmet
n01855476 hooded_merganser
n03024518 choke
n04161358 seat
n07817160 comfrey
n07933799 cupper
n04060448 rebozo
n03994614 powder_horn
n02982232 catapult
n03906590 pelican_crossing
n02386014 harness_horse
n04051825 rampart
n12202936 lime_tree
n03726233 massage_parlor
n02944579 camo
n03439631 glengarry
n07724492 romaine
n04268275 spark_arrester
n03488438 handset
n04563413 water_wheel
n01559477 hermit_thrush
n02955767 mantle
n02226183 orthopteran
n02309337 caterpillar
n00448640 ice_skating
n03034244 breaker
n03841666 business_office
n03303831 exhibition_hall
n03146846 tiller
n07690273 gem
n11753355 trifolium_pratense
n02796995 bar
n02976939 money_box
n07697825 hero
n11628087 tsuga_heterophylla
n03205574 dirndl
n04568069 weather_vane
n03648219 wash
n07614198 ice
n04329477 stowage
n12618727 eelgrass
n07823698 cranberry_sauce
n01726692 serpent
n02259708 treehopper
n14938389 linoleum
n07843775 dairy_product
n02388832 liver_chestnut
n03449564 government_building
n04158002 scuttle
n03715669 hammer
n03512147 eggbeater
n12033139 cocklebur
n02136103 bearcat
n07937461 couscous
n02766792 baby_grand
n07713763 mustard_greens
n12762896 sumac
n04433585 sleeper
n04558478 closet
n03102859 cooling
n12387633 viola
n07730708 celery_root
n03224490 doppler_radar
n04973585 brick_red
n02030996 woodcock
n03001627 chair
n07598256 candy_bar
n02160947 social_insect
n04509592 uniform
n07841345 egg_yolk
n04260364 sonogram
n12382233 cirio
n02911485 buffer
n03731695 sledge
n01595450 tree_swallow
n02593453 scup
n07841907 easter_egg
n09357346 molehill
n03530910 bonnet
n03429682 gantlet
n02645953 sea_raven
n12515925 chickpea
n03592245 slammer
n12934036 astrantia
n03471190 inset
n09223487 bladder_stone
n02324587 bunny
n01604968 accipitriformes
n02872333 booster
n03086580 concert_hall
n12515925 garbanzo
n03909160 pendulum
n04309049 steam_engine
n07762244 papaya
n01549886 phoebe
n04403524 teleprompter
n02396014 boar
n00007846 soul
n04598965 pick
n04614655 ziggurat
n07687211 white_bread
n02950018 cannery
n07773428 coconut_water
n04520382 van
n03665924 light_bulb
n03709960 mailbag
n07750872 apricot
n02688443 aerofoil
n12903503 jimson_weed
n03321563 fanny_pack
n02535537 salmo_salar
n11626826 red_spruce
n13054073 agaric
n03859958 turnout
n05418717 vena
n02310717 woolly_bear
n02016358 gallinule
n02789487 bar
n08249459 military_band
n03779246 moire
n04329477 storeroom
n03319576 false_teeth
n03001115 chain_store
n04378956 tabi
n09267854 divot
n02891788 brass_instrument
n07579917 adobo
n13066129 smut_fungus
n00449517 car_racing
n02869249 bones
n07857356 wasabi
n03380301 locker
n02844714 bit
n09248399 coastland
n02536456 chinook
n12176953 upland_cotton
n02341288 meadow_vole
n02904803 brocade
n02981911 arbalest
n04508949 underclothing
n02704949 amphitheater
n03975035 pointed_arch
n02981911 catapult
n01749244 rinkhals
n03677682 lisle
n03454536 grating
n08640739 resort_area
n14867545 fish_meal
n07844042 milk
n03131967 cricket_ball
n02191979 bluebottle
n01497738 guitarfish
n02433318 fallow_deer
n12957803 nardo
n04186455 shawl
n02168245 lightning_bug
n04005197 priory
n03096439 contrabassoon
n07905038 rum
n09366317 natural_elevation
n03431745 train
n03592245 jail
n04587559 windmill
n12929403 camellia
n01558307 snowbird
n03713436 majolica
n04492749 truss_bridge
n03797182 muffler
n02999936 chain
n07762740 ackee
n07753743 passion_fruit
n04469813 ropeway
n02998563 sump
n03505667 headset
n02414578 wild_sheep
n03430551 gear
n01828096 belted_kingfisher
n01568892 yellowbird
n11877646 turnip
n07846359 evaporated_milk
n07708398 raw_vegetable
n04326676 stoneware
n03986224 porte_cochere
n02480153 great_ape
n02523427 cusk
n03688943 observatory
n04508949 underclothes
n03049924 flat_cap
n02442172 mustela_erminea
n02328429 pika
n03340723 finder
n02841187 binnacle
n03522990 hitching_post
n03036469 civilian_dress
n07898333 zinfandel
n04495843 tug
n01367772 enteric_bacteria
n03357081 white
n03610098 dungeon
n03606251 junk_shop
n02116450 raccoon_dog
n12129986 canary_grass
n03996145 power_saw
n12719684 nasturtium
n04491638 trundle
n08558770 sheikhdom
n04606574 spanner
n04272389 spectator
n02742753 arrow
n11727358 honeysuckle
n03901974 pawnshop
n01831360 tody
n02978753 casserole
n02039171 courser
n04216634 sieve
n01842504 puffbird
n07891726 wine
n12118661 ragi
n02482650 bonobo
n02104882 belgian_shepherd
n02941845 camail
n04405907 television
n12475242 cornflower
n02547014 oarfish
n04125257 deposit_box
n02524202 pollock
n04287747 spray_gun
n09359803 mount
n04530566 vessel
n12772753 buckthorn
n12277578 common_oak
n03842012 office_building
n01982068 king_crab
n02882190 bowling_alley
n02869249 clappers
n12117017 crabgrass
n02447021 spotted_skunk
n07876550 scampi
n01943087 ormer
n11617272 bristlecone_pine
n10340312 musician
n03202760 diode
n02477516 paranthropus
n07575510 teatime
n02963302 card_index
n01487506 sand_shark
n02770830 backseat
n04451818 tool
n03273551 electronic_organ
n12402348 banyan
n11728945 black_cohosh
n04453910 top
n02893418 brasier
n02876657 bottle
n03685486 hunting_lodge
n03920867 pew
n04564581 wax_figure
n11611356 pitch_pine
n03702248 machine_tool
n03719053 mansion
n05260127 pageboy
n04273285 speculum
n03318865 falchion
n04346679 stylus
n03885535 buttery
n03894379 divider
n03684823 locomotive_engine
n12544539 lentil
n01422450 merozoite
n02922461 burin
n07729000 lima_bean
n02578771 amberjack
n11878283 mustard
n01925916 cercaria
n07880325 welsh_rarebit
n02694426 alarm_system
n04146862 training_ship
n11612575 pinus_longaeva
n03011355 checker
n02595702 redfish
n07642933 jam
n02432983 alces_alces
n04257790 solar_array
n12095020 loosestrife
n04382880 tach
n04085017 reverse
n07838551 mole
n04381073 tablespoon
n03992436 potsherd
n00440039 track
n04099429 projectile
n03099945 converter
n12636224 medlar
n11710136 bull_bay
n14899328 culture_medium
n04112252 rotor_blade
n12303083 forsythia
n03691817 waiting_area
n04235646 sleeper
n12475035 wild_oats
n07620689 maraschino_cherry
n01857079 snow_goose
n03516367 herringbone_pattern
n10260800 lifeguard
n01418498 leishmania
n02627292 horse_mackerel
n11753700 shamrock
n03512147 chopper
n02925519 business_suit
n11632167 cupressus_macrocarpa
n10421470 druggist
n01467804 amphioxus
n09268007 divot
n12521394 scotch_broom
n02382437 pony
n01610955 falcon
n07616386 parfait
n11635152 white_cedar
n04453390 toothpick
n02392434 indian_rhinoceros
n03237416 stovepipe
n11636204 japanese_cedar
n02339376 vole
n04281375 dashboard
n03792526 mount
n02758863 autobahn
n03390983 frame
n04568069 weathervane
n02381364 grey
n03723885 martingale
n04538403 viscose_rayon
n03454211 grapple
n03462747 earth
n02754656 atrium
n03985881 portcullis
n04443766 toby_jug
n04365328 surveillance_system
n03198500 dildo
n04475309 trap_door
n12336092 peppermint
n02921884 burial_chamber
n04188179 bed_sheet
n03297735 establishment
n03943920 pinstripe
n03244919 driving_wheel
n03140292 rood
n11627908 mountain_hemlock
n03762602 mihrab
n03656484 lens_system
n03568818 induction_coil
n02212958 paper_wasp
n00483409 singles
n02028727 pectoral_sandpiper
n03119396 coupe
n12116429 dactylis_glomerata
n03258330 duster
n04160847 searchlight
n14696793 stone
n03878828 palette_knife
n04047733 railing
n06470073 document
n01515078 night_bird
n03186285 dhow
n12081215 greenhood
n03540914 hospital_bed
n07928696 coca_cola
n04586072 shelterbelt
n07846143 powdered_milk
n12524188 blackwood
n11812094 dusty_miller
n00453396 duck_hunting
n03373943 flying_buttress
n03824284 nightcap
n03122295 conestoga_wagon
n10324560 model
n02264232 doodlebug
n03557840 ice_pack
n02025043 turnstone
n07927197 soft_drink
n07714287 chinese_cabbage
n03571280 inhaler
n03290195 entablature
n07837912 gravy
n01486010 thrasher
n02758490 gimlet
n02919414 sheaf
n03561169 ignition_switch
n03516844 jackboot
n01668892 cooter
n04595855 wiring
n04086794 variable_resistor
n13001930 shiitake
n04536595 bass_viol
n08640531 holiday_resort
n12327846 brazil_nut
n04043733 tuner
n01646648 natterjack
n12648693 prunus_salicina
n09217230 beach
n01967963 piddock
n01851375 scaup
n03343354 recorder
n02172518 scarab
n11596108 gymnosperm
n09432990 shiner
n01607429 buteo_jamaicensis
n01851573 greater_scaup
n04375775 synchrotron
n07713074 eggplant
n07593774 ready_mix
n11725821 wood_anemone
n01448594 guppy
n02867715 bomber
n03943714 pinstripe
n07847453 clotted_cream
n08613733 outdoors
n04502197 turtle
n02952374 canteen
n02553028 lingcod
n04137444 artificial_satellite
n13163991 sprig
n04313503 steering_wheel
n04496614 tulle
n13155305 involucre
n03624400 knife_blade
n01319467 marine_animal
n11772408 periwinkle
n01319187 stunt
n04552696 war_vessel
n03244775 one_iron
n02723165 antiperspirant
n03911866 pennant
n04387531 tammy
n04615226 zither
n02343772 gerbil
n02679257 adding_machine
n02415829 mouflon
n11989393 edelweiss
n02519472 brown_bullhead
n10772092 weather_forecaster
n03836976 silk_stocking
n08242223 core_group
n04973020 topaz
n04279172 spinning_machine
n03982331 poolroom
n13863771 line
n12771390 diospyros_kaki
n02432983 moose
n07902937 arrack
n12522894 sissoo
n12441958 asphodel
n02778669 ball
n03239726 drill
n03775747 mizzen
n02961225 car_battery
n01847407 dabbling_duck
n04330340 cooking_stove
n02904927 brogan
n01832167 swift
n04146343 schoolbag
n01826680 european_roller
n08518171 bivouac
n02413593 hampshire
n02826886 bell_tower
n03949317 piston_rod
n12591351 cabbage_palm
n11614713 pinus_jeffreyi
n03814727 stock
n07879450 sushi
n15091129 aneurin
n04573281 welt
n02983507 cat
n01851207 redhead
n12836508 five_spot
n12711596 lemon
n03070396 pit
n02804123 bass_guitar
n07848196 whipping_cream
n03715892 mallet
n07848338 butter
n03455642 gravimeter
n07587700 clam_chowder
n12494794 flame_tree
n04449290 tollbooth
n04410886 tensiometer
n03719343 mantel
n02403820 bullock
n12266528 myrtle_beech
n03604400 pinafore
n09842047 cager
n03413264 galvanometer
n03176386 plate
n12586298 calamus
n03801760 music_stand
n11851578 prickly_pear
n13108841 coniferous_tree
n11608250 pine_tree
n07826250 tomato_paste
n04569822 wedge
n04334105 strapless
n07835701 bercy
n03284308 empty
n09428628 seaboard
n02601344 grey_mullet
n15092650 biotin
n03249342 pharmacy
n12754311 mountain_alder
n02850950 sausage
n03732020 mauser
n03360731 flatcar
n02772101 backup_system
n03815615 tie
n02939866 caliper
n02401031 bovid
n11834654 saltwort
n03375575 foil
n03280216 electroscope
n13028611 cup_fungus
n12915568 black_mangrove
n03324629 fast_reactor
n02756977 audiocassette
n03463381 first_floor
n02016358 swamphen
n01563746 kinglet
n01550761 chatterer
n03092166 conservatory
n09931640 coach
n03965456 shopping_center
n04206225 jigger
n03546340 housing
n02890351 brake_drum
n03710528 mailer
n02864122 bwr
n12373100 carica_papaya
n01618082 black_vulture
n03703203 mackinaw
n12620196 rosebush
n02420828 gerenuk
n03050655 clothes_dryer
n03123809 byre
n03296328 escarpment
n03904657 pediment
n04953296 glint
n02124313 abyssinian
n12761284 mangifera_indica
n03113835 costume
n04038440 rack
n02808829 bathyscaphe
n02381460 wild_horse
n11949402 chamomile
n02605703 chaetodon
n02282903 hairstreak
n03287351 energiser
n02460451 giant_anteater
n03089753 conference_center
n03723267 marquetry
n12947313 cornus_florida
n07846557 skim_milk
n02350105 desert_rat
n07748416 tangerine
n13063269 rust_fungus
n02955247 capacitor
n02988679 cd_rom
n01696633 crocodilian
n03810952 national_monument
n02065263 sei_whale
n07586894 minestrone
n01712752 ceratosaur
n12164363 cucumis_melo
n02957008 capote
n02205219 daddy_longlegs
n02873839 booth
n07803310 buckwheat
n04442441 toaster_oven
n02868240 bomblet
n04040247 radial_tire
n07609215 sugar_candy
n12345280 punica_granatum
n03309465 ocular
n03370387 fluorescent_lamp
n03873848 paddle
n04059399 reamer
n07873057 marrow
n07712559 potato_chip
n02669295 abutment
n13098962 bast
n03307037 extension_cord
n03017835 inglenook
n04047139 railhead
n02409038 anoa
n12339526 clove
n02950120 cannikin
n07687469 french_bread
n02973236 cartwheel
n03544238 hour_hand
n03528100 home
n07816164 sweet_basil
n02973017 clip
n03826186 nissen_hut
n02666501 derelict
n03817647 negligee
n12938193 sea_holly
n03070059 collet
n03173387 deli
n04494204 tube
n10341343 music_teacher
n03173270 delft
n02739889 armoured_car
n11653126 totara
n07741138 macoun
n03026907 chronograph
n02764044 axe
n03815615 necktie
n04122578 wooden_shoe
n11877193 collard
n07726796 common_bean
n07907548 scotch_whisky
n04128499 sailing_boat
n02551668 saury
n03138669 crown
n01339801 cytomegalovirus
n07933891 herbal
n06281040 reception
n02053425 solan
n09263912 defile
n09206896 arroyo
n07859583 syrup
n04531873 waistcoat
n02023855 piping_plover
n13908580 roulette
n04219580 silks
n11894327 radish
n01573898 bobolink
n12614477 waterweed
n03877674 pajama
n03615790 khukuri
n01558765 ring_ouzel
n04241573 slip_ring
n02846874 blackface
n03175843 floss
n09382099 oxbow
n01602630 vireo
n03560860 ignition_coil
n00445055 surfing
n03190458 dibber
n03285578 encaustic
n01698434 alligator
n04036303 qwerty_keyboard
n12086778 vanilla_planifolia
n04431745 thumbtack
n02885108 boxcar
n03620967 kitchen_table
n12320010 hickory_tree
n11919447 ragweed
n03854722 organ_loft
n07625061 samosa
n12916511 tectona_grandis
n02540983 sparling
n13098962 phloem
n02738031 armament
n11769803 golden_trumpet
n02704645 amphibian
n02932891 pleasure_boat
n12570972 kowhai
n07907548 malt_whisky
n02716626 abm
n03446832 golf_equipment
n07917618 sling
n12513613 judas_tree
n03098140 control_panel
n04266968 spaghetti_junction
n12854600 lemon_balm
n04598318 woodshed
n07887634 lager
n03369407 fluid_drive
n12070583 twayblade
n03590306 jacket
n02565324 largemouth_bass
n04279462 spinning_wheel
n08613733 open_air
n11882237 coralroot
n04096848 barricade
n02301452 saturniid
n07907037 firewater
n12281788 betula_alleghaniensis
n02895008 breast_implant
n02773838 bag
n04388162 tampon
n03016389 henhouse
n03529444 homespun
n01415626 eukaryote
n12281974 paper_birch
n13049953 polypore
n02810471 battery
n04568069 vane
n04030274 pyx
n12400720 jackfruit_tree
n03729482 matchlock
n03490119 truck
n02825872 bell_foundry
n03367321 flophouse
n11618525 torrey_pine
n02863426 bodywork
n04076713 monument
n03926412 photographic_material
n03100490 conveyance
n04526964 ventilator
n03955296 plane
n03316406 mill
n03528901 home
n12188635 thespesia_populnea
n01792429 cockerel
n03683079 lock_chamber
n07934800 darjeeling
n15102455 chipboard
n04214046 sideboard
n02992032 cellblock
n04445154 toga_virilis
n10421470 chemist
n07911677 cocktail
n12819728 blue_devil
n01668436 redbelly
n11916696 milfoil
n02878628 boule
n04295081 saddlery
n02527271 moray
n04417086 tetrode
n04551055 warehouse
n03471779 guy
n12318378 walnut
n01735577 ribbon_snake
n01814217 mourning_dove
n03950647 pitch_pipe
n04390577 tank_top
n03349771 first_base
n03200357 buffet_car
n02782778 park
n04278247 spinet
n02727141 aperture
n03250279 head
n09437454 incline
n02209624 bumblebee
n11524451 wave
n03610098 donjon
n03454211 grappler
n02670935 accelerometer
n07565161 eats
n04125541 safe_house
n03995535 power_cable
n11644046 red_cedar
n02443015 american_mink
n06278338 cable
n04951373 lightness
n07812790 lemon_oil
n11761650 inga
n03120198 courtyard
n12365158 maria
n06267655 gazette
n12854600 beebalm
n11919447 ambrosia
n03073694 columbarium
n04577139 wherry
n03225988 double_bed
n03718458 manor_house
n12242409 titi
n04252653 snow_blower
n03783430 monocle
n02802215 basket
n02382204 jade
n04256891 softball
n03713436 maiolica
n03062015 sheath
n12300840 olive_tree
n02308139 webworm
n03177708 depressor
n09269341 down
n11834272 samphire
n03501152 hazard
n03843883 kerosene_heater
n01617095 griffon
n03802228 musket_ball
n01055165 encampment
n04275661 spike
n02944146 camisole
n07698672 western
n02961035 caravanserai
n02519686 channel_catfish
n04283378 spoke
n02003204 marabou
n12847927 pennyroyal
n04966543 gamboge
n02969010 carriage
n00446311 professional_boxing
n02103841 watchdog
n02431785 elk
n09792969 anchor
n02053584 booby
n03837422 oar
n03372549 champagne_flute
n01787835 horseshoe_crab
n07891189 near_beer
n07867021 enchilada
n12336092 red_gum
n03010473 chassis
n07556406 comfort_food
n01661091 reptilian
n12263038 american_chestnut
n00442847 plunge
n03579982 ice
n01914830 actinia
n07930062 fruit_punch
n02197689 drosophila_melanogaster
n03684740 lockup
n01568294 american_redstart
n03647520 rocket_launcher
n04058721 head
n03952576 pizza_shop
n07805594 birdseed
n02424589 lesser_kudu
n03629231 kurta
n12107710 meadow_foxtail
n03345837 extinguisher
n03201776 black_tie
n02406174 dairy_cow
n10755080 violist
n07740342 golden_delicious
n02204722 sciara
n03712111 main_rotor
n03042139 clevis
n03256631 dunce_cap
n11890150 isatis_tinctoria
n01969726 octopod
n03236735 frock
n03356858 flange
n04973020 tan
n03996416 excavator
n03475581 hairbrush
n13096779 lignum
n11615967 longleaf_pine
n03309356 patch
n11622368 grand_fir
n03382104 forecastle
n13918387 knife
n02764398 axe_handle
n03470629 trigger
n04198797 cushion
n04220805 silver_plate
n03738241 mechanical_system
n03966206 plenum
n01455778 pipefish
n04324387 stockroom
n01562265 redbreast
n07689842 rusk
n01937909 bloodsucker
n04610013 racing_yacht
n02059162 petrel
n02127482 lynx_rufus
n07838233 spaghetti_sauce
n03412058 picture_gallery
n07772147 cashew_nut
n03672521 linen
n04960277 black
n14977504 paving
n03011741 checkout
n03953901 placket
n02414763 argali
n04398951 tea_table
n02505063 woolly_mammoth
n03106898 cord
n07924033 fruit_juice
n03849814 opera
n03693860 lowboy
n01314663 critter
n02610373 bergall
n03211616 display_panel
n04474187 transport_ship
n07575076 luncheon
n03124590 cattle_pen
n11817914 chickweed
n01814755 roller
n04194289 ship
n02954938 cap
n03212114 garbage_disposal
n12501202 tamarind_tree
n03281145 elevator
n03499468 hauberk
n02670683 gas
n03731695 maul
n04328580 secondary_cell
n07748912 sweet_orange
n01544704 hawaiian_honeycreeper
n12048056 spider_orchid
n03555006 hyperbaric_chamber
n03585438 irons
n02157206 hexapod
n04233124 skyscraper
n02215770 digger_wasp
n04127633 escape
n07726095 chickpea
n04272928 spectrophotometer
n04556533 watch_case
n02922578 burka
n11928352 artemisia
n03500090 hawse
n02768114 backboard
n02811719 battle_dress
n00441824 aquatics
n03711711 mainframe_computer
n07816839 chervil
n04593524 wing_tip
n02216365 mud_dauber
n02060133 fulmar
n03092656 console
n03504723 headquarters
n02892499 brasserie
n03781055 petrol_bomb
n01948446 winkle
n09269472 downhill
n02406859 devon
n07886849 beer
n09376526 sea_floor
n01339336 herpes_zoster
n02998563 cesspit
n03431745 gear
n02801450 basilisk
n04243941 slot_machine
n09454412 tangle
n02118333 fox
n02114100 wolf
n07557165 delicacy
n12278371 post_oak
n01661091 reptile
n12610328 eichhornia_crassipes
n03325088 spigot
n02124484 manx
n07902799 aquavit
n04044307 radiotelegraph
n01752736 asp
n12568186 robinia_pseudoacacia
n13868515 s_shape
n02402425 bos_taurus
n02120997 felid
n02756098 dress
n01622352 horned_owl
n06267991 tab
n03431570 gearbox
n08518171 campsite
n03530910 cowling
n07773428 coconut_milk
n07915491 mint_julep
n07717070 winter_squash
n01612476 hobby
n02947660 canal_boat
n03878066 palace
n11683838 nectary
n07693048 cinnamon_roll
n03111690 correctional_institution
n02274822 nymphalid
n03497657 chapeau
n01457852 trumpetfish
n02179012 blister_beetle
n04433377 tie_beam
n06274921 telegraphy
n03333129 spyglass
n09453008 tableland
n11735570 golden_seal
n02624551 shiner
n04351550 suite
n02975212 showcase
n02795978 barrel_organ
n02377480 mare
n07589872 burgoo
n11644226 white_cedar
n11840476 maravilla
n12552893 restharrow
n01970667 argonaut
n11620673 fir
n02871963 throwing_stick
n07822687 chili_powder
n06277280 television
n02806088 citadel
n02513248 rough_fish
n12506991 kidney_vetch
n02416519 goat
n02997391 ceramic
n04051439 rammer
n08539072 business_district
n04950952 woodgrain
n01672432 spiny_softshell
n07803093 barley
n04080705 resort_hotel
n01797307 spruce_grouse
n02752810 atlas
n07683786 loaf
n02735688 area
n01856553 greylag
n03059103 coat_rack
n03955296 planing_machine
n03928814 clavier
n03903133 peavey
n07902799 akvavit
n07775050 pistachio
n03798061 scuff
n01549430 peewit
n02472987 humans
n07578093 banquet
n13901211 drum
n04550676 wardroom
n04077430 reproducer
n02625851 cavalla
n03533654 hookup
n02340930 pine_vole
n01889074 insectivore
n03847471 onion_dome
n02692086 airscrew
n02919414 bundle
n09287968 formation
n03316406 manufacturing_plant
n03455488 tombstone
n02995998 centrifuge
n03607923 kameez
n12086539 vanilla
n13894154 rut
n02339376 field_mouse
n03820154 net
n04158956 sea_chest
n02237581 mirid
n03220237 cromlech
n03199901 dinghy
n02207179 drone
n04385536 tailpipe
n02912557 roadster
n02050809 dabchick
n12650805 chokecherry
n00476235 stickball
n04401680 phone_booth
n03032453 cinquefoil
n02761696 car_factory
n01544389 zebra_finch
n04303258 staple
n07575726 dinner
n03027625 chukka
n01792640 hen
n13035707 helvella
n02081571 walrus
n02005399 shoebill
n07707451 veggie
n02796995 taproom
n04463679 track
n02451415 taira
n07713895 cabbage
n04035836 quiver
n03792048 mound
n12986227 tooth_fungus
n03407369 safety_fuse
n02756098 attire
n12641413 cherry_tree
n10655594 steward
n03439814 glider
n02537716 sea_trout
n03042829 clinch
n04369618 sweatband
n03059366 coaxial_cable
n03858085 ossuary
