n03158668 dado
n03128085 cravat
n11782036 elephant_ear
n07903643 calvados
n04045644 balk
n04602762 workroom
n03621694 kite_balloon
n01904886 oyster_shell
n12732491 black_poplar
n04375241 synchromesh
n03963483 playbox
n03149686 curbstone
n07880080 teriyaki
n03469832 gunnery
n03367321 flophouse
n04178190 seventy_eight
n12303083 forsythia
n02737351 ark
n12570972 kowhai
n12190410 ceiba_pentandra
n01735577 ribbon_snake
n01790812 cochin_china
n02240517 cimex_lectularius
n04246855 smoker
n02761034 automatic_transmission
n04137897 satellite_tv
n02732572 arabesque
n12729729 red_willow
n02485536 vervet
n02655848 porcupinefish
n02016956 purple_gallinule
n03109253 corncrib
n02678897 adapter
n03018712 chinese_lantern
n07763987 mangosteen
n02799323 baseball_cap
n02603317 barracuda
n04471912 transit_instrument
n01879217 pademelon
n03035832 gittern
n07858484 tahini
n10227266 junior
n11890150 isatis_tinctoria
n03399677 front_porch
n02966545 clawhammer
n01752585 vipera_berus
n07925608 carrot_juice
n03620967 kitchen_table
n02851939 blindfold
n03090000 council_board
n04219424 silk
n02900459 bridle_path
n02404906 zebu
n03493792 ironware
n04197110 shipwreck
n09415584 riverbank
n02407276 galloway
n02660208 halibut
n03844815 oilskin
n02271897 thrips
n03140771 cruise_missile
n03302938 exhaust
n12100187 barbasco
n03049924 cloth_cap
n07843636 fried_egg
n01670535 testudo_graeca
n02127292 lynx_lynx
n01557962 mistle_thrush
n03421669 gas_guzzler
n04413969 terraced_house
n12568186 robinia_pseudoacacia
n02473857 peking_man
n01619835 vultur_gryphus
n02620578 archerfish
n14919819 inositol
n07824702 paprika
n04969798 aquamarine
n02256172 psylla
n07611267 flan
n11614039 whitebark_pine
n03657511 body_suit
n07910970 kahlua
n11710136 southern_magnolia
n03251533 graving_dock
n02712545 angle_iron
n03493219 hardtop
n04251791 snowboard
n02380052 lipizzan
n02196119 robber_fly
n03774461 miter
n02663211 turbot
n07865196 chop_suey
n01519563 cassowary
n07913644 bullshot
n12472024 clintonia
n04107984 roost
n09932508 pitman
n04951071 graining
n03536122 horizontal_stabilizer
n02433318 dama_dama
n02961451 carbine
n01927159 schistosome
n12228387 bell_heather
n13918717 trapezohedron
n02366002 agouti
n07829331 wine_vinegar
n03638180 lander
n12946849 cornel
n04414675 tesla_coil
n04459018 toupee
n02424909 nyala
n11756870 black_wattle
n12278650 quercus_suber
n12651229 firethorn
n01592694 tomtit
n01566645 babbler
n06596607 pulp
n02327028 jackrabbit
n02557318 european_perch
n03546235 housetop
n10536416 rock_star
n11773987 nerium_oleander
n01517966 carinate
n04489695 trousseau
n01830915 motmot
n02085272 lapdog
n03676759 lcd
n02122510 alley_cat
n12658308 rowan_tree
n01698782 chinese_alligator
n12284821 alnus_glutinosa
n02561803 chain_pickerel
n02950943 cannonball
n11612575 pinus_longaeva
n01609956 marsh_harrier
n03009794 charnel_house
n04072960 relay
n07931612 white_russian
n13077295 mildew
n11624531 spruce
n03318294 fairy_light
n02356977 black_squirrel
n04346428 pigsty
n07687381 baguette
n03680858 lobster_pot
n02922798 burlap
n02987379 slouch_hat
n04555600 washtub
n01449374 mosquitofish
n04077889 research_facility
n07591330 scouse
n03983499 popgun
n03327133 felucca
n12139575 cordgrass
n01744100 reticulated_python
n02030287 tattler
n02682407 aeolian_harp
n07733005 garden_cress
n02927887 butterfly_valve
n07901355 marsala
n01664674 olive_ridley
n01876667 bilby
n13067330 ustilago_maydis
n02964934 cargo_door
n01560793 stonechat
n03549473 hunting_knife
n07847047 buttermilk
n00456465 day_game
n12658603 sorbus_americana
n02282903 hairstreak
n01841679 wryneck
n04340521 stroboscope
n03382856 foremast
n01542786 weaver
n07919165 zombie
n02065263 sei_whale
n04241249 slip_on
n12409840 sugarberry
n12790430 deutzia
n09415671 river_bottom
n07561848 balanced_diet
n02184720 body_louse
n04414476 terry
n11643835 arborvitae
n02102605 water_spaniel
n01671479 desert_tortoise
n03906224 pegboard
n11757017 gidgee
n01407798 green_algae
n02786837 bandsaw
n04075813 rep
n02381004 buckskin
n10509063 reading_teacher
n12890265 speedwell
n02901620 brigantine
n04229620 ski_jump
n07815956 white_pepper
n04586072 shelterbelt
n03140292 rood
n14810561 choline
n02932693 cabin_class
n08539276 outskirts
n02429456 antilocapra_americana
n04410565 tenpin
n04213264 sickbed
n02058747 gooney
n02588286 grunt
n01448594 guppy
n07936459 ice_water
n02931294 cabana
n03487090 handlebar
n03321954 fan_vaulting
n07585107 chicken_stock
n03170872 deerstalker
n02622955 hairtail
n02469472 tadpole
n03440876 lazaretto
n02598878 queenfish
n07807922 fruit_salad
n05241485 melanocyte
n02286089 gypsy_moth
n03566193 incinerator
n04482177 tricorn
n02767956 backbench
n03516996 superheterodyne_receiver
n03426574 gas_turbine
n12137791 doura
n03402941 funeral_parlour
n03610524 dog_house
n02095050 fox_terrier
n11860555 bitterroot
n04019881 pullback
n04384910 rear_lamp
n03320519 fancy_dress
n07616487 sundae
n03824284 nightcap
n13013534 lepiota
n09300905 hail
n09260907 farmland
n12685431 geranium
n01405007 fucus
n02687682 air_cushion
n02432704 blacktail
n07689490 cinnamon_toast
n03426134 gasoline_tank
n12029635 coltsfoot
n09990777 dancing_master
n04247876 snaffle_bit
n07568241 farina
n07927836 bitter_lemon
n04212165 shuttle_bus
n09245515 corrie
n07849733 whey
n07721195 pimiento
n03176594 deodorant
n07818995 marjoram
n08580944 half_mast
n01654637 xenopus_laevis
n02523877 haddock
n03343737 fire_alarm
n04969540 steel_blue
n04502670 tweeter
n02490811 pygmy_marmoset
n04976952 skin_color
n12651229 pyracantha
n02344175 jird
n12091953 polyanthus
n07687381 baguet
n02027357 stint
n01692523 beaded_lizard
n03039259 clay_pigeon
n03736147 meat_hook
n04250692 snood
n02306825 egger
n07911061 ratafia
n04389430 tankard
n05545879 foramen_magnum
n10560106 classmate
n12879527 calceolaria
n04150980 scraper
n04061969 niche
n10324560 model
n12001707 cineraria
n03064350 coffer
n07913774 cobbler
n11632619 mediterranean_cypress
n04479939 trestle_bridge
n12118661 finger_millet
n04287747 spray_gun
n09881358 busboy
n03426134 petrol_tank
n11943660 ruddles
n07896994 plonk
n02922578 burqa
n12711398 rangpur
n03983712 popper
n12413880 iris_germanica
n12554526 locoweed
n01621635 owlet
n02631628 striped_marlin
n04969798 cobalt_blue
n01558765 ring_ouzel
n01857632 canada_goose
n02413593 hampshire
n02042759 kittiwake
n02921756 burglar_alarm
n03822767 newtonian_telescope
n02825961 bell_gable
n04136045 sarcophagus
n03116008 couchette
n04350581 sugar_bowl
n12345899 rhizophora_mangle
n01967963 piddock
n04516354 used_car
n02975994 casein
n03043693 clinker_brick
n07621264 nonpareil
n02390015 jennet
n02527622 conger
n03316105 fax
n12105353 crested_wheatgrass
n03678879 driving_axle
n08539072 downtown
n03222722 doorframe
n02407763 beefalo
n00464478 water_polo
n12475035 wild_oats
n04229007 skidder
n12128071 paspalum
n03703862 madras
n01693783 chamaeleon
n11706942 persea_borbonia
n10562135 scorer
n03549199 humvee
n04476116 trawler
n02038993 pratincole
n12107710 meadow_foxtail
n00443692 cliff_diving
n04497801 tuning_fork
n02520147 goujon
n12482893 joshua_tree
n08521623 cemetery
n05578095 heel
n02181235 tenebrionid
n07740597 empire
n02755675 attenuator
n04386051 tailstock
n02045596 auklet
n04450749 tongs
n03146846 cultivator
n12903014 tamarillo
n07865484 chow_mein
n01491006 blue_shark
n12482893 yucca_brevifolia
n02917521 bullion
n02393161 diceros_bicornis
n03233744 lift_bridge
n01619835 andean_condor
n13081999 dry_rot
n07853648 gouda
n04448185 tokamak
n04026180 purl
n02883004 bowsprit
n01603600 waxwing
n12939874 heracleum_sphondylium
n03872273 packsaddle
n03500699 haymaker
n04104384 semicircular_arch
n01548301 kingbird
n11616662 scots_pine
n02361587 woodchuck
n09906704 champ
n03451798 graffito
n02775483 bagpipe
n11957678 calliopsis
n04963111 sanguine
n03211789 display_window
n03886762 paperclip
n01350226 bacillus_anthracis
n02125081 european_wildcat
n01858281 coscoroba
n12121610 fescue
n04366033 sushi_bar
n01646388 agua
n01316422 scavenger
n04206790 shot_tower
n00477639 polo
n03456447 greasepaint
n02244515 kissing_bug
n02303284 cecropia
n07691539 brioche
n04974859 ultramarine
n03413684 gambrel
n01614038 harpy_eagle
n12621945 cherokee_rose
n03713436 majolica
n03122295 conestoga
n12321873 shellbark_hickory
n03986562 porthole
n01849863 ruddy_duck
n01848648 widgeon
n05454833 sickle_cell
n07703889 hasty_pudding
n02389261 pinto
n03292475 epee
n03902482 peach_orchard
n04365112 surrey
n04273659 speed_bump
n12648693 prunus_salicina
n01528845 meadow_pipit
n12946849 dogwood
n02921592 burette
n02160947 social_insect
n02312912 imago
n02941845 aventail
n02900160 bridle
n04054361 rapier
n04417086 tetrode
n09189157 eyrie
n03233744 drawbridge
n04074185 reliquary
n03886762 paper_clip
n04432203 tiara
n07848093 sour_cream
n04350688 sugar_refinery
n12103894 shortgrass
n03522100 hipped_roof
n03087816 condenser_microphone
n12180168 mahoe
n07849619 raita
n04002629 primary_winding
n01909906 polyp
n04550676 wardroom
n02414209 longwool
n00444846 scuba_diving
n03724417 masher
n07854455 quark
n04114069 roundel
n07697699 sloppy_joe
n03250588 sander
n01825278 turaco
n01858906 cygnet
n04036155 quoit
n02782681 ballot_box
n12407890 english_elm
n09262690 dale
n04538403 viscose
n04321453 stob
n11623967 deodar
n03573848 insole
n01984245 norway_lobster
n03602081 jolly
n12696492 neem_tree
n10564098 movie_actor
n04404200 teletypewriter
n04590263 windowsill
n01847170 duckling
n08494231 pleasure_ground
n02072493 narwal
n07690273 gem
n11626826 red_spruce
n04515729 upstairs
n06614901 outtake
n11882426 toothwort
n04395024 tarp
n03474896 haft
n12393269 ramee
n02412210 wether
n09357346 molehill
n02404028 maverick
n12263038 american_chestnut
n04595028 wifi
n13001529 agaricus_campestris
n03695452 luff
n03767745 minaret
n06359657 portal_site
n13004423 chanterelle
n02829596 bench_press
n02379908 arab
n12407079 wych_elm
n03222722 doorcase
n04134008 sandbag
n01903498 sclerite
n07585758 gazpacho
n03815149 necklet
n04600912 work_clothing
n07879174 sukiyaki
n12428076 martagon
n07822845 chili_sauce
n03657239 iol
n04113038 rouleau
n09308743 icecap
n03703945 mae_west
n01589286 creeper
n02710600 aneroid_barometer
n03616763 kick_start
n07928887 root_beer
n12869478 germander
n12048399 caladenia
n03290096 ensign
n02812949 bayonet
n04414199 terrarium
n04205062 short_iron
n03323096 farmstead
n04369618 sweatband
n02770211 back_porch
n01817346 poll
n06266973 rotogravure
n03832144 nosewheel
n01419888 giardia
n07766723 marang
n04325041 western_saddle
n03296081 escapement
n02675219 acetate
n03743279 megaphone
n14938389 lino
n04067818 refectory
n01543175 baya
n11998888 cotton_thistle
n07860447 maple_syrup
n02793089 baritone
n02831595 bermuda_shorts
n03947798 pique
n12173069 velvetleaf
n03538817 horsehair
n12704041 oka
n01991520 pill_bug
n00442437 bathe
n02270623 silverfish
n02868638 bombproof
n12604460 rumex_acetosella
n03195332 digester
n12914923 vervain
n00470966 rugby
n02047975 atlantic_puffin
n02892392 brassard
n02450561 american_marten
n03637181 lamppost
n11599324 welwitschia_mirabilis
n09376198 ocean
n03622839 knee_brace
n04963588 crimson
n03057920 coat_hanger
n04278447 spinnaker
n04457767 torque_converter
n09818022 cosmonaut
n03316105 facsimile_machine
n01751472 taipan
n03365374 flood
n03365374 floodlight
n07925229 lemon_juice
n04184316 shantung
n02388276 trotter
n09833536 baker
n03368352 flowerbed
n04032509 quarterstaff
n11761650 inga
n04310604 steam_turbine
n02696246 alembic
n04401828 telephone_cord
n03786313 morning_room
n12201580 cacao
n04241042 slipknot
n03011741 checkout
n02340930 pine_vole
n04412416 tepee
n03089753 conference_center
n03309465 ocular
n02084732 doggy
n01915811 coral
n03903133 peavy
n02744323 arterial_road
n03381450 force_pump
n03678729 little_theatre
n03947466 pipe_wrench
n04062179 reciprocating_engine
n10186216 wrangler
n02702989 ammeter
n11898639 pennycress
n02012185 least_bittern
n04186051 shaving_cream
n03901974 pawnshop
n07928578 phosphate
n03012897 chemical_plant
n09269341 down
n02982416 catboat
n01987076 snapping_shrimp
n04229737 ski_lodge
n04567593 weather_satellite
n15102455 chipboard
n03822656 newsstand
n03279508 electron_microscope
n07906111 vodka
n02695627 alcazar
n12641007 prunus_armeniaca
n07870894 lobster_thermidor
n04346428 sty
n04078574 reservoir
n12927758 tung_tree
n04233124 skyscraper
n03294833 eraser
n00466630 match_play
n07720277 chard
n02028451 lesser_yellowlegs
n03698360 lute
n02412629 lambkin
n12833149 african_violet
n07569644 graham
n02058747 gooney_bird
n11678010 cornstalk
n01577035 sturnus_vulgaris
n01949499 keyhole_limpet
n11719286 peony
n03465605 guesthouse
n03232309 drainage_ditch
n01847407 dabbling_duck
n03181667 detention_house
n04589593 window_frame
n09361517 mountainside
n03517647 hideaway
n03514129 haematocrit
n12510343 dhak
n02976123 sheath_knife
n12780563 trumpets
n12647376 bird_cherry
n04128710 sailcloth
n03378005 food_court
n03408444 futon
n03225108 dorm_room
n07592768 ratatouille
n01330497 arenavirus
n02761696 automobile_factory
n01672432 spiny_softshell
n01379389 staph
n07864638 tetrazzini
n04266375 spacesuit
n03373611 flying_boat
n02781121 ball_gown
n03874487 paddock
n07866015 croquette
n03557692 ice_maker
n02418465 mountain_goat
n03408340 fustian
n01514752 gamecock
n07842753 omelet
n03293741 equaliser
n03774461 mitre
n13150378 cubeb
n04514648 upper
n01322898 lion_cub
n06596474 news_magazine
n02788572 baptismal_font
n12919847 leafy_spurge
n04294879 stable
n02416104 barbary_sheep
n04001661 pwr
n02043063 tern
n03448590 gorget
n12523475 jacaranda
n11800236 ginseng
n03072201 color_television
n08571275 midfield
n07600696 candy_apple
n11923174 mayweed
n04568841 webbing
n04599124 woofer
n07818995 oregano
n09451237 supernova
n04332074 straight_razor
n09932508 collier
n04126066 safety_bicycle
n04003856 print
n12753245 sugar_maple
n02173373 japanese_beetle
n04307767 staysail
n02679257 adding_machine
n07868830 galantine
n12282527 betula_pendula
n03490884 hanger
n12597466 saw_palmetto
n03644378 lariat
n09219233 berm
n01903346 scute
n01636127 lungless_salamander
n07654298 biryani
n01937909 bloodsucker
n01678343 chuckwalla
n04506289 uke
n03129753 credenza
n02322047 trepang
n04975739 complementary
n03879705 pallette
n03849814 opera
n12639376 beach_plum
n02214499 potter_wasp
n07879659 tamale
n03204134 dipole
n02445394 sea_otter
n02536456 chinook_salmon
n03437741 gingham
n11849271 mescal
n01664369 ridley
n03146846 tiller
n05263448 attilio
n02027897 greenshank
n03708843 magnetometer
n02390015 jenny
n03935883 pilaster
n03212114 garbage_disposal
n03850492 operating_table
n01623880 strix_occidentalis
n06592281 rock_opera
n02726017 ao_dai
n07711080 fries
n12877244 snapdragon
n01958346 littleneck
n02380464 polo_pony
n01687128 teju
n03600285 jodhpurs
n04127395 guardrail
n07567139 food_colouring
n02731629 scuba
n03967270 plimsoll
n03141702 crusher
n12322099 mockernut
n01668892 river_cooter
n10560106 schoolmate
n03097673 control_key
n03159535 dairy
n03757604 metronome
n02101670 field_spaniel
n03878511 palestra
n03202354 dinner_table
n07582811 bean_dip
n01884476 thylacine
n12882779 digitalis
n02519340 pout
n07827410 sesame_seed
n03499354 hatpin
n03836976 silk_stocking
n02065726 humpback_whale
n02710429 anemometer
n08524735 urban_center
n08571898 flea_market
n12640839 mei
n04059947 rearview_mirror
n12188635 thespesia_populnea
n12118661 ragi
n03223686 threshold
n04260364 sonogram
n04579056 whiskey_bottle
n12932173 archangel
n01663782 green_turtle
n02417242 cashmere_goat
n01797307 spruce_grouse
n02666624 a_battery
n04207343 shoulder_bag
n12079963 pogonia
n04132158 salwar
n01922717 helminth
n04384910 taillight
n08182379 crowd
n03782794 monkey_wrench
n03901974 loan_office
n04012482 turboprop
n03717447 manhole
n01826680 european_roller
n01599556 loggerhead_shrike
n04170933 selvage
n03729402 matchbox
n02047045 pigeon_guillemot
n04590553 windscreen
n02324514 lapin
n12382233 cirio
n11866248 cleome
n02904803 brocade
n12093600 cyclamen_hederifolium
n01580870 blue_jay
n07828378 msg
n04119478 rumpus_room
n12086778 vanilla_planifolia
n07694839 hardtack
n04082710 retaining_wall
n04173907 serape
n03999160 presbytery
n07567139 coloring
n04356925 solarium
n07803408 bulgur
n07827130 juniper_berries
n04969242 sapphire
n04137897 satellite_television
n01623706 scops_owl
n03239054 full_dress
n02505063 woolly_mammoth
n03885194 panting
n15091473 riboflavin
n07936015 spring_water
n03664943 ligament
n03197446 digitiser
n03353951 fixative
n07906572 blended_whiskey
n04131208 beauty_parlour
n03226880 double_door
n03913343 pentode
n14942411 loadstone
n07711080 chips
n13915023 ovoid
n12050533 cattleya
n09289596 glen
n03971321 pneumatic_drill
n02290664 almond_moth
n03317788 faience
n01504344 baby_bird
n04539794 voile
n03239054 white_tie
n07892418 vintage
n07890068 pale_ale
n11615387 loblolly_pine
n12319414 juglans_regia
n03321563 fanny_pack
n13007034 fairy_ring
n03646148 lath
n09339810 geosphere
n03541269 hospital_ship
n01831360 tody
n02056728 emperor_penguin
n12277578 quercus_robur
n03680512 loaner
n02836607 bifocals
n03440216 gps
n00141669 check_in
n07609407 taffy
n07933799 cupper
n02848921 blank
n11635830 yellow_cedar
n07937461 couscous
n03530189 homing_torpedo
n12486574 flax
n07835457 hollandaise
n07890750 mead
n04237423 slicer
n01610226 hen_harrier
n03002341 chairlift
n04477548 treasure_chest
n03943115 pinion
n12392549 urtica_dioica
n11616662 scotch_pine
n02017725 takahe
n11697560 barberry
n01577035 common_starling
n13098962 phloem
n03062985 coffee_can
n07598928 barley_sugar
n02259708 treehopper
n04358117 supercomputer
n12058630 marsh_orchid
n03140292 crucifix
n12721477 palo_santo
n02379183 quarter_horse
n01856155 gander
n01734808 milk_snake
n11632619 cupressus_sempervirens
n02762169 autopilot
n02245111 firebug
n11609475 pinyon
n03123553 coverlet
n07859142 saccharin
n03409920 gadgetry
n07853762 grated_cheese
n01668665 slider
n03436182 boom_box
n02048353 tufted_puffin
n02382750 welsh_pony
n01597906 western_tanager
n03088707 conductor
n03395859 fresnel_lens
n03101517 cookie_cutter
n04206356 shotgun
n03629231 kurta
n03225108 dormitory_room
n12730143 salix_repens
n09309168 ice_floe
n04273285 speculum
n12735160 sandalwood_tree
n04570815 weekender
n04611916 yardstick
n05453657 neutrophil
n10564098 screen_actor
n03199775 dinette
n02910542 buckram
n03164929 davit
n01948573 limpet
n07861158 bread_dough
n02513727 parr
n06883725 swastika
n07921239 turkish_coffee
n02572196 cardinalfish
n03503997 headlamp
n04040247 radial
n02443015 american_mink
n02386968 clydesdale
n02311748 leptocephalus
n03277149 electron_gun
n12402596 pipal
n07723039 leek
n01486838 nurse_shark
n11614420 pinus_ponderosa
n03984643 porkpie
n15093298 vitamin_c
n03055857 carriage_house
n04173511 sequencer
n04103094 rolling_mill
n03615300 khadi
n02285179 codling_moth
n04216860 sifter
n02854378 blockhouse
n04453390 toothpick
n13219422 horsetail
n04955160 burnish
n03086457 concert_grand
n03995535 power_cable
n12884260 toadflax
n07560331 finger_food
n01791107 jungle_fowl
n12697152 cedrela_odorata
n12154773 pandanus
n04255499 socle
n03923379 vial
n04582205 wickerwork
n01540832 hawfinch
n02776825 balaclava
n03343047 fin_keel
n04292921 squeegee
n02169974 potato_beetle
n13155611 glume
n02491107 tamarin
n03370387 fluorescent_lamp
n03516844 jackboot
n02974348 caryatid
n12305819 blue_ash
n12541403 grass_pea
n02881906 bowline
n03690851 lota
n12904314 henbane
n10043643 economist
n04346428 pigpen
n02809105 batik
n01815601 sandgrouse
n05258051 forelock
n01538059 reed_bunting
n03072201 colour_television
n07600696 caramel_apple
n04267435 spanker
n04364160 lightning_arrester
n01563128 warbler
n02563792 bluegill
n03262809 easel
n03390786 fraise
n03029445 butter_churn
n12464476 hellebore
n01584853 house_wren
n07924276 nectar
n03382104 forecastle
n01984245 nephrops_norvegicus
n01469723 salpa
n07574780 continental_breakfast
n07607361 liquorice
n01614038 harpy
n04541987 voting_booth
n07887099 draught_beer
n12592058 nipa_palm
n06419354 collegiate_dictionary
n03917048 periscope
n12987056 lichen
n01951274 sea_hare
n04173046 septic_tank
n04238321 zipper
n03070193 collider
n11971248 gazania
n12753007 silver_maple
n04359217 supplejack
n06267655 gazette
n01959985 cockle
n03894051 particle_detector
n12402840 rubber_plant
n03302671 exercise_bike
n01315213 peeper
n03625943 knitwear
n02748491 aspirator
n03145719 cue_ball
n02686379 air_conditioning
n03030353 cigar_box
n02450295 pine_marten
n00443803 flip
n02689144 airframe
n12969425 scleroderma_citrinum
n03555564 hypodermic_needle
n04261638 sound_camera
n06359467 chatroom
n03361380 fpd
n04360798 support_column
n03160740 damask
n07588193 wonton
n12152532 cotton_grass
n03864139 overhand_knot
n04294614 stabilizer_bar
n02539424 lake_whitefish
n07588947 stew
n07869611 jambalaya
n02446206 striped_skunk
n03831757 nose_flute
n04518343 vacuum_gauge
n02745611 artificial_horizon
n03259009 dustpan
n03543254 hotplate
n02430830 fawn
n12072722 masdevallia
n07888378 shebeen
n03382292 forecourt
n04529962 vertical_stabilizer
n07931870 may_wine
n07889990 burton
n07768318 seckel
n11760785 calliandra
n03017835 inglenook
n04058239 rom
n11652039 podocarp
n12281788 yellow_birch
n07880458 schnitzel
n07886463 aperitif
n04258859 soldering_iron
n12110236 wild_oat
n12310349 lilac
n03145277 cuddy
n07920222 latte
n10382710 organ_grinder
n13190060 bracken
n12117695 barnyard_grass
n03697366 lunar_module
n12983048 phytophthora_infestans
n03895170 parvis
n02843909 biretta
n08583292 hemline
n02940385 call_center
n07848936 ghee
n02278024 comma
n04255586 soda_can
n07615289 sherbet
n03660124 levis
n04976952 complexion
n04261116 sorter
n12642600 gean
n04268799 spark_gap
n02898585 wedding_dress
n04057215 razorblade
n11712282 tulip_poplar
n11970586 gaillardia
n07840520 worcestershire_sauce
n11487732 sundog
n04378489 tabard
n03302938 exhaust_system
n02202678 punky
n09846755 beekeeper
n03334912 fifth_wheel
n04300509 stamper
n03206282 disco
n03205143 directional_microphone
n03810952 national_monument
n07894965 pinot_noir
n02286089 gipsy_moth
n04349913 suction_cup
n03861271 outrigger
n03635330 lame
n03518631 high_gear
n02531625 menhaden
n01815036 carrier_pigeon
n04526964 ventilator
n12545635 lotus_corniculatus
n02061853 diving_petrel
n03044801 clip_on
n09445008 steep
n03436417 gift_shop
n12766595 poison_sumac
n01620135 california_condor
n03006626 chanter
n01758757 carcase
n03297103 espadrille
n02892948 knuckles
n02413050 black_sheep
n03412906 gallows
n03918737 organiser
n09362945 mull
n06273743 call_waiting
n04310507 steam_shovel
n02216365 mud_dauber
n04495698 tudung
n04528079 verdigris
n02387254 dobbin
n05244934 macula
n07895710 cabernet
n09392402 pinetum
n02864504 bolero
n06596607 pulp_magazine
n03177165 depilatory
n12064389 fragrant_orchid
n02795978 hurdy_gurdy
n01854700 goosander
n01333610 reoviridae
n03105306 coracle
n04323519 stockinette
n02984469 catheter
n09327077 kopje
n12761905 terebinth
n04058594 readout
n09308743 ice_cap
n13238375 stapelia
n03855214 organza
n02126139 serval
n10304914 medallist
n03730334 maternity_hospital
n11765568 honey_mesquite
n04226826 skeleton_key
n04037873 race
n11620016 siberian_larch
n02415130 urial
n02947660 canal_boat
n01841943 piculet
n13201969 woodsia
n07751737 damson
n02414290 merino
n03235979 dray
n07594066 cake_mix
n03617312 kilt
n01837072 frogmouth
n04464615 trackball
n02393940 malayan_tapir
n12127575 broomcorn_millet
n03567066 incubator
n12610328 eichhornia_crassipes
n02701260 amen_corner
n01378545 myxobacteria
n07905618 pulque
n13171797 water_sprite
n04477725 treasure_ship
n02835829 bicycle_rack
n04252331 snowshoe
n03781594 moneybag
n03555426 hypermarket
n03236217 dredge
n08598568 mecca
n03736064 meat_grinder
n01641739 green_frog
n04380916 table_saw
n11793403 malanga
n02536165 red_salmon
n04234887 slate_roof
n03031152 cigarette_holder
n01986806 shrimp
n04322531 stockade
n12898342 deadly_nightshade
n03062336 cocotte
n03418749 garibaldi
n07686720 sourdough_bread
n02993194 empty_tomb
n07845166 pasteurized_milk
n12522894 sissoo
n04409806 tennis_racquet
n03145147 cuckoo_clock
n12092417 scarlet_pimpernel
n13225365 resurrection_plant
n01643507 robber_frog
n07770869 betel_nut
n03610418 keg
n09251407 comet
n03982642 poop_deck
n04976319 pigmentation
n01894207 tenrec
n03519387 tower_block
n10386984 outfielder
n01443831 crucian_carp
n07576969 clambake
n03322704 greenmarket
n13238988 stephanotis
n12705013 milkwort
n02739889 armoured_car
n01794158 meleagris_gallopavo
n03053047 clove_hitch
n03518305 tallboy
n12791064 philadelphus
n03470948 gurney
n02687423 aircraft_engine
n02685253 aileron
n03168217 beach_chair
n02658531 plaice
n02382850 exmoor
n03525693 holding_cell
n04583212 fisheye_lens
n02782778 park
n02275560 mourning_cloak
n09452760 swell
n10755080 violist
n02026629 surfbird
n03533014 narghile
n04541320 voltmeter
n02262449 mayfly
n06596727 glossy
n07902799 akvavit
n02407521 guernsey
n01487506 sand_shark
n03671914 linac
n02666943 shambles
n09223487 bladder_stone
n01836087 whippoorwill
n07616748 banana_split
n02174659 cockchafer
n01732614 corn_snake
n01851038 pochard
n11711764 magnolia_virginiana
n04063154 record_changer
n04502059 turret_clock
n02191273 tsetse_fly
n04467506 trailer_park
n04345201 study_hall
n13032923 verpa
n03268918 electrical_cable
n02682311 adz
n02186153 flea
n04065789 recycling_bin
n09189157 aerie
n02767038 baby_powder
n03904433 cycle_rickshaw
n03374372 fly_rod
n07902937 arrack
n12836508 five_spot
n03276179 electromagnet
n02803539 bass_clarinet
n02584449 piranha
n03172738 delayed_action
n02560110 snook
n03437430 gilt
n11668117 monocot
n13132756 thyrsus
n04439712 tin_foil
n02713364 anklet
n07871065 lutefisk
n01995514 fairy_shrimp
n13206817 maidenhair
n02921029 bunsen
n02542958 argentine
n04112252 rotor_blade
n11958080 cosmos
n03547229 hovercraft
n02406859 devon
n01330126 adenovirus
n02607470 sergeant_major
n07808479 chicken_salad
n03374570 flytrap
n02840515 bindery
n04192361 sheltered_workshop
n02487547 macaca_mulatta
n11685621 silique
n03985881 portcullis
n07908411 absinthe
n12737383 family_loranthaceae
n03978815 polonaise
n03069752 college
n01663782 chelonia_mydas
n02756854 audio_amplifier
n12882945 digitalis_purpurea
n04146504 school_bell
n11988132 goldfields
n03170292 decoupage
n03942920 pinhead
n04075291 remote_station
n02288268 looper
n12261808 fagus_grandifolia
n03250089 drum_brake
n12801520 parnassia
n04524941 velours
n11626826 picea_rubens
n04579230 whispering_gallery
n03333610 sports_arena
n02406533 brown_swiss
n04314522 sten_gun
n03038870 clavichord
n02850950 blimp
n09927089 cleaner
n13883763 spherical_triangle
n03658635 levee
n07897865 rioja
n11928858 mugwort
n07918879 toddy
n02380745 bronco
n02644501 rasher
n02327656 arctic_hare
n02387346 shire
n02380745 broncho
n02754656 atrium
n03194297 differential
n15006012 roughcast
n06618653 spaghetti_western
n07752264 victoria_plum
n02988679 cd_rom
n00483705 court_tennis
n01544389 zebra_finch
n12968136 sclerotinia
n11859472 spring_beauty
n02359324 prairie_dog
n11753355 trifolium_pratense
n02766792 baby_grand
n04313628 stele
n02150482 vampire_bat
n02834642 bicorne
n02753394 atomic_clock
n03055857 remise
n03599964 jobcentre
n01674990 gecko
n12201580 cacao_tree
n13232779 honey_fungus
n03426134 gas_tank
n03615790 khukuri
n03122295 conestoga_wagon
n02036711 avocet
n12810595 phlox
n04543772 wagon_wheel
n03115014 cotter_pin
n03307037 extension_cord
n03146687 cullis
n03483230 handbell
n12402596 ficus_religiosa
n07709172 potherb
n04210591 shrink_wrap
n02147328 serotine
n03946162 pipe_fitting
n12777680 snowbell
