n03205304 direction_finder
n04290079 spun_yarn
n09405078 rangeland
n11986511 lactuca_sativa
n01781570 acarus
n04497570 tunic
n07681450 challah
n03180011 desktop_computer
n00445226 water_skiing
n09846755 beekeeper
n04056413 rattrap
n03535024 hope_chest
n02064816 blue_whale
n12513933 redbud
n03489048 hand_throttle
n01592084 chickadee
n10316862 military_leader
n11617090 monterey_pine
n03044801 clip_on
n12932365 angelica_sylvestris
n07762740 ackee
n12785889 stonecrop
n02751215 astrolabe
n01775062 wolf_spider
n04355933 sunglass
n02663211 turbot
n02138169 palm_civet
n01530575 brambling
n03417042 garbage_truck
n14976759 pantile
n03906224 pegboard
n04262161 sounding_board
n04075291 remote_station
n01654637 xenopus_laevis
n01888411 doe
n01541922 towhee
n07894102 beaujolais
n07686634 simnel
n03934656 pieta
n04466871 trail_bike
n02413717 lincoln
n12642964 capulin
n00482122 netball
n11759609 siris
n02564720 black_bass
n03175983 dental_implant
n07831267 tomato_sauce
n03160740 damask
n05469861 dendrite
n04172904 separate
n03399971 fruit_machine
n11759853 zaman
n12479537 dracaena
n07896287 dessert_wine
n03249342 drugstore
n02420828 gerenuk
n02727426 apiary
n07597263 sweetmeat
n03855756 orlon
n11971248 gazania
n11870418 garlic_mustard
n03917198 peristyle
n07822197 tomato_ketchup
n02202124 culex_quinquefasciatus
n01849863 ruddy_duck
n09421799 sandbank
n07875560 roulade
n03087816 condenser_microphone
n12335664 mallee
n03724176 maser
n02993194 cenotaph
n03849814 opera_house
n01599556 loggerhead_shrike
n11849271 peyote
n02408817 carabao
n00466273 professional_golf
n12866162 clary
n04471632 junction_transistor
n07818133 fenugreek
n03638180 lander
n01852400 mandarin_duck
n02610373 bergall
n03653583 reading_desk
n01947396 whelk
n04136045 sarcophagus
n03941684 pincer
n00443231 floating
n03567066 incubator
n12974987 slime_mold
n12566954 kudzu
n02745492 artificial_heart
n02873733 bootie
n02908951 brussels_lace
n07859796 sugar_syrup
n03109253 corncrib
n11717399 nelumbo_nucifera
n02974348 caryatid
n12700088 honduras_mahogany
n12120347 teff
n03724538 five_iron
n12409840 sugarberry
n04967801 sage_green
n01490360 dusky_shark
n11615387 loblolly_pine
n06273555 call_in
n06267564 daily
n07736692 spinach
n01495701 ray
n02542017 ladyfish
n03518305 tallboy
n02889996 brake_cylinder
n12449296 camas
n02688273 air_filter
n13882487 heptagon
n01593553 verdin
n04184316 shantung
n04495698 tudung
n04441093 tire_iron
n02127482 lynx_rufus
n01813088 wood_pigeon
n01540832 hawfinch
n02364673 guinea_pig
n01446760 killifish
n07690273 gem
n01541102 pine_grosbeak
n03401279 fuel_injection
n04447028 toilet_bowl
n02828299 belt_buckle
n02180233 bark_beetle
n03641569 lanyard
n07880325 rarebit
n03451365 grade_separation
n04476116 dragger
n02791124 barber_chair
n03205458 dirk
n03776460 mobile_home
n02365108 mara
n13163553 deadwood
n07887461 bock_beer
n02153109 big_game
n04455652 topsail
n12915140 lantana
n01755740 timber_rattlesnake
n02662993 brill
n11927215 arnica_montana
n13001206 toadstool
n12351091 achira
n02636854 mojarra
n12685431 geranium
n01485479 basking_shark
n03836976 nylons
n02055107 tropicbird
n02967626 underlay
n01672611 smooth_softshell
n03300216 ethernet
n02505238 columbian_mammoth
n07719330 bamboo_shoot
n12285512 red_alder
n02757061 audio_cd
n07608980 rock_candy
n07560331 finger_food
n07894551 chablis
n04016240 lopper
n04182152 shadow_box
n02382750 welsh_pony
n02124623 wildcat
n03949317 piston_rod
n04420024 thermal_reactor
n01871265 tusker
n01830915 motmot
n02530421 shad
n13882201 pentagon
n04139395 sauna
n01824344 ani
n04313628 stela
n01980166 fiddler_crab
n09398076 pothole
n07734017 tomato
n02767956 backbench
n03981924 donkey_cart
n11682659 gemma
n09834699 ballet_dancer
n04244379 penstock
n09231117 caldera
n03344642 firebrick
n07834872 russian_dressing
n02964843 cargo_container
n05399356 colostrum
n04415257 test_equipment
n02281015 small_white
n01549886 phoebe
n03426134 petrol_tank
n08618831 perihelion
n03114839 cotter
n04398688 teaspoon
n03870105 pace_car
n01698782 chinese_alligator
n12877244 snapdragon
n04975739 complementary
n10806113 zoo_keeper
n04542943 waffle_iron
n04290615 sputnik
n01548301 kingbird
n02221083 fire_ant
n04136333 sarong
n04259630 sombrero
n02093428 staffordshire_terrier
n01422185 sporozoite
n04078574 reservoir
n01844551 quetzal
n01440764 tench
n04292921 squeegee
n04486054 triumphal_arch
n12278650 cork_oak
n04099003 rocker_arm
n04610274 yagi
n04278932 spinning_frame
n02065263 sei_whale
n04325704 stole
n02878425 boucle
n03378174 food_processor
n04156591 scuffle
n02676566 acoustic_guitar
n02445171 eurasian_otter
n03354207 fixer_upper
n12328567 purple_loosestrife
n03001115 chain_store
n03124590 corral
n02093754 border_terrier
n07744811 blackberry
n07687053 wafer
n11773987 oleander
n02843276 birdcage
n04267246 spandrel
n13917690 truncated_pyramid
n11721337 lesser_celandine
n09332890 lakeshore
n04149813 scoreboard
n02700895 amati
n03500699 haymaker
n01494475 hammerhead_shark
n04567593 meteorological_satellite
n01783017 myriapod
n04592005 wine_barrel
n02925666 combat_boot
n02917377 bullhorn
n03123809 cowhouse
n07801779 alfalfa
n07827410 sesame_seed
n03043693 clinker
n02953455 cantle
n03930313 paling
n07759194 concord_grape
n01536644 song_sparrow
n08539072 downtown
n02867966 bomber_jacket
n02181235 darkling_beetle
n02702989 ammeter
n01557185 thrush
n07823460 salsa
n11974557 snakeweed
n04287747 spray_gun
n07902937 arrack
n03751590 messuage
n07574923 brunch
n04026180 purl
n07581249 antipasto
n07727458 black_bean
n02177196 water_beetle
n02629716 swordfish
n03585682 iron_foundry
n12390099 pale_violet
n04409806 tennis_racquet
n03998333 tallis
n09392402 pinetum
n03551582 hydraulic_pump
n03720891 maraca
n02098413 lhasa_apso
n04288533 spring_balance
n04232437 skyhook
n03949145 piston_ring
n01751215 banded_krait
n01679626 collared_lizard
n04375241 synchromesh
n02821202 bedpan
n13124358 saprobe
n07913393 bloody_mary
n02710600 aneroid_barometer
n04241249 slip_on
n04176295 servomechanism
n02282903 hairstreak
n12103894 shortgrass
n02042046 herring_gull
n03199775 dinette
n04434207 tie_rack
n11631854 cupressus_arizonica
n03902482 peach_orchard
n03826039 niqab
n02878534 boudoir
n12267931 cupule
n03449309 gouge
n03367410 florist_shop
n02561661 pickerel
n03805725 nail_polish
n01384164 zooplankton
n03326371 feedlot
n03786313 morning_room
n12104238 tallgrass
n02631330 blue_marlin
n07905618 pulque
n12730143 salix_repens
n12754468 vine_maple
n02104029 kuvasz
n07915800 rob_roy
n03628215 koto
n04574348 whaleboat
n03973402 pocket_flap
n12546962 wild_lupine
n02680512 adit
n04541987 voting_booth
n02262803 stonefly
n07836600 blanc
n02871005 bookend
n02392824 white_rhinoceros
n03543112 hot_pants
n03129001 creamer
n07921834 scrumpy
n02407276 galloway
n03364156 flipper
n04471912 transit_instrument
n04038338 single_shell
n07909714 galliano
n04102406 roller_coaster
n04299963 stamp
n12624568 japonica
n04973816 indian_red
n01625562 barn_owl
n03804211 nacelle
n07590320 goulash
n01683201 worm_lizard
n03401721 fuel_system
n03742115 medicine_chest
n07608866 praline
n01670535 testudo_graeca
n01543175 baya
n07854348 parmesan
n04305210 statehouse
n07588574 lentil_soup
n12107710 meadow_foxtail
n03859608 outfall
n04449290 tollbooth
n02987379 slouch_hat
n03152951 cutaway
n02181477 mealworm
n06267758 school_paper
n04471148 transept
n07655263 saute
n04271531 specialty_store
n07683360 bannock
n03634034 pile_dwelling
n01469103 sea_squirt
n02434954 muntjac
n04347119 subcompact_car
n07875436 risotto
n07826250 tomato_paste
n01804653 northern_bobwhite
n07900225 varietal
n03683995 locket
n03207941 dishwasher
n04266014 space_shuttle
n03359436 flash_memory
n04070545 refrigeration_system
n02883101 bowstring
n11614420 pinus_ponderosa
n11691046 corolla
n03255030 dumbbell
n03252324 dry_masonry
n01380754 pneumococcus
n04162706 seatbelt
n03031152 cigarette_holder
n07836077 brown_sauce
n03692136 smoking_jacket
n03632100 lacrosse_ball
n02085019 feist
n03321563 fanny_pack
n04388473 tandoor
n03541269 hospital_ship
n04257223 soft_pedal
n04497442 tun
n03396074 fret
n01619835 vultur_gryphus
n03370646 fluoroscope
n01672432 spiny_softshell
n04168840 seismograph
n02152881 quarry
n01713764 tyrannosaurus_rex
n04124098 saddlebag
n02396796 babirusa
n11859472 spring_beauty
n03517509 hibachi
n02487547 rhesus
n12284821 alnus_glutinosa
n07585758 gazpacho
n05262698 walrus_moustache
n03524976 hogshead
n01533339 canary
n07751858 greengage
n03440216 gps
n07914128 refresher
n11686912 sporophyte
n02880546 string
n03571439 injector
n02834642 bicorne
n07732168 sweet_corn
n03668803 lilo
n03874599 padlock
n01792955 broody
n12708941 bergamot_orange
n03256032 dumpster
n11710136 southern_magnolia
n10164492 head_nurse
n02256172 psyllid
n03231368 drawing_table
n01811243 dodo
n04061681 reception_desk
n03145719 cue_ball
n00477392 lacrosse
n02041678 mew
n12489815 poinciana
n02160947 social_insect
n02855701 blucher
n13882639 nonagon
n02395694 piglet
n07876893 scrapple
n02761034 automatic_transmission
n07601572 candy_cane
n04230603 ski_pole
n08640962 rough
n07608245 marzipan
n01943899 conch
n07563800 liquid_diet
n13862407 leaf_form
n13154494 frond
n07867616 cheese_fondue
n11697560 barberry
n12307240 jessamine
n02210427 mining_bee
n07812184 spice
n01551711 manakin
n04591631 wine_bar
n02045864 razorbill
n12934985 water_hemlock
n11939491 daisy
n02476567 australopithecus_afarensis
n03013850 chenille
n03409920 gadgetry
n01809752 hoatzin
n02109047 great_dane
n04252331 snowshoe
n03233624 drawbar
n12311579 syringa_vulgaris
n03979377 polyester
n04305471 state_prison
n10382710 organ_grinder
n11770256 alstonia_scholaris
n04414101 terra_cotta
n03260504 dynamo
n11757190 catechu
n12217851 grevillea_banksii
n12550210 mucuna
n03938401 pillow_block
n01632308 mole_salamander
n03385295 formica
n02793296 bar_magnet
n03751269 mess_jacket
n12646397 islay
n11950345 chrysanthemum
n02321170 feather_star
n12858150 monarda
n02957252 capstan
n13096779 lignum
n03042490 cliff_dwelling
n03159535 dairy_farm
n02127381 canada_lynx
n04124202 saddle_blanket
n03776877 moccasin
n02063662 right_whale
n02566665 yellow_bass
n04089836 riding_crop
n03980026 pomade
n04112430 rotor_head
n02831335 berlin
n02619550 mudskipper
n03452594 grandfather_clock
n03717622 manhole_cover
n03518135 highball_glass
n07731436 postum
n01487506 sand_tiger
n02387093 percheron
n04046277 raglan
n04967882 bottle_green
n07839478 roux
n04304680 starting_gate
n03443543 godown
n03817191 negative
n04085017 reverse
n03759243 microfiche
n12365158 maria
n04209613 shower_stall
n02068206 beaked_whale
n03476991 hair_spray
n04378956 tabi
n12552309 sainfoin
n02379183 quarter_horse
n02137888 ichneumon
n03517760 hi_fi
n12939874 hogweed
n03250588 sander
n03280216 electroscope
n03788365 mosquito_net
n04380533 table_lamp
n04146504 school_bell
n03362639 fleece
n02861147 bocce_ball
n01692523 beaded_lizard
n04330998 strad
n04072551 rein
n06274092 long_distance
n01817953 african_grey
n12907857 nicotiana_tabacum
n04289576 spritsail
n03197337 digital_watch
n01595624 martin
n03229244 joggle
n07845702 raw_milk
n07683617 pita
n07925500 tomato_juice
n09199101 anthill
n02898585 bridal_gown
n03335461 fig_leaf
n03462110 grosgrain
n02418770 goral
n03686924 log_cabin
n04604806 worm_gear
n07752514 dried_apricot
n03211789 shop_window
n03887697 paper_towel
n01793715 orpington
n08896327 sultanate
n04450749 tongs
n03096439 contrabassoon
n03146687 cullis
n02813752 bazooka
n07684164 matzah
n04331443 straightedge
n01790812 cochin
n01961985 pearl_oyster
n07900616 madeira
n02241426 true_bug
n03571280 inhaler
n07843636 fried_egg
n02979399 cassette_tape
n02360282 chipmunk
n06273743 call_waiting
n04454908 topiary
n03141702 crusher
n03539678 horse_trail
n03505667 headset
n03729308 matchbook
n03178674 derringer
n02397744 collared_peccary
n12480895 sansevieria
n04083649 retort
n02250280 cochineal
n04189651 sheet_piling
n07898247 soave
n07853762 grated_cheese
n04189282 sheeting
n03407865 fusee
n02406432 ayrshire
n03141455 crupper
n02302969 luna_moth
n01631354 taricha_granulosa
n01483830 porbeagle
n06281040 reception
n04578112 whipcord
n03599486 rickshaw
n06874185 traffic_light
n01911063 scyphozoan
n01851573 greater_scaup
n03415252 gamp
n12819728 echium_vulgare
n04289449 sprit
n03383211 forestay
n04514648 upper
n02976455 casement_window
n07880751 taco
n03077741 communications_satellite
n03334912 spare
n02523877 haddock
n04328580 secondary_cell
n10679174 surgeon
n03057920 coat_hanger
n02772101 backup_system
n03828020 nonsmoker
n12340581 water_gum
n00474657 professional_baseball
n02519862 blue_catfish
n07846143 milk_powder
n04403524 teleprompter
n00464478 water_polo
n12541403 grass_pea
n02126028 jungle_cat
n00449892 camel_racing
n03071021 cologne
n11700058 mayapple
n04567746 weather_ship
n07896661 macon
n01579410 rook
n01533893 crossbill
n01836087 whippoorwill
n04553703 lavabo
n01749244 rinkhals
n02901620 brigantine
n04279063 spinning_jenny
n02028451 lesser_yellowlegs
n02413050 black_sheep
n03017698 chimney_breast
n12059625 disa
n03615655 khimar
n04084889 revers
n03199488 dimmer
n07848936 ghee
n04401680 phone_booth
n03968728 plumb
n02305085 atlas_moth
n12050533 cattleya
n12765846 spondias_mombin
n03444034 go_kart
n12796022 bergenia
n03551395 hydraulic_press
n11722466 creeping_buttercup
n02087394 rhodesian_ridgeback
n03939178 pilot_boat
n03402941 funeral_parlour
n11690088 peach_pit
n02904505 broadside
n02441942 weasel
n03508485 heat_exchanger
n04062179 reciprocating_engine
n07919894 drip_coffee
n03804744 nail
n09438940 snowdrift
n03329302 ferris_wheel
n02875948 borstal
n02107312 miniature_pinscher
n11717577 american_lotus
n01581166 canada_jay
n03033267 circlet
n02950943 round_shot
n02892392 brassard
n06263202 free_press
n02645953 sea_raven
n01477875 sea_lamprey
n02431628 sambar
n02561514 muskellunge
n12020507 marigold
n03119203 general_store
n07835701 bercy
n15091473 vitamin_b2
n02079851 common_seal
n03005515 chandlery
n04226464 skein
n03296217 escape_wheel
n02091467 elkhound
n02919792 cottage
n02070776 vaquita
n03929091 piccolo
n01750437 tiger_snake
n11696450 lancewood
n03272810 power_meter
n03920288 petri_dish
n12903014 tamarillo
n11902389 papaver_somniferum
n03992436 potsherd
n02823510 beer_can
n11985053 iva
n02726210 apadana
n03166514 deanery
n07908812 benedictine
n01579260 raven
n02990758 celesta
n03128085 cravat
n01644900 tailed_frog
n12545635 lotus_corniculatus
n04591517 wind_turbine
n12336333 eucalyptus_camaldulensis
n12455950 gloriosa_superba
n02117646 brown_hyena
n03991202 potbelly
n07853445 edam
n01623880 spotted_owl
n04242408 sloop
n01710177 diplodocus
n02059852 giant_petrel
n02010272 cattle_egret
n02942147 cambric
n11532682 volva
n11996677 mutisia
n03356446 flambeau
n02878107 bottling_plant
n02069974 tursiops_truncatus
n02005399 shoebill
n04224842 sitar
n02749670 assegai
n08583455 heronry
n03193597 diesel_locomotive
n07829331 wine_vinegar
n07768139 anjou
n03240140 electric_drill
n12368028 tutsan
n03413684 gambrel_roof
n07715221 brussels_sprouts
n02936281 caff
n08500989 interstellar_space
n11549895 zoospore
n12704041 oka
n02852043 bling_bling
n13038068 gyromitra_esculenta
n12621945 cherokee_rose
n01944955 garden_snail
n10514429 referee
n03683457 lockage
n04399537 tee
n12139196 broomcorn
n13205058 nephrolepis_exaltata
n11730015 blue_jasmine
n04258618 solar_telescope
n03164344 data_system
n07720277 chard
n03758894 microbalance
n11758122 lightwood
n03681813 local_oscillator
n12696492 neem
n00440509 high_jump
n02377063 ridgling
n02119359 silver_fox
n02599347 weakfish
n07899769 vouvray
n04250473 snips
n03573848 insole
n03232309 drainage_ditch
n00444846 scuba_diving
n02910145 bucket_seat
n04045397 raft
n07918879 toddy
n05467054 neuroglia
n03127203 crankcase
n03883054 panic_button
n02412629 lambkin
n04133114 sampan
n02694966 alb
n03496486 harris_tweed
n07896060 california_wine
n12466727 death_camas
n13874073 equator
n02409508 cape_buffalo
n14938389 linoleum
n03339529 film_advance
n02700064 alternator
n03469832 gunnery
n02505063 woolly_mammoth
n12194147 silkwood
n03197446 digitiser
n02047975 atlantic_puffin
n04414675 tesla_coil
n12199790 brown_oak
n02903126 brochette
n03548195 huck
n01579578 jackdaw
n03586631 ironmongery
n03966976 pliers
n02571652 bigeye
n03041449 cleats
n02755529 attack_submarine
n09193551 alluvial_plain
n03999160 presbytery
n04219185 silex
n07739923 baldwin
n03276179 electromagnet
n02579928 permit
n02295390 cutworm
n07619004 custard
n01697457 nile_crocodile
n01330126 adenovirus
n03067339 cold_cream
n12058822 dactylorhiza_fuchsii
n07569873 soy_flour
n03888605 bars
n04006067 privateer
n03302671 exercise_bike
n02072493 narwal
n03495941 harpoon_gun
n01788579 eurypterid
n01984245 nephrops_norvegicus
n01847170 duckling
n04370600 sweatshop
n04185946 shaving_brush
n04402746 phone_system
n09415671 river_bottom
n03903133 peavy
n12064389 fragrant_orchid
n07896994 plonk
n12511856 caragana
n02090721 irish_wolfhound
n07935379 oolong
n04290507 spur_gear
n01322898 lion_cub
n02414442 rambouillet
n01575117 cowbird
n02061853 diving_petrel
n02221414 wood_ant
n03493792 hardware
n07924276 nectar
n03646809 latrine
n01339083 hs1
n11598686 ephedra
n02871439 bookshelf
n03496892 reaper
n02945964 campaign_hat
n03432061 gearset
n04250692 snood
n01807105 tragopan
n03128248 crayon
n06266633 fleet_street
n01681940 horned_lizard
n07868684 frog_legs
n12733870 populus_tremula
n02739550 armoire
n04285965 sport_utility
n10565667 scuba_diver
n03906590 pelican_crossing
n01586941 mockingbird
n02964295 car_ferry
n12833149 african_violet
n03314780 face_powder
n03487444 hand_lotion
n03557840 ice_pack
n07846557 skimmed_milk
n02603317 barracuda
n07600394 butterscotch
n04060448 rebozo
n07860331 grenadine
n02775897 bailey_bridge
n02217563 chalcid_wasp
n11949402 chamomile
n04246271 smocking
n01979874 blue_crab
n03529175 home_room
n04149083 scoop
n03887512 paper_mill
n03350204 fishbowl
n12225563 australian_pine
n12496427 chicot
n01643896 crapaud
n04172776 sentry_box
n03162460 darkroom
n03143400 crystal_detector
n03900393 pave
n03658635 levee
n13862552 equilateral
n02856237 blunderbuss
n01560935 whinchat
n02426481 steenbok
n03512452 heliograph
n03669534 limekiln
n01909906 polyp
n04019881 pullback
n00141669 check_in
n03947888 pirate
n01528396 wagtail
n03166809 death_house
n11797321 aralia
n02600298 goatfish
n02007558 flamingo
n03947466 pipe_wrench
n07852833 camembert
n11676850 gynophore
n03327133 felucca
n03664159 life_support
n07895595 chianti
n03710528 mailer
n00470682 touch_football
n02905036 broiler
n03546235 housetop
n07696728 chicken_sandwich
n12727518 goat_willow
n02771547 backstop
n11676500 pistil
n07619881 tapioca
n02861387 bodice
n08673039 kampong
n03381450 force_pump
n04332580 straitjacket
n01558149 throstle
n02333546 brown_rat
n01834540 thornbill
n04275548 spider_web
n02086910 papillon
n12305654 green_ash
n04370288 sweatpants
n07936015 spring_water
n02735268 arch_support
n02038993 pratincole
n01884476 tasmanian_tiger
n03625539 knitting_machine
n03087245 diffusion_pump
n11674332 inflorescence
n01916481 sea_fan
n07616386 parfait
n09361517 mountainside
n03140292 crucifix
n07935737 bottled_water
n13084834 cultivar
n01798484 prairie_chicken
n11958080 cosmos
n02747802 ashtray
n11675025 rosebud
n02897097 bren_gun
n07924655 must
n03140771 cruise_missile
n12625383 cotoneaster
n02796318 barrette
n13901490 bolus
n02089232 dachshund
n03994614 powder_horn
n04292080 square_sail
n02470238 simian
n01461315 spawn
n04110068 rose_water
n03425413 petrol_pump
n02820556 bedford_cord
n01931520 pinworm
n07847917 light_cream
n01818515 macaw
n10334009 motorcyclist
n02099601 golden_retriever
n03495671 harpoon
n04141327 scabbard
n02817031 bearing
n02248887 soft_scale
n03505133 headrest
n00483848 pallone
n11624192 atlas_cedar
n03223299 doormat
n00448872 rollerblading
n02723165 antiperspirant
n04323519 stockinette
n02895008 breast_implant
n12294124 gentianella
n04570214 wedgwood
n02424589 lesser_kudu
n02109525 saint_bernard
n11944954 carduus_nutans
n04054670 rasp
n11619455 western_larch
n11690254 hypanthium
n02046939 black_guillemot
n04138261 satin
n00444937 snorkeling
n02990373 ceiling
n02771166 backstairs
n07585107 chicken_stock
n04364160 lightning_arrester
n12552893 restharrow
n00446980 archery
n04130907 salade
n13025647 yeast
n01756089 prairie_rattlesnake
n11646167 monkey_puzzle
n02532451 pacific_herring
n11811921 maltese_cross
n02686121 airbus
n01480106 placoderm
n01641739 green_frog
n06267655 gazette
n12218274 grevillea_robusta
n03699591 panga
n01497118 sawfish
n03437941 girder
n02356798 fox_squirrel
n05244934 macula
n03062985 coffee_can
n02522722 atlantic_cod
n03995661 power_loom
n03617312 kilt
n02709908 and_gate
n12477401 sisal
n11684654 mesocarp
n11963932 brittlebush
n09421951 sandbar
n02091635 otterhound
n03036244 city_university
n07844786 sour_milk
n02739889 armoured_car
n12051103 red_helleborine
n01876326 bandicoot
n03783873 monoplane
n07848196 whipping_cream
n01416213 zooid
n02456962 sloth
n03523506 hobble_skirt
n03688066 long_iron
n12606545 dayflower
n04307878 steakhouse
n02973236 cartwheel
n07760755 thompson_seedless
n01691217 legless_lizard
n02833040 bethel
n02982599 catch
n04381860 tabletop
n10421470 apothecary
n03788601 motel_room
n07785487 rollmops
n04131929 salver
n03784896 horseshoe_arch
n12870891 wild_thyme
n04335693 street_clothes
n02101556 clumber
n01315213 peeper
n02223266 termite
n07849619 raita
n03018209 china
n04213264 sickbed
n07857731 hummus
n02128598 leopardess
n11902709 argemone
n11830906 saltbush
n02111277 newfoundland
n02692232 drome
n01922717 parasitic_worm
n07936093 sugar_water
n03423224 gas_furnace
n03844550 oil_pump
n03236423 dredger
n03198500 dildo
n13050397 bracket_fungus
n04485884 triskelion
n07752264 victoria_plum
n04359500 supply_closet
n03239054 tailcoat
n02806762 bath_chair
n02767038 baby_powder
n11857696 portulaca
n01646388 bufo_marinus
n07643026 lemon_curd
n12513613 judas_tree
n07643679 grape_jelly
n02262449 mayfly
n03653740 lecture_room
n02048353 tufted_puffin
n02916179 dozer
n01576076 golden_oriole
n01951274 sea_hare
n10147710 grocer
n12057211 cypripedium_calceolus
n03522100 hipped_roof
n03815149 necklet
n02377388 gelding
n07837545 cream_sauce
n11939180 balsamroot
n15086247 linseed
n02655020 pufferfish
n04125257 deposit_box
n04097760 roaster
n03607659 kalashnikov
n01668892 river_cooter
n02416104 barbary_sheep
n03528523 home_computer
n04398951 tea_table
n03235979 dray
n04378489 tabard
n09270657 drumlin
n12849952 english_lavender
n03279508 electron_microscope
n03016209 chicane
n04385536 tailpipe
n13145040 vitis_labrusca
n03984643 porkpie
n12079963 pogonia
n03309687 eyeshadow
n11960245 dahlia
n03811965 naval_gun
n03062245 cocktail_shaker
n03395859 fresnel_lens
n05545879 foramen_magnum
n12074867 ophrys_apifera
n07687381 baguet
n03388183 fountain_pen
n02551134 halfbeak
n02513248 rough_fish
n03321954 fan_vaulting
n12281974 betula_papyrifera
n07617708 christmas_pudding
n04233715 slacks
n04247544 smoothbore
n02111129 leonberg
n02229765 mole_cricket
n07692517 bialy
n04224395 siren
n07825850 apple_sauce
n03997875 praetorium
n09877951 brother
n13908201 cleft
n04005197 priory
n11769621 allamanda
n04414199 terrarium
n01655344 caecilian
n05482922 subarachnoid_space
n02416964 nanny
n07614103 apple_dumpling
n02921756 burglar_alarm
n09618957 face
n02871314 bookmobile
n03218198 dog_sled
n12882779 foxglove
n02992368 cellophane
n03865557 flyover
n12278107 shumard_oak
n03711999 mainmast
n07904865 grog
n02770830 backseat
n12691661 gumbo_limbo
n12176953 upland_cotton
n04366367 suspension_bridge
n02276355 red_admiral
n04104770 romper
n02437312 dromedary
n08494231 funfair
n02186153 flea
n01484850 white_shark
n01978455 rock_crab
n01322983 bear_cub
n04503499 twinjet
n01581730 nutcracker
n07878647 stuffed_peppers
n02096585 boston_terrier
n12243693 fetterbush
n03770439 miniskirt
n04441662 tithe_barn
n01504179 fledgling
n07611046 compote
n03726516 spectrometer
n04181083 sgraffito
n02873623 boot_camp
n04036155 quoit
n02026629 surfbird
n12522678 indian_rosewood
n12973443 mucor
n03941231 pinata
n04561965 water_pump
n01734808 milk_snake
n13081999 dry_rot
n04115802 royal
n07864638 tetrazzini
n10634849 speedskater
n03089879 conference_room
n02477516 paranthropus
n03313333 frontal
n07865484 chow_mein
n02389261 pinto
n02195819 bee_fly
n07895839 merlot
n03004409 chambray
n09289596 glen
n01544389 zebra_finch
n03572631 inlay
n03801671 music_school
n02325722 eastern_cottontail
n10087434 fighter_pilot
n03436417 gift_shop
n02165105 tiger_beetle
n04562935 water_tower
n07804543 brown_rice
n03240892 drill_press
n03902220 pc_board
n08659242 coal_seam
n04075468 removable_disk
n02814116 bb_gun
n04192361 sheltered_workshop
n02341288 meadow_vole
n07624466 turnover
n03123917 cowbell
n12752205 maple
n03154895 cutwork
n12904938 boxthorn
n04270371 speakerphone
n02102480 sussex_spaniel
n07927931 dope
n04375405 rotary_converter
n12793015 saxifrage
n02797535 bascule
n03663433 life_office
n10655594 steward
n07887099 draft_beer
n03864139 overhand_knot
n05282652 diastema
n07600285 bubble_gum
n02590987 porgy
n04283585 spokeshave
n02356977 black_squirrel
n03190458 dibber
n12369309 hypericum_perforatum
n04179126 sewerage
n03488438 handset
n04261281 souk
n09230202 butte
n04392985 tape_player
n04445154 toga_virilis
n12183452 malope
n01554448 woodcreeper
n01998741 acorn_barnacle
n02522399 cod
n03454885 grater
n07854982 emmentaler
n01787006 sea_spider
n04001661 pwr
n03019806 chin_strap
n03529629 homestead
n03894677 parts_bin
n07867164 falafel
n03474896 haft
n07712959 nacho
n03309110 eyeliner
n03571625 inkpot
n07718671 gherkin
n02871525 bookshop
n02940385 call_centre
n03086580 concert_hall
n00450866 pony_trekking
n10151760 guitarist
n00447221 tobogganing
n12604460 rumex_acetosella
n01978287 dungeness_crab
n03655720 leisure_wear
n07605040 spun_sugar
n03764736 milk_can
n02709101 anastigmat
n13232779 honey_fungus
n02234355 american_cockroach
n03697552 lunchroom
n04059947 rearview_mirror
n04303357 tacker
n13198054 fiddlehead
n02303284 cecropia
n09452291 swale
n03889726 parasail
n12620546 rosehip
n04384593 tailgate
n03545470 houseboat
n03855214 organza
n01963571 mussel
n10721321 traffic_cop
n04533946 dvd
n07804900 paddy
n12743352 longan
n03733805 measuring_cup
n03844673 oil_refinery
n12957803 nardoo
n03029197 church_tower
n03356559 flamethrower
n04396335 taximeter
n07861158 bread_dough
n01856072 gosling
n02333909 rattus_rattus
n08652376 ski_resort
n12363301 dillenia
n02531625 menhaden
n11737534 pasque_flower
n13911045 node
n02344175 jird
n12045860 arethusa
n02596381 croaker
n02852360 blister_pack
n02965216 cargo_liner
n09415584 riverbank
n02044908 great_skua
n03653833 lederhosen
n03761084 microwave_oven
n03288742 cor_anglais
n13915113 tetrahedron
n05449196 osteocyte
n07835457 hollandaise
n02540412 smelt
n11882426 toothwort
n02730930 apron
n03652729 lean_to
n03983712 popper
n06273414 call_forwarding
n02839592 billiard_room
n04204081 shopping_bag
n04452615 toolbox
n01880716 bettong
n01927456 tapeworm
n02116738 lycaon_pictus
n07774295 hickory_nut
n02769748 knapsack
n02686379 air_conditioning
n03237212 dress_blues
n12705013 milkwort
n02411206 musk_ox
n09269341 down
n04126066 safety_bicycle
n02923682 machine_pistol
n04258859 soldering_iron
n03129753 credence
n13055577 boletus_edulis
n03914106 peplum
n04173046 septic_tank
n01704323 triceratops
n09915651 chess_master
n04245218 scsi
n02413593 hampshire
n12523475 jacaranda
n01928517 nemertean
n03323211 farmyard
n07896765 moselle
