n06281040 reception
n10560106 schoolmate
n10560106 classmate
n07605597 chocolate_fudge
n03343234 fipple
n02125010 sand_cat
n02948293 candlepin
n04219424 silk
n03907908 penalty_box
n03384167 fork
n07894102 beaujolais
n03703862 madras
n04541320 voltmeter
n02977936 gambling_casino
n02977936 casino
n07851767 cottage_cheese
n07851767 pot_cheese
n02981321 catalytic_converter
n02277268 viceroy
n12851469 motherwort
n11552806 annual
n11783920 anthurium
n04517211 uzi
n11650558 yellowwood
n01557962 mistle_thrush
n01365885 neisseria_gonorrhoeae
n07896287 dessert_wine
n13025647 yeast
n04561287 water_meter
n02993194 cenotaph
n02993194 empty_tomb
n07854707 string_cheese
n03710421 maildrop
n00449054 skateboarding
n01577941 crested_myna
n04233715 slacks
n02883101 bowstring
n02793684 barndoor
n03251280 dry_cell
n03429137 gatling_gun
n02409508 cape_buffalo
n12496427 chicot
n11769621 allamanda
n03097673 control_key
n03288742 cor_anglais
n03288742 english_horn
n12584191 areca
n11618525 torrey_pine
n02683558 afterburner
n02046939 black_guillemot
n03407865 fusee
n14942411 lodestone
n14942411 loadstone
n02988156 cd_drive
n01852400 mandarin_duck
n05604434 abdominal_wall
n06278475 hdtv
n01380754 pneumococcus
n03610418 keg
n01949499 keyhole_limpet
n03600285 riding_breeches
n03600285 jodhpurs
n07862348 spareribs
n04294614 stabilizer_bar
n13150378 cubeb
n04244379 penstock
n04244379 sluice
n13077295 mildew
n03981566 pontoon
n03137579 crosspiece
n03643737 laser_printer
n01992773 amphipod
n04034367 quilting
n07815956 white_pepper
n02424909 nyala
n03607659 kalashnikov
n07911061 ratafia
n03814817 neckerchief
n03483823 pocket_calculator
n04318787 stile
n07936093 sugar_water
n11949402 chamomile
n11949402 camomile
n04479287 trench_knife
n02557182 yellow_perch
n02061217 stormy_petrel
n03221351 dongle
n15086247 linseed
n15086247 flaxseed
n02413050 black_sheep
n07815839 black_pepper
n03615790 khukuri
n04313628 stela
n04313628 stele
n04225987 skateboard
n03430418 gazebo
n03430418 summerhouse
n07868830 galantine
n01794158 turkey
n01794158 meleagris_gallopavo
n01698782 chinese_alligator
n04237423 slicer
n03617594 picture_tube
n03617594 kinescope
n03228533 douche
n04559620 water_filter
n01668892 river_cooter
n01668892 cooter
n01843719 toucanet
n04346428 pigsty
n04346428 sty
n04346428 pigpen
n04542595 vox_humana
n04519153 valve
n02776505 baize
n02816656 beanbag
n09466678 uphill
n02710201 mechanical_man
n02710201 android
n02710201 humanoid
n02758863 autobahn
n03609959 keelson
n04045255 radome
n04045255 radar_dome
n03695452 luff
n12477401 sisal
n04053508 range_finder
n04053508 rangefinder
n12133682 bluestem
n04967801 sage_green
n09403086 rabbit_hole
n12282737 betula_pubescens
n12282737 downy_birch
n12282737 white_birch
n07741804 winesap
n12908093 nicotiana_rustica
n12908093 wild_tobacco
n07854455 quark
n04255899 soddy
n04255899 sod_house
n04255899 adobe_house
n03279508 electron_microscope
n01573240 eastern_meadowlark
n03437941 girder
n12112008 grama
n12112008 gramma
n11882237 coralroot
n04284438 spork
n11628087 western_hemlock
n11628087 tsuga_heterophylla
n02540412 smelt
n12138248 kaoliang
n11791569 pistia
n04389430 tankard
n04506289 uke
n04506289 ukulele
n02947977 candid_camera
n02125081 felis_silvestris
n02125081 european_wildcat
n11616852 pinus_virginiana
n11616852 jersey_pine
n11616852 virginia_pine
n01912152 hydra
n11552133 cryptogam
n04132985 samovar
n03999160 presbytery
n02414209 longwool
n03013006 chemical_reactor
n02987379 slouch_hat
n03028596 church_bell
n02962061 carboy
n03561573 imaret
n11687789 microspore
n11615607 jack_pine
n03347617 fire_tower
n02859955 boatyard
n13124358 saprobe
n12782915 dionaea_muscipula
n03036022 city_hall
n15091669 pyridoxal
n15091669 vitamin_b6
n15091669 pyridoxine
n15091669 pyridoxamine
n03886053 panzer
n03912821 penthouse
n02854378 blockhouse
n02572196 cardinalfish
n07708124 julienne
n09269882 draw
n03767459 mimeograph
n03767459 mimeograph_machine
n03767459 mimeo
n03524976 hogshead
n03272239 electric_fire
n03272239 electric_heater
n02794474 barouche
n04255163 socket
n05262698 walrus_moustache
n12048928 calanthe
n01622959 tawny_owl
n01971620 loligo
n03415252 gamp
n03415252 brolly
n04533802 videocassette_recorder
n04533802 vcr
n03141455 crupper
n04469514 trampoline
n03129001 creamer
n04201064 shofar
n02327842 snowshoe_hare
n12522894 dalbergia_sissoo
n12522894 sissoo
n02129837 bengal_tiger
n12480456 tuberose
n08580944 half_mast
n03365231 floatplane
n04057215 razorblade
n01986806 shrimp
n04253168 snuffer
n03461988 groover
n02742753 arrow
n15089803 vitamin_a
n07879953 tempura
n01959492 giant_clam
n01959492 tridacna_gigas
n04038338 single_shell
n07688757 dodger
n02843276 birdcage
n07879450 sushi
n12823859 bindweed
n12403994 paper_mulberry
n03072201 colour_television
n03072201 color_tv
n03072201 colour_tv
n03072201 color_television
n01673282 tuatara
n03950647 pitch_pipe
n04208760 showboat
n04200537 shoehorn
n03842585 cyma_reversa
n03842585 ogee
n03592931 jammer
n07768068 bosc
n02585872 cichlid_fish
n02585872 cichlid
n02925385 bush_jacket
n03482523 hand
n11631854 cupressus_arizonica
n04094060 ripcord
n04364994 surplice
n04320598 stink_bomb
n07741138 macoun
n13065089 puccinia_graminis
n13065089 wheat_rust
n04100519 rodeo
n04105704 roofing
n03684489 lockring
n11690254 hypanthium
n11690254 calyx_tube
n11690254 floral_cup
n02157206 hexapod
n04226826 skeleton_key
n12718995 quassia
n10092794 first_lady
n07901355 marsala
n02447021 spotted_skunk
n02678897 adapter
n02678897 adaptor
n13027557 aspergillus_fumigatus
n03981760 floating_bridge
n03981760 pontoon_bridge
n08659861 oilfield
n04224543 sister_ship
n09217230 beach
n02245111 firebug
n12564083 winged_bean
n02365480 capybara
n03652729 lean_to
n03374649 flywheel
n13205058 nephrolepis_exaltata
n15091129 aneurin
n15091129 thiamin
n15091129 thiamine
n15091129 vitamin_b1
n02964295 car_ferry
n01606522 goshawk
n06596474 news_magazine
n12463743 bog_asphodel
n02682311 adze
n02682311 adz
n07874259 cheese_pizza
n11622184 fraser_fir
n00478262 soccer
n00478262 association_football
n09398677 precipice
n07918879 toddy
n02390738 kiang
n01549886 phoebe
n04331443 straightedge
n12508309 milk_vetch
n09454412 tangle
n12327022 water_milfoil
n07900616 madeira
n02062744 whale
n01462544 gastrula
n09327077 kopje
n03906463 pelham
n01407798 green_algae
n01322508 wolf_cub
n12138444 milo
n01534155 bullfinch
n07616046 frozen_yogurt
n11690455 petal
n11690455 flower_petal
n04514241 uplift
n03871524 packaging
n03660124 levis
n02687821 hangar
n13102775 tendril
n07607492 life_saver
n04459018 toupee
n04239333 sliding_window
n03426574 gas_turbine
n03595264 jerkin
n02916179 dozer
n02916179 bulldozer
n02390258 hinny
n12286826 hornbeam
n03135532 cross
n12105353 crested_wheatgrass
n12409840 sugarberry
n03005147 chancery
n09289331 glacier
n10707233 therapist
n10707233 healer
n15092751 naphthoquinone
n15092751 vitamin_k
n01836087 whippoorwill
n13108545 shade_tree
n02522637 codling
n01500854 devil_ray
n01623880 spotted_owl
n01623880 strix_occidentalis
n02679257 adding_machine
n02676938 acropolis
n04061681 reception_desk
n01876326 bandicoot
n12413165 iris_cristata
n15091846 folic_acid
n15091846 folate
n03194297 differential_gear
n03194297 differential
n12753762 striped_maple
n02378870 prancer
n04325208 stockyard
n02689144 airframe
n03290195 entablature
n04282872 split_rail
n01612275 merlin
n01612275 falco_columbarius
n04063154 record_changer
n04063154 changer
n04354487 sump_pump
n03145277 cuddy
n01632308 mole_salamander
n12988158 lecanora
n03676759 lcd
n07924834 orange_juice
n02878107 bottling_plant
n01665932 snapping_turtle
n12757816 american_holly
n03005285 pendant
n03005285 pendent
n03005285 chandelier
n12324056 combretum
n01858281 coscoroba
n09384106 pallasite
n01323355 sire
n11760785 calliandra
n04533946 dvd
n04533946 videodisc
n02036711 avocet
n03874487 paddock
n07928790 pepsi_cola
n07928790 pepsi
n04589593 window_frame
n03536122 horizontal_stabiliser
n03536122 tailplane
n03536122 horizontal_stabilizer
n12128490 knotgrass
n02072040 river_dolphin
n04591517 wind_turbine
n07591162 oyster_stew
n04067818 refectory
n03966976 pliers
n02797535 bascule
n02016956 purple_gallinule
n02956393 capital_ship
n04016846 psaltery
n02922798 burlap
n02922798 gunny
n01449374 mosquitofish
n11617878 knobcone_pine
n03146687 cullis
n03894677 parts_bin
n03426134 petrol_tank
n03426134 gas_tank
n03426134 gasoline_tank
n03560860 ignition_coil
n10151760 guitarist
n10151760 guitar_player
n03844550 oil_pump
n02739427 armlet
n02739427 arm_band
n02849885 blast_furnace
n03445326 gold_plate
n04059947 rearview_mirror
n08644045 harborage
n04969952 purplish_blue
n04969952 royal_blue
n04370774 sweats
n04282494 splint
n13137225 syconium
n09259025 crag
n02236241 praying_mantis
n03423479 gas_heater
n04261638 sound_camera
n05258051 forelock
n03688605 long_pants
n03688605 long_trousers
n02380745 bronco
n02380745 bronc
n02380745 broncho
n03001115 chain_store
n02227247 locusta_migratoria
n02227247 migratory_locust
n03191451 dicer
n01533651 serin
n02308735 fall_webworm
n03268790 electric_automobile
n03268790 electric
n03268790 electric_car
n11542137 sphagnum
n11542137 peat_moss
n11542137 sphagnum_moss
n11542137 bog_moss
n01579410 rook
n03632100 lacrosse_ball
n04213264 sickbed
n03696301 roof_rack
n03696301 luggage_rack
n04599124 woofer
n11853356 christmas_cactus
n04559994 water_hazard
n13880551 right_triangle
n04518764 valise
n07591586 bouillabaisse
n02211627 mason_bee
n02739889 armoured_car
n02739889 armored_car
n03158668 dado
n04439712 tinfoil
n04439712 tin_foil
n09450163 sun
n11793403 malanga
n01632601 tiger_salamander
n07851926 processed_cheese
n11984542 inula
n12907857 nicotiana_tabacum
n12122725 yorkshire_fog
n01943087 ormer
n07768230 bartlett
n02563648 pumpkinseed
n12284821 alnus_glutinosa
n03196990 dsl
n02840515 bindery
n07721018 green_pepper
n03582959 inverter
n12708941 bergamot_orange
n12708941 bergamot
n01581730 nutcracker
n04597309 woodcarving
n03647423 launch
n04219185 silex
n04158250 scythe
n07726525 mushy_peas
n01796019 blackcock
n03435593 geodesic_dome
n03250588 sander
n03250588 smoother
n03716887 mandola
n02895328 breast_pocket
n02825872 bell_foundry
n03711044 mail_train
n03343047 fin_keel
n07837545 cream_sauce
n03815149 necklet
n02694045 aisle
n01530439 chaffinch
n02075612 omnivore
n10227266 junior
n03617312 kilt
n08517676 bus_stop
n04549721 wankel_engine
n01842235 barbet
n03212406 distaff
n00451635 motorcycling
n00450070 horse_racing
n11626152 picea_sitchensis
n11626152 sitka_spruce
n04230603 ski_pole
n07864638 tetrazzini
n07624466 turnover
n02836607 bifocals
n07931612 white_russian
n09376198 ocean
n12949361 kapuka
n07921615 hard_cider
n02519340 pout
n02172518 scarab
n02172518 scarabaeus
n03560430 igloo
n02627532 yellowfin_tuna
n02627532 yellowfin
n04979002 warning_coloration
n04979002 aposematic_coloration
n02843029 birchbark
n02843029 birch_bark
n13238375 stapelia
n07913644 bullshot
n00446980 archery
n03522003 hippodrome
n03353951 fixative
n07567980 kibble
n04532504 sacristy
n04532504 vestry
n02863536 bofors_gun
n03572321 inkwell
n12344283 evening_primrose
n03204436 dipstick
n02195819 bee_fly
n11603835 macrozamia
n00480366 jai_alai
n00480366 pelota
n01495701 ray
n01586941 mockingbird
n01586941 mocker
n13882276 hexagon
n04267246 spandrel
n02338722 cotton_rat
n07812184 spice
n11682659 gemma
n07727252 pinto_bean
n12199790 brown_oak
n12199790 booyong
n03842986 ohmmeter
n12752205 maple
n02763604 volary
n02763604 aviary
n02763604 bird_sanctuary
n04141198 saxhorn
n12385566 mignonette
n04364160 lightning_arrester
n04561965 water_pump
n01938454 hirudo_medicinalis
n03516996 superheterodyne_receiver
n07877675 steak_tartare
n02070776 vaquita
n02889996 brake_cylinder
n02889996 master_cylinder
n07927931 dope
n13155305 involucre
n07601290 orange_peel
n12402840 rubber_plant
n01533000 purple_finch
n03629100 kurdistan
n03300443 ethernet_cable
n04973585 brick_red
n02003577 openbill
n04976952 skin_color
n04976952 skin_colour
n04976952 complexion
n01668665 slider
n07894799 chardonnay
n02979399 cassette_tape
n04307878 steakhouse
n04307878 chophouse
n01856072 gosling
n02987950 c_battery
n13055577 boletus_edulis
n12472024 clintonia
n02685995 airbrush
n04497570 tunic
n01928517 nemertean
n03443543 godown
n12727518 goat_willow
n04950952 wood_grain
n04950952 woodgrain
n12120347 teff
n04356925 solarium
n04356925 sun_porch
n04356925 sunroom
n02312912 imago
n02513727 parr
n08558770 sheikhdom
n02124313 abyssinian
n03823312 nicad
n03119396 coupe
n02282903 hairstreak
n12585629 borassus_flabellifer
n12585629 lontar
n12585629 palmyra
n12585629 palmyra_palm
n07800740 fodder
n00451563 bicycling
n02425228 bushbuck
n01322604 puppy
n07628068 phyllo
n07852302 roquefort
n01995514 fairy_shrimp
n01999767 peripatus
n01999767 velvet_worm
n03423877 gas_lamp
n07762740 ackee
n07842753 omelette
n07842753 omelet
n02601767 striped_mullet
n02844214 bistro
n02028727 pectoral_sandpiper
n09475179 watercourse
n10735984 umpire
n10735984 ump
n02630281 sailfish
n03693860 lowboy
n02072493 narwal
n02072493 narwhal
n04070964 refrigerator_car
n04610013 yacht
n04610013 racing_yacht
n03779884 moldboard
n01643896 crapaud
n03517899 high_altar
n02045596 auklet
n03604156 jukebox
n03604156 nickelodeon
n07613266 tiramisu
n12279772 quercus_virginiana
n12599874 psyllium
n04259468 sabaton
n07601572 candy_cane
n07880325 rarebit
n07880325 welsh_rarebit
n07608866 praline
n03782794 monkey_wrench
n03423306 gas_gun
n03109253 corncrib
n02191273 glossina
n02191273 tsetse_fly
n02191273 tsetse
n07892418 vintage
n12524188 blackwood
n02203152 midge
n02469248 scapular
n01823013 cuckoo
n02963987 cardroom
n02663211 turbot
n04605572 wraparound
n02166229 bean_beetle
n04499062 tureen
n02379430 walking_horse
n04252331 snowshoe
n03052917 clout
n03382856 foremast
n02566665 yellow_bass
n04443766 toby_jug
n12866162 clary
n04036776 rebate
n04036776 rabbet
n03467796 guitar_pick
n12119238 wild_rye
n07684164 matzah
n07684164 unleavened_bread
n07684164 matzo
n07585557 chicken_soup
n12519563 crotalaria
n03522100 hipped_roof
n03522100 hip_roof
n12498055 palo_verde
n12843557 lesser_calamint
n02964843 cargo_container
n02881906 bowline
n13081999 dry_rot
n04579230 whispering_gallery
n04126852 safety_lamp
n02450677 beech_marten
n14975598 papyrus
n03736064 meat_grinder
n04099003 rocker_arm
n01625562 barn_owl
n02901114 briefs
n04146862 school_ship
n04146862 training_ship
n03996004 power_pack
n07900958 sherry
n03970546 plush
n12915140 lantana
n12754781 norway_maple
n04171208 semaphore
n02786837 band_saw
n02786837 bandsaw
n03332271 violin_bow
n01623706 scops_owl
n04156946 scull
n03253279 duckpin
n07697699 sloppy_joe
n01504179 fledgling
n01504179 fledgeling
n09279986 fireball
n07861247 pancake_batter
n01397690 arame
n03027505 chuck_wagon
n04262530 sounding_rocket
n03505667 headset
n03824999 nightshirt
n12584715 sugar_palm
n11794519 duckweed
n11759609 siris
n04075813 rep
n04075813 repp
n12882779 foxglove
n12882779 digitalis
n03947798 pique
n07713074 aubergine
n07713074 eggplant
n04270371 speakerphone
n03724623 seven_iron
n03249342 drugstore
n03249342 pharmacy
n02069974 tursiops_truncatus
n12485653 buddleia
n08645104 scrubland
n03561169 ignition_switch
n03574243 instep
n01997825 ostracod
n04371979 swing_door
n12225563 australian_pine
n01841943 piculet
n03567788 indiaman
n01714231 allosaurus
n04386051 tailstock
n03090172 confessional
n07838811 mushroom_sauce
n04016240 lopper
n04016240 pruner
n03767203 mill_wheel
n02190790 musca_domestica
n02190790 house_fly
n02190790 housefly
n07766723 marang
n04164868 secretary
n04164868 secretaire
n04164868 writing_table
n07624757 knish
n02172870 june_bug
n12316444 liquidambar
n02311748 leptocephalus
n04601938 workpiece
n11619227 tamarack
n04584056 wiffle_ball
n04584056 wiffle
n09269341 down
n03508881 heating_pad
n01756508 western_diamondback
n08685188 zodiac
n10562135 scorer
n10562135 scorekeeper
n02387254 dobbin
n02387254 farm_horse
n04046277 raglan
n12761905 terebinth
n12761905 pistacia_terebinthus
n04114428 roundhouse
n02486908 mandrill
n04457767 torque_converter
n10304914 medalist
n10304914 medallist
n10304914 medal_winner
n03543112 hot_pants
n04095577 riveter
n04095577 riveting_machine
n07806043 cat_food
n06618653 spaghetti_western
n01752585 vipera_berus
n01752585 adder
n12064389 fragrant_orchid
n12872458 bladderwort
n04349401 subwoofer
n03102859 cooling_system
n03102859 cooling
n09270735 sand_dune
n09270735 dune
n04503499 twinjet
n11757190 catechu
n02408817 carabao
n07870167 lasagna
n07870167 lasagne
n11830906 saltbush
n12625383 cotoneaster
n03206718 disguise
n04962062 silver_grey
n04962062 silver_gray
n04962062 ash_gray
n04962062 silver
n04075468 removable_disk
n03652389 leaf_spring
n02251593 citrus_mealybug
n11978713 helianthus_annuus
n11978713 mirasol
n03911658 penknife
n03837606 oast
n03914106 peplum
n15090065 retinol
n10772092 weather_forecaster
n10772092 weatherman
n04365112 surrey
n02221083 fire_ant
n02961035 caravansary
n02961035 khan
n02961035 caravanserai
n03541393 hospital_train
n03342127 finger_painting
n07891309 ginger_beer
n13003061 amanita_muscaria
n13003061 fly_agaric
n02799323 baseball_cap
n02769669 backlighting
n02059852 giant_petrel
n03306869 extension
n02310717 woolly_bear
n02431628 sambar
n12968136 sclerotinia
n04401828 telephone_cord
n03055857 carriage_house
n03055857 coach_house
n03055857 remise
n02442336 stoat
n07775197 sunflower_seed
n03844233 oil_paint
n04246271 smocking
n03128427 crazy_quilt
n04279063 spinning_jenny
n13035707 helvella
n09400987 pulsar
n04292572 squawk_box
n09618957 face
n03360133 flat_arch
n02253127 greenfly
n02921756 burglar_alarm
n04155457 scribe
n04155457 scriber
n07843636 fried_egg
n02697221 a_line
n04305210 statehouse
n03678879 live_axle
n03678879 driving_axle
n01633781 giant_salamander
n03390327 daisy_cutter
n04069166 reflectometer
n04439585 tine
n03939844 pilot_light
n03795976 movie_projector
n03795976 film_projector
n12606545 dayflower
n12606545 spiderwort
n01439514 carp
n03359436 flash_memory
n01593553 verdin
n11617090 monterey_pine
n11617090 pinus_radiata
n02725872 anvil
n02420828 gerenuk
n03506184 headstock
n02381261 dun
n02680638 adjoining_room
n03293741 equaliser
n03293741 equalizer
n11931540 artemisia_vulgaris
n11943407 calendula
n12986227 tooth_fungus
n02922578 burka
n02922578 burqa
n12590232 oil_palm
n02564720 black_bass
n12592058 nipa_palm
n01315213 peeper
n10655594 steward
n10655594 flight_attendant
n04475309 trap_door
n04087709 ribbed_vault
n15093298 vitamin_c
n15093298 ascorbic_acid
n04492157 trunk_line
n04266968 spaghetti_junction
n03205458 dirk
n04341288 strop
n02822762 beefcake
n07711080 fries
n07711080 chips
n07711080 french_fries
n11775340 rauvolfia
n11838916 bougainvillea
n11879722 brassica_napus
n11879722 colza
n01751472 taipan
n03824713 night_light
n02406647 charolais
n01818832 kea
n12475774 pia
n03688405 long_sleeve
n03125588 crackle
n04003359 prince_albert
n02382039 cayuse
n12377198 dipterocarp
n03885904 pantyhose
n02877642 bottlebrush
n07808587 slaw
n07808587 coleslaw
n01670535 testudo_graeca
n12245319 azalea
n07690585 yorkshire_pudding
n02344528 lemming
n01569060 blackburn
n03105645 corbel_arch
n12278650 cork_oak
n12278650 quercus_suber
n04574348 whaleboat
n12506991 anthyllis_vulneraria
n12506991 kidney_vetch
n07853232 cheshire_cheese
n02413484 cotswold
n03545470 houseboat
n09436444 ski_slope
n02813981 b_battery
n02146201 red_bat
n04164406 second_base
n03329663 ferryboat
n03329663 ferry
n03796522 mud_brick
n04229737 ski_lodge
n04438643 time_switch
n02221414 wood_ant
n03732458 maxi
n01855476 hooded_merganser
n02023855 piping_plover
n12700088 honduras_mahogany
n01884476 tasmanian_tiger
n01884476 thylacine
n03999064 prefab
n02124623 wildcat
n03152951 cutaway
n02735268 arch_support
n07568241 farina
n12704041 oka
n12704041 oca
n03758992 microbrewery
n12387103 halophyte
n03109033 corker
n02389779 burro
n13078021 verticillium
n04579056 whiskey_bottle
n04184880 sharkskin
n02900160 bridle
n02823510 beer_can
n07860447 maple_syrup
n03316105 facsimile_machine
n03316105 facsimile
n03316105 fax
n02150482 vampire_bat
n11612575 pinus_longaeva
n04208065 shoulder_patch
n11924445 burdock
n05239437 skin_graft
n03571280 inhaler
n01553142 antbird
n01613807 eaglet
n07865484 chow_mein
n01579729 chough
n02034129 godwit
n06274092 long_distance
n13862407 leaf_form
n13862407 leaf_shape
n03683457 lockage
n11733312 larkspur
n04331639 straightener
n04054670 rasp
n13108481 sapling
n00448126 professional_wrestling
n02376679 filly
n04124098 saddlebag
n01620135 california_condor
n02432291 whitetail_deer
n02432291 whitetail
n02432291 white_tail
n02432291 odocoileus_virginianus
n04370955 sweep
n01849157 pintail
n02397744 collared_peccary
n02397744 javelina
n02389261 pinto
n02378755 steed
n04970312 tyrian_purple
n03193597 diesel_locomotive
n02829596 bench_press
n01643507 robber_frog
n07855105 gruyere
n02381609 tarpan
n02846511 blackboard
n02846511 chalkboard
n02545841 opah
n02315487 brachiopod
n04185804 electric_razor
n04185804 electric_shaver
n04185804 shaver
n02115096 jackal
n07896661 macon
n12091550 oxlip
n01786646 millipede
n02520147 mudcat
n02520147 flathead_catfish
n02520147 goujon
n03742019 medicine_ball
n12589687 latanier
n02426481 steenbok
n07909954 curacao
n07909954 curacoa
n03168217 beach_chair
n04603729 work_table
n04357930 supercharger
n12365158 maria
n04244847 smack
n01411450 chlorella
n04409911 tenon
n02210427 mining_bee
n02210427 andrena
n07822197 tomato_ketchup
n07822197 catsup
n07822197 ketchup
n02786611 bandolier
n04217546 signal_box
n07574780 continental_breakfast
n03899933 patisserie
n07906718 bourbon
n04538249 viscometer
n07910048 triple_sec
n11910271 bleeding_heart
n07926540 malted_milk
n12056217 slipper_orchid
n02524202 pollack
n02524202 pollock
n12338146 spotted_gum
n03632852 ladder_truck
n04172904 separate
n07749870 key_lime
n01636127 lungless_salamander
n01667432 musk_turtle
n07874441 sicilian_pizza
n02338145 musquash
n02338145 muskrat
n02407276 galloway
n07643679 grape_jelly
n01351315 spirillum
n07836077 brown_sauce
n07922955 criollo
n03304197 exocet
n12934036 astrantia
n12677612 snowberry
n04347119 subcompact_car
n04347119 subcompact
n03238879 dress_shirt
n04441093 tire_iron
n07711232 home_fries
n02379743 appaloosa
n03015478 chest_protector
n08583292 hemline
n04422409 fusion_reactor
n07820497 sage
n03946162 pipe_fitting
n04198233 shirting
n04431745 pushpin
n04431745 thumbtack
n04005197 priory
n07904934 ouzo
n02992795 scotch_tape
n07915918 margarita
n13908201 cleft
n03033267 circlet
n11970586 gaillardia
n12819728 echium_vulgare
n12819728 blue_devil
n07727458 black_bean
n13897198 ellipsoid
n04395024 tarp
n04395024 tarpaulin
n11753355 trifolium_pratense
n11753355 red_clover
n02324514 lapin
n01748686 spitting_cobra
n03313333 frontal
n03313333 facade
n03313333 frontage
n01857325 brent
n01857325 brent_goose
n01857325 brant_goose
n01857325 brant
n02828299 belt_buckle
n12934479 caraway
n03307792 external_drive
n03859608 outfall
n02756854 audio_amplifier
n03401721 fuel_system
n02864122 bwr
n01453087 john_dory
n07617051 frozen_custard
n02437482 bactrian_camel
n06883725 swastika
n03395859 fresnel_lens
n02024479 golden_plover
n13866626 convex_polygon
n11603246 encephalartos
n04450640 toner
n03460899 gristmill
n02652132 butterflyfish
n02493224 uakari
n01964271 mytilus_edulis
n02501583 tarsier
n03637181 lamppost
n01487506 sand_tiger
n01487506 sand_shark
n04533700 videocassette
n04213530 sickroom
n01972541 cuttle
n01972541 cuttlefish
n04378956 tabi
n12831535 columnea
n03098959 control_tower
n11770256 alstonia_scholaris
n11770256 dita
n07586894 vegetable_soup
n07586894 minestrone
n04602762 workroom
n03202354 dinner_table
n01339083 hs1
n07924366 apple_juice
n03367321 flophouse
n01672611 smooth_softshell
n01855188 smew
n03294604 eprom
n03142431 crypt
n04586072 shelterbelt
n04586072 windbreak
n13025854 saccharomyces_cerevisiae
n07902799 akvavit
n07902799 aquavit
n02122430 mouser
n02925519 business_suit
n03600475 jodhpur
n03319457 false_face
n03776997 mock_up
n11859472 spring_beauty
n07721195 pimento
n07721195 pimiento
n03981340 pontifical
n07740461 red_delicious
n03318136 fairlead
n11849871 mammillaria
n03239607 drift_net
n04427559 3d_radar
n03201638 evening_gown
n03201638 dinner_dress
n03201638 formal
n02047045 pigeon_guillemot
n07686634 simnel
n04173907 serape
n07765208 elderberry
n07816296 bay_leaf
n02814428 beach_towel
n12513613 judas_tree
n02795670 barrelhouse
n02971167 rubber_tire
n02971167 automobile_tire
n02971167 car_tire
n03343560 fire
n03539103 horseless_carriage
n03289985 ensemble
n04525191 velveteen
n12762896 sumac
n12762896 sumach
n12024445 common_dandelion
n12024445 taraxacum_officinale
n04413969 terraced_house
n01847806 mallard
n01847806 anas_platyrhynchos
n03767745 minaret
n01559477 hermit_thrush
n02857477 boarding_house
n02857477 boardinghouse
n12823717 convolvulus
n03998333 tallis
n02418770 goral
n02988679 cd_rom
n04096733 roadbed
n01947396 whelk
n04539794 voile
n03180865 detached_house
n03180865 single_dwelling
n12721477 palo_santo
n04207151 shoulder
n03260504 dynamo
n03533014 chicha
n03533014 hookah
n03533014 kalian
n03533014 narghile
n03533014 shisha
n03533014 water_pipe
n03227010 double_glazing
n02778294 baldric
n02778294 baldrick
n12980840 downy_mildew
n04495698 tudung
n04397452 teacup
n04165409 sectional
n07564796 pap
n02969323 carriageway
n01559804 wood_thrush
n03603594 junk
n03492922 tin_hat
n03492922 hard_hat
n02775689 bailey
n12305089 black_ash
n04383839 taffeta
n02793842 barn_door
n04065789 recycling_bin
n07582441 relish
n07763987 mangosteen
n12469517 herb_paris
n03997875 praetorium
n03512030 helicon
n03185868 dewar
n09428628 seaboard
n09428628 seaside
n03256631 dunce_cap
n04036303 qwerty_keyboard
n07918706 swizzle
n12012111 ragwort
n03104512 copperware
n00466630 match_play
n03147280 culvert
n13032923 verpa
n04261116 sorter
n04206570 shotgun_shell
n02921592 burette
n02407071 durham
n02407071 shorthorn
n01579149 american_crow
n01394492 arcella
n12103894 shortgrass
n02983904 cathedra
n02104184 attack_dog
n02631628 striped_marlin
n03381231 forceps
n03177708 depressor
n01717467 velociraptor
n04299963 stamp
n03696445 lugger
n02895008 breast_implant
n02784124 banana_boat
n03176594 deodorant
n03115180 cotton
n02285179 codling_moth
n04542715 waders
n07928367 ginger_ale
n03416900 garbage
n04502059 turret_clock
n03216710 paper_cup
n02802544 basketball_court
n03498441 hatbox
n03917048 periscope
n03899100 paternoster
n03474896 haft
n03657239 iol
n02491107 tamarin
n01583495 currawong
n02122510 alley_cat
n04524594 velcro
n13154494 frond
n02803666 bass_drum
n07739923 baldwin
n07931280 wassail
n02324850 oryctolagus_cuniculus
n02324850 european_rabbit
n00449517 car_racing
n00449517 auto_racing
n12278107 shumard_oak
n04114069 roundel
n02361587 woodchuck
n02361587 groundhog
n07605040 spun_sugar
n07605040 candyfloss
n07605040 cotton_candy
n06417096 breviary
n04514648 upper
n00483205 professional_tennis
n03744684 memory_chip
n07693048 cinnamon_roll
n13219422 horsetail
n03348868 firing_chamber
n11602478 ceratozamia
n02060569 manx_shearwater
n04398951 tea_table
n11797321 aralia
n03713069 main_yard
n03829857 norfolk_jacket
n02380052 lipizzan
n04084889 revers
n04084889 revere
n02396088 sow
n12305654 green_ash
n02184720 cootie
n02184720 body_louse
n13238988 stephanotis
n12726528 arctic_willow
n12624568 japonica
n07577918 tea_break
n07577918 coffee_break
n02811936 battlement
n02811936 crenellation
