n06281040 reception
n10560106 schoolmate
n10560106 classmate
n07605597 chocolate_fudge
n03343234 fipple
n02125010 sand_cat
n02948293 candlepin
n04219424 silk
n03907908 penalty_box
n03384167 fork
n07894102 beaujolais
n03703862 madras
n04541320 voltmeter
n02977936 gambling_casino
n02977936 casino
n07851767 cottage_cheese
n07851767 pot_cheese
n02981321 catalytic_converter
n02277268 viceroy
n12851469 motherwort
n11552806 annual
n11783920 anthurium
n04517211 uzi
n11650558 yellowwood
n01557962 mistle_thrush
n01365885 neisseria_gonorrhoeae
n07896287 dessert_wine
n13025647 yeast
n04561287 water_meter
n02993194 cenotaph
n02993194 empty_tomb
n07854707 string_cheese
n03710421 maildrop
n00449054 skateboarding
n01577941 crested_myna
n04233715 slacks
n02883101 bowstring
n02793684 barndoor
n03251280 dry_cell
n03429137 gatling_gun
n02409508 cape_buffalo
n12496427 chicot
n11769621 allamanda
n03097673 control_key
n03288742 cor_anglais
n03288742 english_horn
n12584191 areca
n11618525 torrey_pine
n02683558 afterburner
n02046939 black_guillemot
n03407865 fusee
n14942411 lodestone
n14942411 loadstone
n02988156 cd_drive
n01852400 mandarin_duck
n05604434 abdominal_wall
n06278475 hdtv
n01380754 pneumococcus
n03610418 keg
n01949499 keyhole_limpet
n03600285 riding_breeches
n03600285 jodhpurs
n07862348 spareribs
n04294614 stabilizer_bar
n13150378 cubeb
n04244379 penstock
n04244379 sluice
n13077295 mildew
n03981566 pontoon
n03137579 crosspiece
n03643737 laser_printer
n01992773 amphipod
n04034367 quilting
n07815956 white_pepper
n02424909 nyala
n03607659 kalashnikov
n07911061 ratafia
n03814817 neckerchief
n03483823 pocket_calculator
n04318787 stile
n07936093 sugar_water
n11949402 chamomile
n11949402 camomile
n04479287 trench_knife
n02557182 yellow_perch
n02061217 stormy_petrel
n03221351 dongle
n15086247 linseed
n15086247 flaxseed
n02413050 black_sheep
n07815839 black_pepper
n03615790 khukuri
n04313628 stela
n04313628 stele
n04225987 skateboard
n03430418 gazebo
n03430418 summerhouse
n07868830 galantine
n01794158 turkey
n01794158 meleagris_gallopavo
n01698782 chinese_alligator
n04237423 slicer
n03617594 picture_tube
n03617594 kinescope
n03228533 douche
n04559620 water_filter
n01668892 river_cooter
n01668892 cooter
n01843719 toucanet
n04346428 pigsty
n04346428 sty
n04346428 pigpen
n04542595 vox_humana
n04519153 valve
n02776505 baize
n02816656 beanbag
n09466678 uphill
n02710201 mechanical_man
n02710201 android
n02710201 humanoid
n02758863 autobahn
n03609959 keelson
n04045255 radome
n04045255 radar_dome
n03695452 luff
n12477401 sisal
n04053508 range_finder
n04053508 rangefinder
n12133682 bluestem
n04967801 sage_green
n09403086 rabbit_hole
n12282737 betula_pubescens
n12282737 downy_birch
n12282737 white_birch
n07741804 winesap
n12908093 nicotiana_rustica
n12908093 wild_tobacco
n07854455 quark
n04255899 soddy
n04255899 sod_house
n04255899 adobe_house
n03279508 electron_microscope
n01573240 eastern_meadowlark
n03437941 girder
n12112008 grama
n12112008 gramma
n11882237 coralroot
n04284438 spork
n11628087 western_hemlock
n11628087 tsuga_heterophylla
n02540412 smelt
n12138248 kaoliang
n11791569 pistia
n04389430 tankard
n04506289 uke
n04506289 ukulele
n02947977 candid_camera
n02125081 felis_silvestris
n02125081 european_wildcat
n11616852 pinus_virginiana
n11616852 jersey_pine
n11616852 virginia_pine
n01912152 hydra
n11552133 cryptogam
n04132985 samovar
n03999160 presbytery
n02414209 longwool
n03013006 chemical_reactor
n02987379 slouch_hat
n03028596 church_bell
n02962061 carboy
n03561573 imaret
n11687789 microspore
n11615607 jack_pine
n03347617 fire_tower
n02859955 boatyard
n13124358 saprobe
n12782915 dionaea_muscipula
n03036022 city_hall
n15091669 pyridoxal
n15091669 vitamin_b6
n15091669 pyridoxine
n15091669 pyridoxamine
n03886053 panzer
n03912821 penthouse
n02854378 blockhouse
n02572196 cardinalfish
n07708124 julienne
n09269882 draw
n03767459 mimeograph
n03767459 mimeograph_machine
n03767459 mimeo
n03524976 hogshead
n03272239 electric_fire
n03272239 electric_heater
n02794474 barouche
n04255163 socket
n05262698 walrus_moustache
n12048928 calanthe
n01622959 tawny_owl
n01971620 loligo
n03415252 gamp
n03415252 brolly
n04533802 videocassette_recorder
n04533802 vcr
n03141455 crupper
n04469514 trampoline
n03129001 creamer
n04201064 shofar
n02327842 snowshoe_hare
n12522894 dalbergia_sissoo
n12522894 sissoo
n02129837 bengal_tiger
n12480456 tuberose
n08580944 half_mast
n03365231 floatplane
n04057215 razorblade
n01986806 shrimp
n04253168 snuffer
n03461988 groover
n02742753 arrow
n15089803 vitamin_a
n07879953 tempura
n01959492 giant_clam
n01959492 tridacna_gigas
n04038338 single_shell
n07688757 dodger
n02843276 birdcage
n07879450 sushi
n12823859 bindweed
n12403994 paper_mulberry
n03072201 colour_television
n03072201 color_tv
n03072201 colour_tv
n03072201 color_television
n01673282 tuatara
n03950647 pitch_pipe
n04208760 showboat
n04200537 shoehorn
n03842585 cyma_reversa
n03842585 ogee
n03592931 jammer
n07768068 bosc
n02585872 cichlid_fish
n02585872 cichlid
n02925385 bush_jacket
n03482523 hand
n11631854 cupressus_arizonica
n04094060 ripcord
n04364994 surplice
n04320598 stink_bomb
n07741138 macoun
n13065089 puccinia_graminis
n13065089 wheat_rust
n04100519 rodeo
n04105704 roofing
n03684489 lockring
n11690254 hypanthium
n11690254 calyx_tube
n11690254 floral_cup
n02157206 hexapod
n04226826 skeleton_key
n12718995 quassia
n10092794 first_lady
n07901355 marsala
n02447021 spotted_skunk
n02678897 adapter
n02678897 adaptor
n13027557 aspergillus_fumigatus
n03981760 floating_bridge
n03981760 pontoon_bridge
n08659861 oilfield
n04224543 sister_ship
n09217230 beach
n02245111 firebug
n12564083 winged_bean
n02365480 capybara
n03652729 lean_to
n03374649 flywheel
n13205058 nephrolepis_exaltata
n15091129 aneurin
n15091129 thiamin
n15091129 thiamine
n15091129 vitamin_b1
n02964295 car_ferry
n01606522 goshawk
n06596474 news_magazine
n12463743 bog_asphodel
n02682311 adze
n02682311 adz
n07874259 cheese_pizza
n11622184 fraser_fir
n00478262 soccer
n00478262 association_football
n09398677 precipice
n07918879 toddy
n02390738 kiang
n01549886 phoebe
n04331443 straightedge
n12508309 milk_vetch
n09454412 tangle
n12327022 water_milfoil
n07900616 madeira
n02062744 whale
n01462544 gastrula
n09327077 kopje
n03906463 pelham
n01407798 green_algae
n01322508 wolf_cub
n12138444 milo
n01534155 bullfinch
n07616046 frozen_yogurt
n11690455 petal
n11690455 flower_petal
n04514241 uplift
n03871524 packaging
n03660124 levis
n02687821 hangar
n13102775 tendril
n07607492 life_saver
n04459018 toupee
n04239333 sliding_window
n03426574 gas_turbine
n03595264 jerkin
n02916179 dozer
n02916179 bulldozer
n02390258 hinny
n12286826 hornbeam
n03135532 cross
n12105353 crested_wheatgrass
n12409840 sugarberry
n03005147 chancery
n09289331 glacier
n10707233 therapist
n10707233 healer
n15092751 naphthoquinone
n15092751 vitamin_k
n01836087 whippoorwill
n13108545 shade_tree
n02522637 codling
n01500854 devil_ray
n01623880 spotted_owl
n01623880 strix_occidentalis
n02679257 adding_machine
n02676938 acropolis
n04061681 reception_desk
n01876326 bandicoot
n12413165 iris_cristata
n15091846 folic_acid
n15091846 folate
n03194297 differential_gear
n03194297 differential
n12753762 striped_maple
n02378870 prancer
n04325208 stockyard
n02689144 airframe
n03290195 entablature
n04282872 split_rail
n01612275 merlin
n01612275 falco_columbarius
n04063154 record_changer
n04063154 changer
n04354487 sump_pump
n03145277 cuddy
n01632308 mole_salamander
n12988158 lecanora
n03676759 lcd
n07924834 orange_juice
n02878107 bottling_plant
n01665932 snapping_turtle
n12757816 american_holly
n03005285 pendant
n03005285 pendent
n03005285 chandelier
n12324056 combretum
n01858281 coscoroba
n09384106 pallasite
n01323355 sire
n11760785 calliandra
n04533946 dvd
n04533946 videodisc
n02036711 avocet
n03874487 paddock
n07928790 pepsi_cola
n07928790 pepsi
n04589593 window_frame
n03536122 horizontal_stabiliser
n03536122 tailplane
n03536122 horizontal_stabilizer
n12128490 knotgrass
n02072040 river_dolphin
n04591517 wind_turbine
n07591162 oyster_stew
n04067818 refectory
n03966976 pliers
n02797535 bascule
n02016956 purple_gallinule
n02956393 capital_ship
n04016846 psaltery
n02922798 burlap
n02922798 gunny
n01449374 mosquitofish
n11617878 knobcone_pine
n03146687 cullis
n03894677 parts_bin
n03426134 petrol_tank
n03426134 gas_tank
n03426134 gasoline_tank
n03560860 ignition_coil
n10151760 guitarist
n10151760 guitar_player
n03844550 oil_pump
n02739427 armlet
n02739427 arm_band
n02849885 blast_furnace
n03445326 gold_plate
n04059947 rearview_mirror
n08644045 harborage
n04969952 purplish_blue
n04969952 royal_blue
n04370774 sweats
n04282494 splint
n13137225 syconium
n09259025 crag
n02236241 praying_mantis
n03423479 gas_heater
n04261638 sound_camera
n05258051 forelock
n03688605 long_pants
n03688605 long_trousers
n02380745 bronco
n02380745 bronc
n02380745 broncho
n03001115 chain_store
n02227247 locusta_migratoria
n02227247 migratory_locust
n03191451 dicer
n01533651 serin
n02308735 fall_webworm
n03268790 electric_automobile
n03268790 electric
n03268790 electric_car
n11542137 sphagnum
n11542137 peat_moss
n11542137 sphagnum_moss
n11542137 bog_moss
n01579410 rook
n03632100 lacrosse_ball
n04213264 sickbed
n03696301 roof_rack
n03696301 luggage_rack
n04599124 woofer
n11853356 christmas_cactus
n04559994 water_hazard
n13880551 right_triangle
n04518764 valise
n07591586 bouillabaisse
n02211627 mason_bee
n02739889 armoured_car
n02739889 armored_car
n03158668 dado
n04439712 tinfoil
n04439712 tin_foil
n09450163 sun
n11793403 malanga
n01632601 tiger_salamander
n07851926 processed_cheese
n11984542 inula
n12907857 nicotiana_tabacum
n12122725 yorkshire_fog
n01943087 ormer
n07768230 bartlett
